route_id,agency_id,route_short_name,route_long_name,route_url
8__666___,CRTM,666,SAN LORENZO DE EL ESCORIAL-ZARZALEJO-LAS NAVAS DEL MARQUÉS,https://www.crtm.es/8__666___.aspx
8__667___,CRTM,667,MAJADAHONDA (Hospital)-SAN LORENZO DE EL ESCORIAL (Por Galapagar),https://www.crtm.es/8__667___.aspx
8__669___,CRTM,669,SAN LORENZO DE EL ESCORIAL-VILLANUEVA DE LA CAÑADA,https://www.crtm.es/8__669___.aspx
8__669_A__,CRTM,669A,S. L. DE EL ESCORIAL - FRESNEDILLAS - NAVALAGAMELLA,https://www.crtm.es/8__669_A__.aspx
8_N_604___,CRTM,N604,MADRID (Moncloa)-EL ESCORIAL-SAN LORENZO DE EL ESCORIAL,https://www.crtm.es/8_N_604___.aspx
9__1__131_,CRTM,1,S. L. DE EL ESCORIAL-FFCC-S. L. DE EL ESCORIAL,https://www.crtm.es/9__1__131_.aspx
9__2__131_,CRTM,2,EL ESCORIAL-SAN LORENZO DE EL ESCORIAL-HOSPITAL-LA PIZARRA,https://www.crtm.es/9__2__131_.aspx
9__3__054_,CRTM,3,EL ESCORIAL-LAS ZORRERAS,https://www.crtm.es/9__3__054_.aspx
9__4__131_,CRTM,4,CIRCULAR SAN LORENZO DE EL ESCORIAL,https://www.crtm.es/9__4__131_.aspx
8__191___,CRTM,191,MADRID (Plaza de Castilla)-BUITRAGO,https://www.crtm.es/8__191___.aspx
8__191_A__,CRTM,191A,BUITRAGO-BRAOJOS,https://www.crtm.es/8__191_A__.aspx
8__191_B__,CRTM,191B,BUITRAGO-SOMOSIERRA,https://www.crtm.es/8__191_B__.aspx
8__191_C__,CRTM,191C,BUITRAGO-MONTEJO DE LA SIERRA,https://www.crtm.es/8__191_C__.aspx
8__191_D__,CRTM,191D,BUITRAGO-ROBLEDILLO DE LA JARA,https://www.crtm.es/8__191_D__.aspx
8__191_E__,CRTM,191E,BUITRAGO-CERVERA DE BUITRAGO,https://www.crtm.es/8__191_E__.aspx
8__193___,CRTM,193,MADRID (Plaza de Castilla)-PEDREZUELA-EL VELLÓN,https://www.crtm.es/8__193___.aspx
8__193_A__,CRTM,193A,EL MOLAR-COTOS DE MONTERREY-VENTURADA,https://www.crtm.es/8__193_A__.aspx
8__194___,CRTM,194,MADRID (Plaza de Castilla)-RASCAFRÍA,https://www.crtm.es/8__194___.aspx
8__194_A__,CRTM,194A,BUITRAGO-LOZOYUELA-RASCAFRÍA,https://www.crtm.es/8__194_A__.aspx
8__195___,CRTM,195,MADRID (Plaza de Castilla)-BRAOJOS,https://www.crtm.es/8__195___.aspx
8__195_A__,CRTM,195A,CIRCULAR BUITRAGO-GARGANTILLA (Por Lozoyuela),https://www.crtm.es/8__195_A__.aspx
8__195_B__,CRTM,195B,CIRCULAR BUITRAGO-GARGANTILLA,https://www.crtm.es/8__195_B__.aspx
8__196___,CRTM,196,MADRID (Plaza de Castilla)-LA ACEBEDA,https://www.crtm.es/8__196___.aspx
8__197___,CRTM,197,MADRID (Plaza de Castilla)-TORRELAGUNA/UCEDA,https://www.crtm.es/8__197___.aspx
8__197_A__,CRTM,197A,TORRELAGUNA-PATONES-UCEDA,https://www.crtm.es/8__197_A__.aspx
8__197_B__,CRTM,197B,TORRELAGUNA-EL BERRUECO-LA CABRERA-VALDEMANCO,https://www.crtm.es/8__197_B__.aspx
8__197_C__,CRTM,197C,TORRELAGUNA-VENTURADA/CABANILLAS,https://www.crtm.es/8__197_C__.aspx
8__197_D__,CRTM,197D,TORRELAGUNA-EL VELLÓN-EL MOLAR,https://www.crtm.es/8__197_D__.aspx
8__197_E__,CRTM,197E,TORRELAGUNA-VALDEPIÉLAGOS-TALAMANCA,https://www.crtm.es/8__197_E__.aspx
8__199_A__,CRTM,199A,BUITRAGO - MONTEJO - MANJIRÓN - BUITRAGO,https://www.crtm.es/8__199_A__.aspx
8__210___,CRTM,210,S. S. DE LOS REYES (Hospital)-PARACUELLOS DE JARAMA,https://www.crtm.es/8__210___.aspx
8__211___,CRTM,211,MADRID (Canillejas) - PARACUELLOS,https://www.crtm.es/8__211___.aspx
8__212___,CRTM,212,MADRID (Canillejas) - PARACUELLOS (Miramadrid),https://www.crtm.es/8__212___.aspx
8__213___,CRTM,213,MADRID (Canillejas) - BELVIS,https://www.crtm.es/8__213___.aspx
8__215___,CRTM,215,TORREJÓN DE ARDOZ - PARACUELLOS DE JARAMA,https://www.crtm.es/8__215___.aspx
8__220___,CRTM,220,TORREJÓN DE ARDOZ-SAN FERNANDO DE HENARES,https://www.crtm.es/8__220___.aspx
8__222___,CRTM,222,MADRID (Avenida América)-MECO,https://www.crtm.es/8__222___.aspx
8__223___,CRTM,223,MADRID (Avenida América)-ALCALÁ DE HENARES,https://www.crtm.es/8__223___.aspx
8__224___,CRTM,224,MADRID (Avenida América)-TORREJÓN DE ARDOZ,https://www.crtm.es/8__224___.aspx
8__224_A__,CRTM,224A,MADRID (Avenida América)-TORREJÓN DE ARDOZ (La Mancha Amarilla),https://www.crtm.es/8__224_A__.aspx
8__226___,CRTM,226,MADRID (Avenida América)-TORREJÓN DE ARDOZ (El Soto),https://www.crtm.es/8__226___.aspx
8__227___,CRTM,227,MADRID (Avenida América)-ALCALÁ (Espartales-Universidad),https://www.crtm.es/8__227___.aspx
8__229___,CRTM,229,MADRID (Avenida América)-ALCALÁ (Virgen del Val),https://www.crtm.es/8__229___.aspx
8__231___,CRTM,231,ALCALÁ DE HENARES-URB. ZULEMA-EL VISO,https://www.crtm.es/8__231___.aspx
8__232___,CRTM,232,ALCALÁ DE HENARES-TORRES DE LA ALAMEDA,https://www.crtm.es/8__232___.aspx
8__250___,CRTM,250,ALCALÁ DE HENARES-MECO,https://www.crtm.es/8__250___.aspx
8__251___,CRTM,251,TORREJÓN-VALDEAVERO-ALCALÁ,https://www.crtm.es/8__251___.aspx
8__252___,CRTM,252,TORREJÓN-DAGANZO-ALCALÁ,https://www.crtm.es/8__252___.aspx
8__254___,CRTM,254,VALDEOLMOS/FUENTE EL SAZ-ALCALÁ DE HENARES,https://www.crtm.es/8__254___.aspx
8__255___,CRTM,255,VALDEAVERO-CAMARMA DE ESTERUELAS-ALCALÁ DE HENARES,https://www.crtm.es/8__255___.aspx
8__256___,CRTM,256,MADRID (Canillejas)-DAGANZO-VALDEAVERO,https://www.crtm.es/8__256___.aspx
8__819___,CRTM,819,RASCAFRÍA - COTOS,https://www.crtm.es/8__819___.aspx
8__824___,CRTM,824,MADRID (Aeropuerto) - TORREJÓN DE ARDOZ - ALCALÁ DE HENARES,https://www.crtm.es/8__824___.aspx
8__913___,CRTM,913,TORRELAGUNA-EL ATAZAR,https://www.crtm.es/8__913___.aspx
8__FS2___,CRTM,FS2,TORRELAGUNA - ALCALÁ DE HENARES,https://www.crtm.es/8__FS2___.aspx
8_N_104___,CRTM,N104,MADRID (Plaza de Castilla)- EL MOLAR,https://www.crtm.es/8_N_104___.aspx
8_N_202___,CRTM,N202,MADRID (Avenida de América) - TORREJÓN - ALCALÁ - MECO,https://www.crtm.es/8_N_202___.aspx
8_N_204___,CRTM,N204,MADRID (Canillejas) - PARACUELLOS - DAGANZO,https://www.crtm.es/8_N_204___.aspx
9__1__108_,CRTM,1,PEDREZUELA-URBANIZACIONES,https://www.crtm.es/9__1__108_.aspx
9__1__104_,CRTM,1,URB. ALTOS DE JARAMA - MIRAMADRID,https://www.crtm.es/9__1__104_.aspx
9__2__148_,CRTM,2,FRONTERAS-BARRIO CASTILLO-FRESNO,https://www.crtm.es/9__2__148_.aspx
9__2__104_,CRTM,2,PICÓN DEL CURA - URB. LOS BERROCALES,https://www.crtm.es/9__2__104_.aspx
9__3__148_,CRTM,3,LOS FRESNOS - PLAZA DE ESPAÑA - LOS ALMENDROS,https://www.crtm.es/9__3__148_.aspx
9__4__148_,CRTM,4,TORREJÓN-PARQUE CORREDOR,https://www.crtm.es/9__4__148_.aspx
9__6__148_,CRTM,6,PLAZA DE ESPAÑA - OASIZ,https://www.crtm.es/9__6__148_.aspx
9__1_A_148_,CRTM,1A,CIRCULAR TORREJÓN,https://www.crtm.es/9__1_A_148_.aspx
9__1_B_148_,CRTM,1B,CIRCULAR TORREJÓN,https://www.crtm.es/9__1_B_148_.aspx
9__5_A_148_,CRTM,5A,CIRCULAR PARQUE EUROPA,https://www.crtm.es/9__5_A_148_.aspx
9__5_B_148_,CRTM,5B,CIRCULAR PARQUE EUROPA,https://www.crtm.es/9__5_B_148_.aspx
8__712___,CRTM,712,MADRID (Plaza de Castilla) - TRES CANTOS (Por Avenida de Encuartes),https://www.crtm.es/8__712___.aspx
8__713___,CRTM,713,MADRID (Plaza de Castilla)-TRES CANTOS (Por Avenida del Parque),https://www.crtm.es/8__713___.aspx
8__714___,CRTM,714,MADRID (Plaza de Castilla)-UNIV.AUTÓNOMA-UNIV.COMILLAS,https://www.crtm.es/8__714___.aspx
8__716___,CRTM,716,MADRID (Plaza de Castilla)-TRES CANTOS (Soto de Viñuelas),https://www.crtm.es/8__716___.aspx
