Academic Year,Centre Code,Centre,University,Academic Level,Degree Code,Degree,Ambit,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30010218,Facultad de Química,Universidad de Murcia,Grado,2500517,Química,Ciencias,63,0,0,44,19
2024-2025,30013888,Facultad de Óptica y Optometría,Universidad de Murcia,Grado,2500724,Óptica y Optometría,Ciencias de la Salud,54,11,16,25,2
2024-2025,30011430,Facultad de Comunicación y Documentación,Universidad de Murcia,Grado,2500855,Periodismo,Ciencias Sociales y Jurídicas,60,6,19,31,4
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Doble Grado,7001132,Educación Primaria y Ciencias de la Actividad Física y Deporte,Ciencias,68,0,0,41,25
2024-2025,30011958,Facultad de Matemáticas,Universidad de Murcia,Grado,2500378,Matemáticas,Ciencias,69,0,0,0,67
2024-2025,30011958,Facultad de Matemáticas,Universidad de Murcia,Doble Grado,7000245,Matemáticas y Ingeniería Informática,Ciencias,39,0,0,0,38
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Grado,2500943,Odontología,Ciencias de la Salud,39,0,0,0,36
2024-2025,30008224,Facultad de Derecho,Universidad de Murcia,Grado,2500719,Derecho,Ciencias Sociales y Jurídicas,364,0,0,251,106
2024-2025,30011831,Facultad de Psicología,Universidad de Murcia,Grado,2500725,Psicología,Ciencias de la Salud,195,0,0,146,42
2024-2025,30010218,Facultad de Química,Universidad de Murcia,Grado,2500375,Bioquímica,Ciencias,76,0,0,46,27
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Grado,2500380,Educación Primaria,Ciencias Sociales y Jurídicas,273,0,0,151,108
2024-2025,30011430,Facultad de Comunicación y Documentación,Universidad de Murcia,Grado,2504418,Estudios de Comunicación y Medios,Ingeniería y Arquitectura,27,1,14,10,2
2024-2025,30013992,Facultad de Ciencias Sociosanitarias,Universidad de Murcia,Grado,2500942,Enfermería (Lorca),Ciencias de la Salud,64,0,0,46,16
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Grado,2500368,Estudios Franceses,Artes y Humanidades,6,0,2,3,1
2024-2025,30011831,Facultad de Psicología,Universidad de Murcia,Grado,2500493,Logopedia,Ciencias de la Salud,97,31,42,22,1
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Grado,2500721,Economía,Ciencias Sociales y Jurídicas,140,0,23,84,32
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Grado,2502061,Marketing,Ciencias Sociales y Jurídicas,70,0,0,42,24
2024-2025,30011430,Facultad de Comunicación y Documentación,Universidad de Murcia,Grado,2500856,Publicidad y Relaciones Públicas,Ciencias Sociales y Jurídicas,59,0,12,42,4
2024-2025,30013281,Facultad de Turismo,Universidad de Murcia,Grado,2500720,Turismo,Ciencias Sociales y Jurídicas,6,2,3,1,0
2024-2025,30011545,Isen Formación Universitaria,Universidad de Murcia,Grado,2503645,Seguridad,Ciencias Sociales y Jurídicas,17,1,9,6,1
2024-2025,30008224,Facultad de Derecho,Universidad de Murcia,Doble Grado,7000044,Administración y Dirección de Empresa y Derecho,Ciencias Sociales y Jurídicas,89,0,0,0,86
2024-2025,30009617,Facultad de Filosofía,Universidad de Murcia,Grado,2500371,Filosofia,Artes y Humanidades,40,3,15,18,4
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Grado,2500718,Administración y Dirección de Empresas,Ciencias Sociales y Jurídicas,323,34,80,177,25
2024-2025,30013591,Facultad de Bellas Artes,Universidad de Murcia,Grado,2500491,Bellas Artes,Artes y Humanidades,95,4,24,54,11
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Grado,2501001,Fisioterapia,Ciencias de la Salud,72,0,0,51,17
