"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"4035000","Maestro-Especialidad de Educación Especial","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4033000","Maestro-Especialidad de Educación Física","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4030000","Maestro-Especialidad de Educación Infantil","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4034000","Maestro-Especialidad de Educación Musical","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4031000","Maestro-Especialidad de Educación Primaria","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4032000","Maestro-Especialidad de Lengua Extranjera","Varias Universidades","Ciclo Corto","Ciencias Sociales y Jurídicas","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"4000580","Doctor en Programa Oficial de Posgrado en Ciencias del Mar","Universidad de Las Palmas de Gran Canaria","Doctor - RD 56/2005 (2)","","","Autorizado por Comunidad Aut&oacute;noma","(TITULACIÓN EXTINGUIDA)"
"4000581","Doctor en Programa Oficial de Posgrado en Ciencias del Mar","Universidad de Las Palmas de Gran Canaria","Doctor - RD 56/2005 (2)","","","Autorizado por Comunidad Aut&oacute;noma","(TITULACIÓN EXTINGUIDA)"
"4001532","Doctor en Programa Oficial de Posgrado en Procesos Educativos","Universidad de Las Palmas de Gran Canaria","Doctor - RD 56/2005 (2)","","","Autorizado por Comunidad Aut&oacute;noma","(TITULACIÓN EXTINGUIDA)"
"4000914","Doctor en Programa Oficial de Posgrado en sistemas inteligentes y aplicaciones numéricas en ingeniería","Universidad de Las Palmas de Gran Canaria","Doctor - RD 56/2005 (2)","","","Autorizado por Comunidad Aut&oacute;noma","(TITULACIÓN EXTINGUIDA)"
"5601253","Programa de Doctorado en Acuicultura Sostenible y Ecosistemas Marinos por la Universidad de Las Palmas de Gran Canaria","Universidad de Las Palmas de Gran Canaria","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5601271","Programa de Doctorado en Calidad Ambiental y Recursos Naturales por la Universidad de Las Palmas de Gran Canaria","Universidad de Las Palmas de Gran Canaria","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5601524","Programa de Doctorado en Ciencias de la Educación por la Universidad de La Laguna y la Universidad de Las Palmas de Gran Canaria","(Conjunto)","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.",""
"5601565","Programa de Doctorado en Ciencias Jurídicas y Sociales por la Universidad de Las Palmas de Gran Canaria","Universidad de Las Palmas de Gran Canaria","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.",""
"5601261","Programa de Doctorado en Empresa, Internet y Tecnologías de las Comunicaciones por la Universidad de Las Palmas de Gran Canaria","Universidad de Las Palmas de Gran Canaria","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5600863","Programa de Doctorado en Estudios Lingüísticos y Literarios en sus Contextos Socioculturales por la Universidad de Las Palmas de Gran Canaria","Universidad de Las Palmas de Gran Canaria","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5601107","Programa de Doctorado en Ingenierías Química, Mecánica y de Fabricación por la Universidad de Las Palmas de Gran Canaria","Universidad de Las Palmas de Gran Canaria","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
