Academic Year,Centre Code,Faculty,Faculty ID,University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Degree ID,Knowledge Area,Knowledge Area ID,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500382,Pedagogía,19c644378aacb0445c03aba125adbab2,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",77,0,7,65,3
2024-2025,30011405,Facultad de Veterinaria,c32208051f1829034017263f4b4d204d,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500988,Veterinaria,5f03f446ddf67e7ec0f7f92a04f31ce1,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",87,0,0,28,57
2024-2025,30011958,Facultad de Matemáticas,71bf39f017bb5fe70ea279509a39307f,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7001133,Matemáticas y Física,e67eea9bac513055c03fd30cff256c7c,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",19,0,0,0,18
2024-2025,30011715,Facultad de Informática,de53397f361c08b30696e7a678f3c031,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500494,Ingeniería Informática,6b4cbca7b963a333834a3e5bcbd15590,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",235,0,0,160,67
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7000972,Criminología y Seguridad,96b1b8328b5c0a33fefeb03ac8786125,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",23,0,0,15,7
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500370,Filología Clásica,fb74e408a98f78dd85be5735c2eb2c80,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,36,1,4,17,14
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500804,"Ciencias Políticas, Gobierno y Administración Pública",d7565cedbebc7d51fb1f7b8547654493,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",38,2,19,14,2
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504155,Ciencia y Tecnología Geográficas,68e88771cb194ac7fe7675821e89017b,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",11,1,6,3,1
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500379,Educación Infantil,e64d5eb96d843cd36cd0d930833c692d,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",136,0,0,108,23
2024-2025,30011727,Facultad de Trabajo Social,92ececb5ef00e2cadfc2d1b763f9b723,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500806,Trabajo Social,54f5fd45cff91966228ef64e662436d1,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",126,23,58,42,0
2024-2025,30011545,Isen Formación Universitaria,59efebe22173b71d92ece49fc5579035,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500379,Educación Infantil (Cartagena),13234156615c657ef372a5c8692e416f,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",32,3,20,8,1
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500374,Lengua y Literatura Españolas,59d5c816546a46892da609bb2cfba1c8,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,62,3,9,23,27
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500373,Historia del Arte,13f2c61003b56209b1eea32eaeae67de,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,42,2,6,25,9
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500516,Historia,6995d7e7041177504628d9087809c437,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,106,17,17,52,17
2024-2025,30011715,Facultad de Informática,de53397f361c08b30696e7a678f3c031,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504340,Ciencia e Ingeniería de Datos,70c41c3161c1ce2eee740e4e8957bd48,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",36,0,0,3,31
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2502059,Medicina,bb6f5dd4149c7a7eeae9c728265fe9f4,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",206,0,0,0,195
2024-2025,30010218,Facultad de Química,ec8a9e514edd57590d39bcac53b878de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500383,Ingeniería Química,b5a1619dd7d7521952e1c62340e607a5,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",61,0,9,31,21
2024-2025,30010218,Facultad de Química,ec8a9e514edd57590d39bcac53b878de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500517,Química,c67740fa16363891a1523dac40803b85,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",63,0,0,44,19
2024-2025,30013888,Facultad de Óptica y Optometría,b682305b618d55a6d1b77c166ca933de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500724,Óptica y Optometría,3c63f8a127a9ec0faef697d4fa2f687e,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",54,11,16,25,2
2024-2025,30011430,Facultad de Comunicación y Documentación,4e1a7d2a4a121e855e078ea873f18e11,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500855,Periodismo,bb36200e87763347bfda59819a5f65ca,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",60,6,19,31,4
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7001132,Educación Primaria y Ciencias de la Actividad Física y Deporte,a0f8cd204ccf518b703cabae25e6ae1d,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",68,0,0,41,25
2024-2025,30011958,Facultad de Matemáticas,71bf39f017bb5fe70ea279509a39307f,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500378,Matemáticas,51c91b9e44598e15c2826107beb7c3f9,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",69,0,0,0,67
2024-2025,30011958,Facultad de Matemáticas,71bf39f017bb5fe70ea279509a39307f,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7000245,Matemáticas y Ingeniería Informática,ff8c3a418222c3635628b7420015372a,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",39,0,0,0,38
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500943,Odontología,18000b222a1761f087d54698dff38e7d,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",39,0,0,0,36
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500719,Derecho,4a83674c810a748d9a2c2de186d757dd,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",364,0,0,251,106
2024-2025,30011831,Facultad de Psicología,346f01b7d8ce52a0eae23e2aa55a9996,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500725,Psicología,3d02c916a564b512d64c9718ecf68446,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",195,0,0,146,42
2024-2025,30010218,Facultad de Química,ec8a9e514edd57590d39bcac53b878de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500375,Bioquímica,9d6113ff89a00bdf35d32cfe5e5bbc3c,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",76,0,0,46,27
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500380,Educación Primaria,63da40da0a64102251e8d8ccdd3b20ad,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",273,0,0,151,108
2024-2025,30011430,Facultad de Comunicación y Documentación,4e1a7d2a4a121e855e078ea873f18e11,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504418,Estudios de Comunicación y Medios,9904967644ac6e6d6a67c321899891a7,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",27,1,14,10,2
2024-2025,30013992,Facultad de Ciencias Sociosanitarias,a7512303bb72ec2d6ffcdfabcf24b51a,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500942,Enfermería (Lorca),3c81349c09c5f0a4ed3899891167fd92,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",64,0,0,46,16
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500368,Estudios Franceses,3a9b3d97f528b4240fbf329c2e664cee,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,6,0,2,3,1
2024-2025,30011831,Facultad de Psicología,346f01b7d8ce52a0eae23e2aa55a9996,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500493,Logopedia,da1e3dee6bb9ccd9f3f9635f0faa72e6,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",97,31,42,22,1
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500721,Economía,c175fa27f6aff92cf3b33d178565c230,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",140,0,23,84,32
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2502061,Marketing,53273a33f9b4f7875aae8ff623328ca0,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",70,0,0,42,24
2024-2025,30011430,Facultad de Comunicación y Documentación,4e1a7d2a4a121e855e078ea873f18e11,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500856,Publicidad y Relaciones Públicas,1efe1d19bbca2bebe7c991cfc72fd05d,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",59,0,12,42,4
2024-2025,30013281,Facultad de Turismo,2d3a5a7f976693ea91060ab6e229b53f,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500720,Turismo,fdb64501b36ea8e448240bd1d577cacf,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6,2,3,1,0
2024-2025,30011545,Isen Formación Universitaria,59efebe22173b71d92ece49fc5579035,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2503645,Seguridad,92fb4fe166600d1b20918f6344ec00ce,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",17,1,9,6,1
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7000044,Administración y Dirección de Empresa y Derecho,189e06f5d57e578966d0d2e55bc0d8d5,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",89,0,0,0,86
2024-2025,30009617,Facultad de Filosofía,e2efe16abfaece4347fdcf0c068b88ba,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500371,Filosofia,2092c02cb750f1b3d0a6f8c00eac7f30,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,40,3,15,18,4
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500718,Administración y Dirección de Empresas,77175a442c1139a0fd19e0bad0626e66,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",323,34,80,177,25
2024-2025,30013591,Facultad de Bellas Artes,43344bc46e1eca6e30413987f27f5a78,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500491,Bellas Artes,859d40decd99ade4a60aa1e6d0ea9860,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,95,4,24,54,11
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2501001,Fisioterapia,11f6a76ebf478eccabc019f65879a76e,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",72,0,0,51,17
