curso_academico_cod,curso_academico,tipo_centro,centro_cod,centro_cod_mec,centro,ciclo_titulacion_cod,ciclo_titulacion,titulacion_cod,titulacion_cod_mec,titulacion,matriculados,especiales,nota_5_7,porc_nota_5_7_mujer,porc_nota_5_7_hombre,nota_7_9,porc_nota_7_9_mujer,porc_nota_7_9_hombre,nota_9_12,porc_nota_9_12_mujer,porc_nota_9_12_hombre,nota_12_14,porc_nota_12_14_mujer,porc_nota_12_14_hombre,tipo_fila
2024,2024/2025,Centros propios,0E06,30008236,Facultad de Letras,G,Grado,262,2503733,Grado en Traducción e Interpretación,90,2,0,,,5,100.0,0.0,29,79.3103448275862,20.689655172413794,54,94.44444444444444,5.555555555555555,F
2024,2024/2025,Centros propios,0E08,30011405,Facultad de Veterinaria,G,Grado,217,2500376,Grado en Ciencia y Tecnología de Los Alimentos,33,1,1,100.0,0.0,10,70.0,30.0,20,65.0,35.0,1,100.0,0.0,F
2024,2024/2025,Centros propios,0E44,30011821,Facultad de Enfermería,G,Grado,237,2500942,Grado en Enfermería (Murcia),168,12,0,,,0,,,0,,,156,83.33333333333333,16.666666666666668,F
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,G,Grado,259,2503585,Grado en Sociología,20,0,6,66.66666666666667,33.333333333333336,9,55.55555555555556,44.44444444444444,5,80.0,20.0,0,,,F
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,G,Grado,225,2500381,Grado en Educación Social,119,1,14,71.42857142857143,28.571428571428573,57,85.96491228070175,14.035087719298245,44,81.81818181818181,18.181818181818183,3,66.66666666666667,33.333333333333336,F
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,G,Grado,232,2500382,Grado en Pedagogía,77,2,0,,,7,71.42857142857143,28.571428571428573,65,92.3076923076923,7.6923076923076925,3,100.0,0.0,F
2024,2024/2025,Centros propios,0E08,30011405,Facultad de Veterinaria,G,Grado,241,2500988,Grado en Veterinaria,87,2,0,,,0,,,28,89.28571428571429,10.714285714285714,57,77.19298245614036,22.80701754385965,F
2024,2024/2025,Centros propios,0E28,30011958,Facultad de Matemáticas,G,Grado,274,7001133,Prog Conjunta de Estudios Oficiales Grado en Matemáticas y Grado en Física,19,1,0,,,0,,,0,,,18,33.333333333333336,66.66666666666667,F
2024,2024/2025,Centros propios,0E22,30011715,Facultad de Informática,G,Grado,221,2500494,Grado en Ingeniería Informática,235,8,0,,,0,,,160,11.25,88.75,67,7.462686567164179,92.53731343283582,F
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,G,Grado,264,7000972,Prog. Conjunta de Estudios Of. de Grado en Criminología y Grado en Seguridad,23,1,0,,,0,,,15,80.0,20.0,7,57.142857142857146,42.857142857142854,F
2024,2024/2025,Centros propios,0E06,30008236,Facultad de Letras,G,Grado,216,2500370,Grado en Filología Clásica,36,0,1,100.0,0.0,4,75.0,25.0,17,76.47058823529412,23.529411764705884,14,85.71428571428571,14.285714285714286,F
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,G,Grado,265,2500804,"Grado en Ciencias Políticas, Gobierno y Administración Pública",38,1,2,0.0,100.0,19,42.10526315789474,57.89473684210526,14,50.0,50.0,2,50.0,50.0,F
2024,2024/2025,Centros propios,0E06,30008236,Facultad de Letras,G,Grado,272,2504155,Grado en Ciencia y Tecnología Geográficas,11,0,1,0.0,100.0,6,16.666666666666668,83.33333333333333,3,0.0,100.0,1,100.0,0.0,F
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,G,Grado,223,2500379,Grado en Educación Infantil,136,5,0,,,0,,,108,91.66666666666667,8.333333333333334,23,95.65217391304348,4.3478260869565215,F
2024,2024/2025,Centros propios,0E43,30011727,Facultad de Trabajo Social,G,Grado,226,2500806,Grado en Trabajo Social,126,3,23,91.30434782608695,8.695652173913043,58,84.48275862068965,15.517241379310345,42,88.0952380952381,11.904761904761905,0,,,F
2024,2024/2025,Centros adscritos,0E94,30011545,Isen Formación Universitaria,G,Grado,242,2500379,Grado en Educación Infantil (Cartagena),32,0,3,33.333333333333336,66.66666666666667,20,90.0,10.0,8,100.0,0.0,1,100.0,0.0,F
2024,2024/2025,Centros propios,0E06,30008236,Facultad de Letras,G,Grado,207,2500374,Grado en Lengua y Literatura Españolas,62,0,3,66.66666666666667,33.333333333333336,9,88.88888888888889,11.11111111111111,23,82.6086956521739,17.391304347826086,27,85.18518518518519,14.814814814814815,F
2024,2024/2025,Centros propios,0E06,30008236,Facultad de Letras,G,Grado,208,2500373,Grado en Historia del Arte,42,0,2,0.0,100.0,6,50.0,50.0,25,80.0,20.0,9,88.88888888888889,11.11111111111111,F
2024,2024/2025,Centros propios,0E06,30008236,Facultad de Letras,G,Grado,211,2500516,Grado en Historia,106,3,17,5.882352941176471,94.11764705882354,17,58.8235294117647,41.1764705882353,52,40.38461538461539,59.61538461538461,17,52.94117647058823,47.05882352941177,F
2024,2024/2025,Centros propios,0E22,30011715,Facultad de Informática,G,Grado,278,2504340,Grado en Ciencia e Ingeniería de Datos,36,2,0,,,0,,,3,33.333333333333336,66.66666666666667,31,29.032258064516128,70.96774193548387,F
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,G,Grado,250,2502059,Grado en Medicina,206,11,0,,,0,,,0,,,195,70.76923076923077,29.23076923076923,F
2024,2024/2025,Centros propios,0E03,30010218,Facultad de Química,G,Grado,246,2500383,Grado en Ingeniería Química,61,0,0,,,9,66.66666666666667,33.333333333333336,31,35.483870967741936,64.51612903225806,21,57.142857142857146,42.857142857142854,F
2024,2024/2025,Centros propios,0E03,30010218,Facultad de Química,G,Grado,215,2500517,Grado en Química,63,0,0,,,0,,,44,43.18181818181818,56.81818181818182,19,63.1578947368421,36.8421052631579,F
2024,2024/2025,Centros propios,0E45,30013888,Facultad de Óptica y Optometría,G,Grado,205,2500724,Grado en Óptica y Optometría,54,0,11,81.81818181818181,18.181818181818183,16,75.0,25.0,25,76.0,24.0,2,100.0,0.0,F
2024,2024/2025,Centros propios,0E39,30011430,Facultad de Comunicación y Documentación,G,Grado,236,2500855,Grado en Periodismo,60,0,6,66.66666666666667,33.333333333333336,19,26.31578947368421,73.6842105263158,31,54.83870967741935,45.16129032258065,4,75.0,25.0,F
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,G,Grado,273,7001132,Pceo de Grado en Educación Primaria y Grado  Cc. Actividad Física y Deporte,68,2,0,,,0,,,41,19.51219512195122,80.48780487804878,25,16.0,84.0,F
2024,2024/2025,Centros propios,0E28,30011958,Facultad de Matemáticas,G,Grado,214,2500378,Grado en Matemáticas,69,2,0,,,0,,,0,,,67,35.82089552238806,64.17910447761194,F
2024,2024/2025,Centros propios,0E28,30011958,Facultad de Matemáticas,G,Grado,270,7000245,Prog Conjunta de Estudios Oficiales Grado Matemáticas y Grado Ing. Informática,39,1,0,,,0,,,0,,,38,28.94736842105263,71.05263157894737,F
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,G,Grado,202,2500943,Grado en Odontología,39,3,0,,,0,,,0,,,36,83.33333333333333,16.666666666666668,F
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,G,Grado,230,2500719,Grado en Derecho,364,7,0,,,0,,,251,67.33067729083665,32.669322709163346,106,83.9622641509434,16.037735849056602,F
2024,2024/2025,Centros propios,0E27,30011831,Facultad de Psicología,G,Grado,203,2500725,Grado en Psicología,195,7,0,,,0,,,146,80.13698630136986,19.863013698630137,42,85.71428571428571,14.285714285714286,F
2024,2024/2025,Centros propios,0E03,30010218,Facultad de Química,G,Grado,218,2500375,Grado en Bioquímica,76,3,0,,,0,,,46,67.3913043478261,32.608695652173914,27,66.66666666666667,33.333333333333336,F
2024,2024/2025,Centros propios,0E30,30011961,Facultad de Educación,G,Grado,206,2500380,Grado en Educación Primaria,273,14,0,,,0,,,151,73.50993377483444,26.490066225165563,108,85.18518518518519,14.814814814814815,F
2024,2024/2025,Centros propios,0E39,30011430,Facultad de Comunicación y Documentación,G,Grado,277,2504418,Grado en Estudios de Comunicación y Medios/Bachelor in Communication and Media S,27,0,1,0.0,100.0,14,50.0,50.0,10,80.0,20.0,2,50.0,50.0,F
2024,2024/2025,Centros propios,0E46,30013992,Facultad de Ciencias Sociosanitarias,G,Grado,253,2500942,Grado en Enfermería (Lorca),64,2,0,,,0,,,46,80.43478260869566,19.565217391304348,16,68.75,31.25,F
