Academic Year,University,Unique Identifier,Code,Degree,Center,Ambit Code
2024-2025,Universidad de Málaga,Universidad De Málaga 714504,714504,INGENIERÍA DE SOFTWARE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 720505,720505,INGENIERÍA DE SONIDO E IMAGEN,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE TELECOMUNICACIÓN,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 725104,725104,INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN + MATEMÁTICAS,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE TELECOMUNICACIÓN,SIN
2024-2025,Universidad de Málaga,Universidad De Málaga 725007,725007,INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN (PARS Máster en Ingeniería de Telecomunicación),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE TELECOMUNICACIÓN,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 712507,712507,INGENIERÍA ELÉCTRICA,ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 712809,712809,INGENIERÍA ELÉCTRICA + INGENIERÍA MECÁNICA,ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 719502,719502,INGENIERÍA ELECTRÓNICA DE TELECOMUNICACIÓN,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE TELECOMUNICACIÓN,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 713004,713004,INGENIERÍA ELECTRÓNICA INDUSTRIAL,ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 712701,712701,INGENIERÍA ELECTRÓNICA INDUSTRIAL + INGENIERÍA ELÉCTRICA,ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 713019,713019,"INGENIERÍA ELECTRÓNICA, ROBÓTICA Y MECATRÓNICA",ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 711201,711201,INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DEL PRODUCTO,ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 723001,723001,INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES (PARS con el Máster en Ingeniería Industrial),ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 723506,723506,INGENIERÍA INFORMÁTICA,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 713500,713500,INGENIERÍA MECÁNICA,ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 711309,711309,INGENIERÍA MECÁNICA + INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DEL PRODUCTO,ESCUELA DE INGENIERÍAS INDUSTRIALES,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 724501,724501,INGENIERÍA QUÍMICA,FACULTAD DE CIENCIAS,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 721002,721002,INGENIERÍA TELEMÁTICA,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE TELECOMUNICACIÓN,IYA
2024-2025,Universidad de Málaga,Universidad De Málaga 705006,705006,LOGOPEDIA,FACULTAD DE PSICOLOGÍA Y LOGOPEDIA,SD
2024-2025,Universidad de Málaga,Universidad De Málaga 749002,749002,MARKETING E INVESTIGACIÓN DE MERCADOS,FACULTAD DE MARKETING Y GESTIÓN,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 739007,739007,MATEMÁTICAS,FACULTAD DE CIENCIAS,C
2024-2025,Universidad de Málaga,Universidad De Málaga 723409,723409,MATEMÁTICAS + INGENIERÍA INFORMÁTICA,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,SIN
2024-2025,Universidad de Málaga,Universidad De Málaga 739503,739503,MEDICINA,FACULTAD DE MEDICINA,SD
2024-2025,Universidad de Málaga,Universidad De Málaga 740506,740506,PEDAGOGÍA,FACULTAD CIENCIAS DE LA EDUCACIÓN,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 741003,741003,PERIODISMO,FACULTAD CIENCIAS DE LA COMUNICACIÓN,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 707003,707003,PODOLOGÍA,FACULTAD DE CIENCIAS DE LA SALUD,SD
2024-2025,Universidad de Málaga,Universidad De Málaga 741501,741501,PSICOLOGÍA,FACULTAD DE PSICOLOGÍA Y LOGOPEDIA,SD
2024-2025,Universidad de Málaga,Universidad De Málaga 705103,705103,PSICOLOGÍA + LOGOPEDIA,FACULTAD DE PSICOLOGÍA Y LOGOPEDIA,SD
2024-2025,Universidad de Málaga,Universidad De Málaga 742007,742007,PUBLICIDAD Y RELACIONES PÚBLICAS,FACULTAD CIENCIAS DE LA COMUNICACIÓN,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 742503,742503,QUÍMICA,FACULTAD DE CIENCIAS,C
2024-2025,Universidad de Málaga,Universidad De Málaga 708007,708007,RELACIONES LABORALES Y RECURSOS HUMANOS,FACULTAD DE ESTUDIOS SOCIALES Y DEL TRABAJO,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 708201,708201,TERAPIA OCUPACIONAL,FACULTAD DE CIENCIAS DE LA SALUD,SD
2024-2025,Universidad de Málaga,Universidad De Málaga 708518,708518,TRABAJO SOCIAL,FACULTAD DE ESTUDIOS SOCIALES Y DEL TRABAJO,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 743205,743205,TRADUCCIÓN E INTERPRETACIÓN FRANCÉS,FACULTAD DE FILOSOFÍA Y LETRAS,AYH
2024-2025,Universidad de Málaga,Universidad De Málaga 743302,743302,TRADUCCIÓN E INTERPRETACIÓN INGLÉS,FACULTAD DE FILOSOFÍA Y LETRAS,AYH
2024-2025,Universidad de Málaga,Universidad De Málaga 708708,708708,TURISMO,FACULTAD DE TURISMO,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 742104,742104,TURISMO + PUBLICIDAD Y RELACIONES PÚBLICAS,FACULTAD CIENCIAS DE LA COMUNICACIÓN,SYJ
2024-2025,Universidad de Málaga,Universidad De Málaga 708406,708406,TURISMO + TRADUCCIÓN E INTERPRETACIÓN FRANCÉS,FACULTAD DE TURISMO,SIN
2024-2025,Universidad de Málaga,Universidad De Málaga 708902,708902,TURISMO + TRADUCCIÓN E INTERPRETACIÓN INGLÉS,FACULTAD DE TURISMO,SIN
2024-2025,University of Seville,Universidad De Sevilla 825501,825501,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,SYJ
2024-2025,University of Seville,Universidad De Sevilla 825520,825520,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 825609,825609,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO,FACULTAD DE DERECHO Y FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,SYJ
2024-2025,University of Seville,Universidad De Sevilla 825706,825706,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + FINANZAS Y CONTABILIDAD,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,SYJ
2024-2025,University of Seville,Universidad De Sevilla 825516,825516,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (GRUPO EN INGLÉS),FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,SYJ
2024-2025,University of Seville,Universidad De Sevilla 891505,891505,ANTROPOLOGIA SOCIAL Y CULTURAL,FACULTAD DE GEOGRAFÍA E HISTORIA,SYJ
2024-2025,University of Seville,Universidad De Sevilla 853004,853004,ARQUEOLOGÍA,FACULTAD DE GEOGRAFÍA E HISTORIA,AYH
2024-2025,University of Seville,Universidad De Sevilla 826009,826009,BELLAS ARTES,FACULTAD DE BELLAS ARTES,AYH
2024-2025,University of Seville,Universidad De Sevilla 826505,826505,BIOLOGÍA,FACULTAD DE BIOLOGÍA,C
2024-2025,University of Seville,Universidad De Sevilla 852000,852000,BIOMEDICINA BÁSICA Y EXPERIMENTAL,FACULTAD DE MEDICINA,SD
2024-2025,University of Seville,Universidad De Sevilla 892002,892002,BIOQUÍMICA,FACULTAD DE BIOLOGÍA,C
2024-2025,University of Seville,Universidad De Sevilla 827509,827509,CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 827528,827528,CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 829014,829014,COMUNICACIÓN AUDIOVISUAL,CENTRO DE ESTUDIOS UNIVERSITARIOS EUSA (ADSCRITO),SYJ
2024-2025,University of Seville,Universidad De Sevilla 829001,829001,COMUNICACIÓN AUDIOVISUAL,FACULTAD DE COMUNICACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 826203,826203,CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,FACULTAD DE BELLAS ARTES,AYH
2024-2025,University of Seville,Universidad De Sevilla 892601,892601,CRIMINOLOGÍA,FACULTAD DE DERECHO,SYJ
2024-2025,University of Seville,Universidad De Sevilla 829506,829506,DERECHO,FACULTAD DE DERECHO,SYJ
2024-2025,University of Seville,Universidad De Sevilla 851600,851600,DERECHO + ECONOMÍA,FACULTAD DE DERECHO Y FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,SYJ
2024-2025,University of Seville,Universidad De Sevilla 829808,829808,DERECHO + FILOSOFÍA,FACULTAD DE DERECHO,SIN
2024-2025,University of Seville,Universidad De Sevilla 829700,829700,DERECHO + FINANZAS Y CONTABILIDAD,FACULTAD DE DERECHO,SYJ
2024-2025,University of Seville,Universidad De Sevilla 829905,829905,DERECHO (US) + LAUREA MAGISTRALE IN GIURISPRUDENZA (UNIFI),FACULTAD DE DERECHO,SYJ
2024-2025,University of Seville,Universidad De Sevilla 830002,830002,ECONOMÍA,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,SYJ
2024-2025,University of Seville,Universidad De Sevilla 801014,801014,EDIFICACIÓN (antes Arquitectura Técnica),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA DE EDIFICACIÓN,IYA
2024-2025,University of Seville,Universidad De Sevilla 845502,845502,EDUCACIÓN INFANTIL,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 845521,845521,EDUCACIÓN INFANTIL,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 845601,845601,EDUCACIÓN INFANTIL + EDUCACIÓN PRIMARIA,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 845614,845614,EDUCACIÓN INFANTIL + EDUCACIÓN PRIMARIA,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 846531,846531,EDUCACIÓN PRIMARIA,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 846506,846506,EDUCACIÓN PRIMARIA,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 846603,846603,EDUCACIÓN PRIMARIA + ESTUDIOS FRANCESES,FACULTAD DE CIENCIAS DE LA EDUCACIÓN Y FACULTAD DE FILOLOGÍA,SIN
2024-2025,University of Seville,Universidad De Sevilla 802501,802501,ENFERMERÍA,"FACULTAD DE ENFER., FISIOT. Y PODOL.",SD
2024-2025,University of Seville,Universidad De Sevilla 802533,802533,ENFERMERÍA,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SD
2024-2025,University of Seville,Universidad De Sevilla 802514,802514,ENFERMERÍA,CENTRO DE ENFERMERÍA DE LA CRUZ ROJA (ADS.),SD
2024-2025,University of Seville,Universidad De Sevilla 803007,803007,ESTADÍSTICA,FACULTAD DE MATEMÁTICAS,C
2024-2025,University of Seville,Universidad De Sevilla 803104,803104,ESTADÍSTICA + FINANZAS Y CONTABILIDAD,FACULTAD DE MATEMÁTICAS,C
2024-2025,University of Seville,Universidad De Sevilla 850501,850501,ESTUDIOS DE ASIA ORIENTAL,FACULTAD DE FILOSOFÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 833003,833003,ESTUDIOS FRANCESES,FACULTAD DE FILOLOGÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 834503,834503,ESTUDIOS INGLESES,FACULTAD DE FILOLOGÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 830509,830509,FARMACIA,FACULTAD DE FARMACIA,SD
2024-2025,University of Seville,Universidad De Sevilla 830606,830606,FARMACIA + ÓPTICA Y OPTOMETRÍA,FACULTAD DE FARMACIA,SD
2024-2025,University of Seville,Universidad De Sevilla 832001,832001,FILOLOGÍA CLÁSICA,FACULTAD DE FILOLOGÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 834201,834201,FILOLOGÍA CLÁSICA + FILOLOGÍA HISPÁNICA,FACULTAD DE FILOLOGÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 834007,834007,FILOLOGÍA HISPÁNICA,FACULTAD DE FILOLOGÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 835507,835507,FILOSOFÍA,FACULTAD DE FILOSOFÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 802018,802018,FINANZAS Y CONTABILIDAD,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 802003,802003,FINANZAS Y CONTABILIDAD,FACULTAD DE TURISMO Y FINANZAS,SYJ
2024-2025,University of Seville,Universidad De Sevilla 802115,802115,FINANZAS Y CONTABILIDAD + RELACIONES LABORALES Y RECURSOS HUMANOS,FACULTAD DE CIENCIAS DEL TRABAJO,SYJ
2024-2025,University of Seville,Universidad De Sevilla 802100,802100,FINANZAS Y CONTABILIDAD + RELACIONES LABORALES Y RECURSOS HUMANOS,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 802208,802208,FINANZAS Y CONTABILIDAD + TURISMO,FACULTAD DE TURISMO Y FINANZAS,SYJ
2024-2025,University of Seville,Universidad De Sevilla 802022,802022,FINANZAS Y CONTABILIDAD (GRUPO EN INGLES),FACULTAD DE TURISMO Y FINANZAS,SYJ
2024-2025,University of Seville,Universidad De Sevilla 836004,836004,FÍSICA,FACULTAD DE FÍSICA,C
2024-2025,University of Seville,Universidad De Sevilla 836101,836101,FÍSICA + INGENIERÍA DE MATERIALES,FACULTAD DE FÍSICA,SIN
2024-2025,University of Seville,Universidad De Sevilla 839404,839404,FÍSICA + MATEMÁTICAS,FACULTAD DE MATEMÁTICAS,C
2024-2025,University of Seville,Universidad De Sevilla 803503,803503,FISIOTERAPIA,"FACULTAD DE ENFERMERÍA, FISIOTERAPIA Y PODOLOGÍA",SD
2024-2025,University of Seville,Universidad De Sevilla 803518,803518,FISIOTERAPIA,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SD
2024-2025,University of Seville,Universidad De Sevilla 803615,803615,FISIOTERAPIA + CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SIN
2024-2025,University of Seville,Universidad De Sevilla 803600,803600,FISIOTERAPIA + CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,SIN
2024-2025,University of Seville,Universidad De Sevilla 800502,800502,FUNDAMENTOS DE ARQUITECTURA,ESCUELA TÉCNICA SUPERIOR DE ARQUITECTURA,IYA
2024-2025,University of Seville,Universidad De Sevilla 836705,836705,GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,FACULTAD DE GEOGRAFÍA E HISTORIA,SYJ
2024-2025,University of Seville,Universidad De Sevilla 836901,836901,GEOGRAFÍA Y GESTIÓN DEL TERRITORIO + HISTORIA,FACULTAD DE GEOGRAFÍA E HISTORIA,SIN
2024-2025,University of Seville,Universidad De Sevilla 837504,837504,HISTORIA,FACULTAD DE GEOGRAFÍA E HISTORIA,AYH
2024-2025,University of Seville,Universidad De Sevilla 837601,837601,HISTORIA + HISTORIA DEL ARTE,FACULTAD DE GEOGRAFÍA E HISTORIA,AYH
2024-2025,University of Seville,Universidad De Sevilla 838001,838001,HISTORIA DEL ARTE,FACULTAD DE GEOGRAFÍA E HISTORIA,AYH
2024-2025,University of Seville,Universidad De Sevilla 821701,821701,INGENIERÍA AEROESPACIAL (PARS con Máster en Ingeniería Aeronáutica),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 822004,822004,INGENIERÍA AGRÍCOLA,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA,IYA
2024-2025,University of Seville,Universidad De Sevilla 822209,822209,INGENIERÍA AGRÍCOLA (US) + CIENCIAS AMBIENTALES (UPO),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA AGRONÓMICA,SIN
2024-2025,University of Seville,Universidad De Sevilla 822500,822500,"INGENIERÍA CIVIL (PARS con Máster en Ingeniería de Caminos, Canales y Puertos)",ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 816801,816801,INGENIERÍA DE LA ENERGÍA,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 850003,850003,INGENIERÍA DE LA SALUD,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,IYA
2024-2025,University of Seville,Universidad De Sevilla 891300,891300,INGENIERÍA DE MATERIALES,FACULTAD DE FÍSICA,IYA
2024-2025,University of Seville,Universidad De Sevilla 895501,895501,INGENIERÍA DE ORGANIZACIÓN INDUSTRIAL,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 825005,825005,INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN (PARS con Máster en Ingeniería de Telecomunicación),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 812505,812505,INGENIERÍA ELÉCTRICA,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 812701,812701,INGENIERÍA ELÉCTRICA + ING. ELECTRÓNICA INDUSTRIAL,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 813002,813002,INGENIERÍA ELECTRÓNICA INDUSTRIAL,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 813017,813017,"INGENIERÍA ELECTRÓNICA, ROBÓTICA Y MECATRÓNICA",ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 811201,811201,INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DEL PRODUCTO,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 823008,823008,INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES (PARS con Máster en Ingeniería Industrial),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 815001,815001,INGENIERÍA INFORMÁTICA. INGENIERÍA DE COMPUTADORES,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,IYA
2024-2025,University of Seville,Universidad De Sevilla 814502,814502,INGENIERÍA INFORMÁTICA. INGENIERÍA DEL SOFTWARE,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,IYA
2024-2025,University of Seville,Universidad De Sevilla 814517,814517,INGENIERÍA INFORMÁTICA. INGENIERÍA DEL SOFTWARE (GRUPO EN INGLÉS),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,IYA
2024-2025,University of Seville,Universidad De Sevilla 823504,823504,INGENIERÍA INFORMÁTICA. TECNOLOGÍA INFORMÁTICA,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,IYA
2024-2025,University of Seville,Universidad De Sevilla 823301,823301,INGENIERÍA INFORMÁTICA. TECNOLOGÍA INFORMÁTICA + MATEMÁTICAS,ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA INFORMÁTICA,SIN
2024-2025,University of Seville,Universidad De Sevilla 813509,813509,INGENIERÍA MECÁNICA,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 812807,812807,INGENIERÍA MECÁNICA + INGENIERÍA ELÉCTRICA,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 811307,811307,INGENIERÍA MECÁNICA + INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DEL PRODUCTO,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 814006,814006,INGENIERÍA QUÍMICA INDUSTRIAL,ESCUELA POLITÉCNICA SUPERIOR,IYA
2024-2025,University of Seville,Universidad De Sevilla 824508,824508,INGENIERÍA QUÍMICA (PARS con Máster en Ingeniería Química),ESCUELA TÉCNICA SUPERIOR DE INGENIERÍA,IYA
2024-2025,University of Seville,Universidad De Sevilla 832506,832506,"LENGUAS MODERNAS, LITERATURAS Y CULTURAS",FACULTAD DE FILOLOGÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 832603,832603,"LENGUAS MODERNAS, LITERATURAS Y CULTURAS + EDUCACIÓN PRIMARIA",FACULTAD DE FILOLOGÍA,AYH
2024-2025,University of Seville,Universidad De Sevilla 849008,849008,MARKETING E INVESTIGACIÓN DE MERCADOS,FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES,SYJ
2024-2025,University of Seville,Universidad De Sevilla 839005,839005,MATEMÁTICAS,FACULTAD DE MATEMÁTICAS,C
2024-2025,University of Seville,Universidad De Sevilla 839307,839307,MATEMÁTICAS + ESTADÍSTICA,FACULTAD DE MATEMÁTICAS,C
2024-2025,University of Seville,Universidad De Sevilla 839501,839501,MEDICINA,FACULTAD DE MEDICINA,SD
2024-2025,University of Seville,Universidad De Sevilla 840008,840008,ODONTOLOGÍA,FACULTAD DE ODONTOLOGÍA,SD
2024-2025,University of Seville,Universidad De Sevilla 806504,806504,ÓPTICA Y OPTOMETRÍA,FACULTAD DE FARMACIA,SD
2024-2025,University of Seville,Universidad De Sevilla 840504,840504,PEDAGOGÍA,FACULTAD DE CIENCIAS DE LA EDUCACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 841001,841001,PERIODISMO,FACULTAD DE COMUNICACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 841016,841016,PERIODISMO,CENTRO DE ESTUDIOS UNIVERSITARIOS EUSA (ADSCRITO),SYJ
2024-2025,University of Seville,Universidad De Sevilla 841109,841109,PERIODISMO + COMUNICACIÓN AUDIOVISUAL,FACULTAD DE COMUNICACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 841113,841113,PERIODISMO + COMUNICACIÓN AUDIOVISUAL,CENTRO DE ESTUDIOS UNIVERSITARIOS EUSA (ADSCRITO),SYJ
2024-2025,University of Seville,Universidad De Sevilla 807001,807001,PODOLOGÍA,"FACULTAD DE ENFERMERÍA, FISIOTERAPIA Y PODOLOGÍA",SD
2024-2025,University of Seville,Universidad De Sevilla 841508,841508,PSICOLOGÍA,FACULTAD DE PSICOLOGÍA,SD
2024-2025,University of Seville,Universidad De Sevilla 842010,842010,PUBLICIDAD Y RELACIONES PÚBLICAS,CENTRO DE ESTUDIOS UNIVERSITARIOS EUSA (ADSCRITO),SYJ
2024-2025,University of Seville,Universidad De Sevilla 842005,842005,PUBLICIDAD Y RELACIONES PÚBLICAS,FACULTAD DE COMUNICACIÓN,SYJ
2024-2025,University of Seville,Universidad De Sevilla 842501,842501,QUÍMICA,FACULTAD DE QUÍMICA,C
2024-2025,University of Seville,Universidad De Sevilla 842405,842405,QUÍMICA + INGENIERÍA DE MATERIALES,FACULTAD DE QUÍMICA,SIN
2024-2025,University of Seville,Universidad De Sevilla 808011,808011,RELACIONES LABORALES Y RECURSOS HUMANOS,CENTRO UNIVERSITARIO DE OSUNA (ADS.),SYJ
2024-2025,University of Seville,Universidad De Sevilla 808005,808005,RELACIONES LABORALES Y RECURSOS HUMANOS,FACULTAD DE CIENCIAS DEL TRABAJO,SYJ
2024-2025,University of Seville,Universidad De Sevilla 808710,808710,TURISMO,FACULTAD DE TURISMO Y FINANZAS,SYJ
2024-2025,University of Seville,Universidad De Sevilla 808706,808706,TURISMO,CENTRO DE ESTUDIOS UNIVERSITARIOS EUSA (ADSCRITO),SYJ
2024-2025,University of Seville,Universidad De Sevilla 808725,808725,TURISMO (GRUPO EN INGLÉS),FACULTAD DE TURISMO Y FINANZAS,SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 925501,925501,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,FACULTAD CIENCIAS EMPRESARIALES,SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 925529,925529,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,CENTRO UNIVERSITARIO SAN ISIDORO (ADS.),SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 925607,925607,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO,FACULTAD CIENCIAS EMPRESARIALES + DERECHO,SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 925626,925626,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO,CENTRO UNIVERSITARIO SAN ISIDORO (ADS.),SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 925611,925611,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS + DERECHO (grupo formación bilingüe),FACULTAD CIENCIAS EMPRESARIALES + DERECHO,SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 925514,925514,ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (grupo formación en inglés),FACULTAD CIENCIAS EMPRESARIALES,SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 951005,951005,ANÁLISIS ECONÓMICO,FACULTAD CIENCIAS EMPRESARIALES,SYJ
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 926708,926708,BIOTECNOLOGÍA,FACULTAD CIENCIAS EXPERIMENTALES,C
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 927000,927000,CIENCIAS AMBIENTALES,FACULTAD CIENCIAS EXPERIMENTALES,C
2024-2025,Pablo de Olavide University,Universidad Pablo Olavide 927302,927302,CIENCIAS AMBIENTALES + GEOGRAFÍA E HISTORIA,FACULTAD CIENCIAS EXPERIMENTALES,SIN
