Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
3042000;Licenciado en Publicidad y Relaciones Públicas;Varias Universidades;Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3042000;Licenciado en Publicidad y Relaciones Públicas;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3074000;Licenciado en Química;Varias Universidades;Segundo Ciclo de Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3074000;Licenciado en Química;Varias Universidades;Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3074000;Licenciado en Química;Varias Universidades;Primer Ciclo de Ciclo Largo;Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3043000;Licenciado en Traducción e Interpretación;Varias Universidades;Segundo Ciclo de Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3043000;Licenciado en Traducción e Interpretación;Varias Universidades;Ciclo Largo;Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4033000;Maestro-Especialidad de Educación Física;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4030000;Maestro-Especialidad de Educación Infantil;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4034000;Maestro-Especialidad de Educación Musical;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4031000;Maestro-Especialidad de Educación Primaria;Varias Universidades;Ciclo Corto;Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4000978;Doctor en Programa Oficial de Posgrado de la traducción y la sociedad del conocimiento;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000974;Doctor en Programa Oficial de Posgrado en ciencias de la comunicación;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000966;Doctor en Programa Oficial de Posgrado en ciencias experimentales;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000812;Doctor en Programa Oficial de Posgrado en Cooperación al Desarrollo;(Conjunto);Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000341;Doctor en Programa Oficial de Posgrado en Desarrollo Local y Territorio;(Conjunto);Doctor - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000968;Doctor en Programa Oficial de Posgrado en dirección de empresas y marketing;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000343;Doctor en Programa Oficial de Posgrado en Economía Internacional;(Conjunto);Doctor - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001623;Doctor en Programa Oficial de Posgrado en Enseñanza y Adquisición de la Lengua Inglesa en Contextos Multilingües;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000386;Doctor en Programa Oficial de Posgrado en Estudios Internacionales en Paz, Conflictos y Desarrollo;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000970;Doctor en Programa Oficial de Posgrado en estudios jurídicos avanzados;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4001622;Doctor en Programa Oficial de Posgrado en Gestión Financiera y Contabilidad Avanzada;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000979;Doctor en Programa Oficial de Posgrado en historia moderna;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000971;Doctor en Programa Oficial de Posgrado en igualdad y género en el ámbito público y privado;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000975;Doctor en Programa Oficial de Posgrado en intervención familiar y social;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4000972;Doctor en Programa Oficial de Posgrado en investigación en atención primaria;Universidad Jaume I de Castellón;Doctor - RD 56/2005 (2);;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
