Code,Academic Year,Degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
2501266,2024-2025,Administración y Dirección de Empresas,8ca5d111b48245023efe2841014f4051,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2500847,2024-2025,Derecho,dcb201b195282662b8b152c9a5196f39,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501267,2024-2025,Educación Infantil,1265fb051808a1436ec99f97ea72ea6c,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501268,2024-2025,Educación Primaria,f41ce320df5124de7c071dce8d79e3fb,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502122,2024-2025,Enfermería,2f86d3a1d2a7b6eedee6192cf24fa249,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2502120,2024-2025,Enología,30aeec30e8a7a9cc92bc0fedb72979d0,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2500845,2024-2025,Estudios Ingleses,78d09cf6c771647444ef00dccc5622cc,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2500846,2024-2025,Geografía e Historia,9522bdf59dbfa5edf4b73419e23ee9f9,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2502124,2024-2025,Ingeniería Agrícola,df2d814e385f16661dbba65468f55044,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502125,2024-2025,Ingeniería Eléctrica,fbbc2d00c5d3f816d27b10a6e5e6a7ce,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502127,2024-2025,Ingeniería Electrónica Industrial y Automática,f2eed6aeb9e41372c3dc48b5a779a97c,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2500849,2024-2025,Ingeniería Informática,f370a20c1a671e202f2400f42f3a250f,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2502128,2024-2025,Ingeniería Mecánica,b0a649f74ea71727835c7889a43ed7c8,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2501156,2024-2025,Lengua y Literatura Hispánica,af85da2172c81916bc291579ae2ded05,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2501052,2024-2025,Matemáticas,008c9c6db07b7d4b8f2a3ea20c98ebf4,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2502121,2024-2025,Química,6de84f716fd4ad044fefb91742644052,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2502123,2024-2025,Relaciones Laborales y Recursos Humanos,3ac6339373186768aa46e48ca5a3a463,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2500848,2024-2025,Trabajo Social,7db0088adb4227bca7ec932661e392df,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502502,2024-2025,Turismo,fe41b8a8d47c3778ccc690e239356b03,dcbcd7e79ed9bec816e6a427d84bbf64,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
