Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,4310279,Computación en la Nube y de Altas Prestaciones / Cloud and High-Performance Computing,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,3500443,Computational Engineering & Industrial Mathematics,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4317446,Comunicación Transmedia,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310966,Conservación del Patrimonio Arquitectónico,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310967,Conservación y Restauración de Bienes Culturales,Universitat Politècnica de València,Máster,Artes y Humanidades
2024-2025,4310968,Construcciones e Instalaciones Industriales,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4311725,Cooperación al Desarrollo,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4314825,Dirección de Empresas (MBA),Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310814,Dirección Financiera y Fiscal,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310898,Dirección y Gestión de Proyectos,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,3500516,Diseño Arquitectónico de Interiores,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310969,Diseño y Fabricación Integrada Asistidos por Computador,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4311604,Economía Agroalimentaria y del Medio Ambiente,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310280,Edificación,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314528,Enología,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4316557,"Estudios de la Ciencia, la Tecnología y la Innovación",Universitat Politècnica de València,Máster,Artes y Humanidades
2024-2025,4312991,Evaluación y Seguimiento Ambiental de Ecosistemas Marinos y Costeros,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4317936,Ganadería de Precisión,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4316135,Gestión Administrativa,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310960,Gestión Cultural,Universitat Politècnica de València,Máster,Artes y Humanidades
2024-2025,4310813,"Gestión de Empresas, Productos y Servicios",Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311605,Gestión de la Seguridad y Calidad Alimentaria,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4318372,Humanidades Digitales,Universitat Politècnica de València,Máster,Artes y Humanidades
2024-2025,4317946,Incendios Forestales. Ciencia y Gestión Integral,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4313420,Industria Global de la Música y el Espectáculo (Global Entertainment and Music Business),Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310282,Ingeniería Acústica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314521,Ingeniería Aeronáutica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314529,Ingeniería Agronómica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4311726,Ingeniería Ambiental,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
