Code,Degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
2500333,Lengua y Literatura Españolas,8882e23ef596a904cc8e64fcd7cebffc,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2500777,Matemáticas,e4ea9ea20e1d15a2e511488507015742,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2503367,Medicina,5a61fd1ef9d86a64afd797a07f8bf238,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2504028,Nutrición Humana y Dietética,e60403162413167845796aa67f572501,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2503521,Odontología,101843ff9eb4fc7f568e3130f7376967,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2500338,Pedagogía,43a939a470c94af7402ddc79a81d0176,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2500335,Psicología,890d7fa76ee0dfe369373b479985f064,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2500790,Química,9fb25b91b20c7e5904bb786c9679af4d,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2502133,Relaciones Laborales,375908768e34b833ee6576b588e02283,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501150,Trabajo Social,417921d946390210523291d20d4eecd4,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501048,Turismo,2c9a65342e2f3d585897a84ac45d558f,2f0fa6cb7c08610911b3258fd5f2738a,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
4313691,Abogacía y Procura,756e0efc858880216509b6242d3831a3,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4315495,Analítica de Datos e Inteligencia de Negocios,d0af7fe2549a1ef63adb669fbac9fcea,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314265,Biotecnología en Salud,aafd02adb4921c87edb5ac63ff71fbb5,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314201,Ciencia y Tecnología Química,76d60696e0212ecacb2c73c4cd89b82a,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314264,Cognición y Sociedad,eaf96646554e5b9e9f929ffca8566ba4,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4313603,Contabilidad y Auditoría,923875391299515b29d082082a41794e,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4315287,Ecología Marina,ad4ed9cd663f8687690fa0c7e4c817c2,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314959,Economía del Turismo: Monitorización y Evaluación,af2ea30ae49606879e393fe3e1a756c3,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4317971,Edificación y Rehabilitación Arquitectónica,b932ab2e0f76ed0d906c4c518b57b092,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
3500795,Estudio y Gestión de Ecosistemas Terrestres frente al Cambio Global,b94fe41539c5982d14de0c69bde55f58,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4317180,Estudios Lingüísticos y Literarios: Investigación y Enseñanza,290cf33303fac29f7abdfd03707e63d8,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
3500367,"Estudios Mediterráneos. Patrimonio Cultural, Historia y Arte: Perspectivas Integradas",bfb9625335d3ef3318d6459a1ea5c064,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4314199,Filosofía,292fc7e73a31960a09493c8f50d69b0c,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4314206,Física Avanzada y Matemática Aplicada,6b4f30d24c6924371671d1349d465894,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4313187,Física de Sistemas Complejos por la Universidad de las Illes Balears,81c93ba7e566d160030a98252efbb799,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4311001,Formación del Profesorado,f43c141416bf6c5f186a4c18965fdfc5,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4311600,Gestión de Recursos Humanos. Intervención Psicológica y Pedagógica,2332b75ab57c271183cf7f520102b576,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4311312,"Gestión, Organización y Economía de la Empresa / Management, Organization and Business Economics",f5f89a8de76d93218ac22ff36b0000ff,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4315060,Ingeniería Agronómica,4df9e38e14c9de20faa1c4c7cf30b521,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4318247,Ingeniería Industrial,2027e9513201f7a7234183047e19a97a,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4312526,"Intervención Socioeducativa con Infancia, Adolescencia y Familia",8eb9587e206e534971bd0dad5b0a179c,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
