Address,AddressID,Postal Code,MunicipalityID
Campus de Bellaterra,3c3f54089c11b4a77e3e93ec6a278c08,8193,e04ece893bad3d202b27b4d794871500
Ciudad Universitaria de Cantoblanco,ae76c8afd8527d630183d011e750f230,28049,ed2539fe892d2c52c42a440354e8e3d5
"Calle Madrid, 126-128",c14a93d1790d92a112a42eeff4b2f30e,28903,97607351b6327c59e5b58d20581e5a10
"Ciudad Universitaria,  s/n",5eb630aadf76d3d225acc8f19f2b5fe0,28040,ed2539fe892d2c52c42a440354e8e3d5
"Calle Maestranza, 9",c198b7d07de0ff2cf72f123288f8816d,15001,a7388c29b19e3614feba878558c8a4cc
"Plaza San Diego, s/n",2cb56938242f84595853b892169a6f15,28801,de64d9e294065fdb1fd0e31604c40251
"Carretera San Vicente del Raspeig, s/n",5e474da7ce008ddae0c4fe59335198e0,3690,1f43582f8f04286902cb91c213ad1450
"Carretera Sacramento, s/n",36457e0372702d3ea78afcd33bb30f49,4120,b92cf93d30857a0bf7e36b5ecde73cc6
"Gran Via de Les Corts Catalanes, 585",6d8909ba9c86e580d20cf254291d7888,8007,dea56e47f1c62c30b83b70eb281a6c39
Hospital del Rey s/n. Edificio de Rectorado,80bf0a84d7eab9f28e46593d41ce8221,9001,bef5f2941cf5fb21c09c48c553ce841b
"Calle Ancha, 16",e105c18c9e4a5a8424d24faaea1ed4fb,11001,d1c96a38f655a21eeeb3b765905c3d62
"Avenida de los Castros, s/n",db9caf43d64b1c96ddea24a16d87697c,39005,8fbbf95f1e5678899cb285b6051846a7
"Calle Altagracia, 50",bcb39484b4ad9171f9fc6723ef2db988,13071,deae20b0dcaad78492b8e1664a0c87b6
"Avenida de Medina Azahara, 5",6d3aa9ea9a6cc6286ef18273287c8e87,14071,82bd82854e66f8cd81809b92fa8d627e
"Avenida de Elvas, s/n",f519563e4b72629040d10eb10869d330,6071,aaa987f19ba505d33fff6fabb9a0ca56
"Calle Cuesta del Hospicio, s/n",e8b6b0ad4308e87cfadef3bf3e0ac0f9,18015,9d3ae5b21c7c818ad1a25289a9f05392
"Calle Doctor Cantero Cuadrado, 6",d82fd4a8f42aad9929e1e82039bdba88,21004,52c5c619cd41b4df17507358dcd28112
"Campus de las Lagunillas, s/n",2b571cc48daa38ca5a8fdc1ce6e0602e,23071,43947625c64e661b42d657f05dffe848
"Calle Molinos de Agua, s/n",b9db6fc801e75d08e8cc8e77f783be34,38207,666db74cf1e60bf56dc48118aab2d2ef
"Avenida de La Paz , 93",a8de3933ae1d800288b7d16696db6025,26006,af9851d419c15b880ee57962c83d5594
"Calle Juan de Quesada, nº 30",d3ab24f3ec9b7ed58d4014fc99a92c2e,35001,82c21e13fb779b79521be582fa892e3b
"Avda. de la Facultad, 25",be5d0e33953eb715fe928e0726966de6,24071,576fce76a8d504e00604cfbf71456823
"Plaza Víctor Siurana, 1",5c824e607e7d4e015aaca1c38fa4c7cc,25003,d13a94e9244fa8082eb6712ab963f7d5
"Avenida Cervantes, 2",0808957d16691b9b3c52bcc760327b8e,29071,e9a2d15392a3f86c028abcb66c58e6ed
"Avda. Teniente Flomesta, nº 5",9432035fcf71d0c7904c99b7340ac337,30003,51788e90816f2fbc6a9642c459527d94
"Calle San Francisco, 3",72a1aa323272ea5a67df1e6d77c1f850,33003,f0315c325f79fd9e007ab900b8fe163b
Patio de Escuelas 1,7ff92ce25e10f5bbdbf536255db2cde3,37008,848cded4ca550d5267e68a2c233140e7
"Plaza del Obradoiro, s/n",ac30a2c309ad882f6b0ce6cadf6d3b3f,15782,d77f619c5dcb4f90bdccba914f865e5f
"Calle San Fernando, 4",a4dbfb7e4703e422d2e89903dc982ecf,41004,ba5feb35eabd76f18fbe4b45531bc2ab
"Plaza de Sta. Cruz, nº 8",2fc64a0e9d9a78677d65d0b9a90102fb,47002,fcec2d8942df87fdcd27550e6383982a
Campus Universitario,2172351eb1543e16ed37e3f35f7bc60a,36310,b737e588c11314cecf35749cb7684be2
"Calle Pedro Cerbuna, 12 - Ciudad Universitaria",fd13743a4417484f87b2433c9553ab40,50009,7b8e7b0f084ec0ac5fda8eabc030f923
"Bº de Sarriena, s/n",911f1ad48d2ec11cbd33b11dd1f59500,48940,42dc29076d61743c60743a2c666bef77
"Monasterio Santa María de las Cuevas. C/Américo Vespucio, 2, Isla de La Cartuja",45a07db0bcf8bb2f3f5c81e127f8b25d,41092,ba5feb35eabd76f18fbe4b45531bc2ab
"Calle Isaac Peral, 23",737457c5421008b818dfda65c3e87a06,28040,ed2539fe892d2c52c42a440354e8e3d5
"Avenida de Vicent Sos Baynat, s/n",ff6c8a854c99dbb52104860a0b660886,12071,e51dada5eca4566e16b4ba7a21b32f4a
"Avenida de la Universidad, s/n",f2d3ae026c39eefddf20fb3a59d69686,3202,5a6fcaf6eb1c2c9f23d060750c46b23e
"Calle Bravo Murillo, 38",fe1f80056d814c268f5b1f594e2fa6d0,28015,ed2539fe892d2c52c42a440354e8e3d5
"Carretera de Utrera, km. 1",8594d2269a6b4cba3f5f018e0e82d252,41013,ba5feb35eabd76f18fbe4b45531bc2ab
"Pza. del Cronista Isidoro Valverde, Edif. La Milagrosa",f2ff819a4e5b5fe4f6711298f3207814,30202,af406275919b43fc8a50e63073a4fb2b
"Calle Jordi Girona, 31",56139dcd5dc01afe7f2ee5ee8ee22f56,8034,dea56e47f1c62c30b83b70eb281a6c39
"Calle Ramiro de Maeztu, 7",f5b64eaf989ded9f25f77095e229c55e,28040,ed2539fe892d2c52c42a440354e8e3d5
"Plaça de la Mercè, 10-12",9e15f95280fd62f6ee2c3f09f4808352,8002,dea56e47f1c62c30b83b70eb281a6c39
Campus de Arrosadía,3bb63e8e0ff43079eb78ad08a106caa5,31006,1fda8dfc8ee175b560d25549af393f40
"Calle Tulipán, s/n",deeaaf037b78576632f93c3f87257f30,28933,30d55764f702e4deac3a9251fe7642ce
"Calle del Escorxador, s/n",6f62b489722e5c0fe9380df5ef254ca8,43003,92b4d96f4fd15d0ea4da987e6150dead
"Plaza Sant Domènec, 3. Edificio Les Àligues",8bdbd17a4cd083fc94a915e7efe6e10b,17004,db31870d6e036474b066f461a8097440
