Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
5600476;"Programa de Doctorado en Ecología. Conservación y Restauración de Ecosistemas por la Universidad Complutense de Madrid; la Universidad de Alcalá; la Universidad Politécnica de Madrid y la Universidad Rey Juan Carlos";(Conjunto);Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;
5601012;"Programa de Doctorado en Economía y Gestión de la Innovación por la Universidad Autónoma de Madrid; la Universidad Complutense de Madrid y la Universidad Politécnica de Madrid";(Conjunto);Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600672;Programa de Doctorado en Energía Solar Fotovoltaica por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600720;Programa de Doctorado en Energía Sostenible Nuclear y Renovable por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5601108;Programa de Doctorado en Estructuras de la Edificación por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600736;Programa de Doctorado en Ingeniería Aeroespacial por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600721;Programa de Doctorado en Ingeniería Ambiental, Química y de los Materiales por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600532;Programa de Doctorado en Ingeniería Biomédica por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600705;Programa de Doctorado en Ingeniería de Estructuras, Cimentaciones y Materiales por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600735;Programa de Doctorado en Ingeniería de Organización por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5601353;Programa de Doctorado en Ingeniería de Producción y Diseño Industrial por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600654;Programa de Doctorado en Ingeniería de Sistemas Electrónicos por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600655;Programa de Doctorado en Ingeniería de Sistemas Telemáticos por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600709;Programa de Doctorado en Ingeniería de Sistemas y Servicios para la Sociedad de la Información por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600680;Programa de Doctorado en Ingeniería Eléctrica y Electrónica por la Universidad de Oviedo y la Universidad Politécnica de Madrid;(Conjunto);Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5601084;Programa de Doctorado en Ingeniería Geomática  por la Universidad Politécnica de Madrid y la Universitat Politècnica de València;(Conjunto);Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600689;Programa de Doctorado en Ingeniería Matemática, Estadística e Investigación Operativa por la Universidad Complutense de Madrid y la Universidad Politécnica de Madrid;(Conjunto);Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600706;Programa de Doctorado en Ingeniería Mecánica por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600877;Programa de Doctorado en Ingenieria Naval y Oceánica por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5601286;Programa de Doctorado en Ingeniería y Gestión del Medio Natural por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600741;Programa de Doctorado en Innovación Tecnológica en Edificación por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600401;Programa de Doctorado en Inteligencia Artificial por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600605;Programa de Doctorado en Investigación Forestal Avanzada por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600692;Programa de Doctorado en Investigación, Modelización y Análisis del Riesgo en Medio Ambiente por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600420;"Programa de Doctorado en Mecánica de Fluidos por la Universidad Carlos III de Madrid; la Universidad de Jaén; la Universidad de Zaragoza; la Universidad Nacional de Educación a Distancia; la Universidad Politécnica de Madrid y la Universidad Rovira i Virgili";(Conjunto);Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5601407;Programa de Doctorado en Música y su Ciencia y Tecnología por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5601101;Programa de Doctorado en Patrimonio Arquitectónico por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5601175;Programa de Doctorado en Planificación de Proyectos de Desarrollo Rural y Gestión Sostenible por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600409;Programa de Doctorado en Proyectos Arquitectónicos Avanzados por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600404;Programa de Doctorado en Sistemas Complejos por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600400;Programa de Doctorado en Sistemas de Ingeniería Civil por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600468;Programa de Doctorado en Software, Sistemas y Computación por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600830;Programa de Doctorado en Sostenibilidad y Regeneración Urbana por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600516;Programa de Doctorado en Tecnología Agroambiental para una Agricultura Sostenible por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600510;Programa de Doctorado en Tecnologías de la Información y las Comunicaciones: Materiales y Dispositivos por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
5600656;Programa de Doctorado en Tecnologías y Sistemas de Comunicaciones por la Universidad Politécnica de Madrid;Universidad Politécnica de Madrid;Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
5600007;"Programa de Doctorado Erasmus Mundus en Organización Industrial (Industrial Management) por la Universidad Politécnica de Madrid; Kungliga Tekniska Högskolan-The Royal Institute of Technology (Suecia) y Politecnico Di Milano (Italia)";(Conjunto Internacional);Doctor - RD 99/2011 (0);;;Publicado en B.O.E.;
