Code,Academic Year,Degree,Degree ID,University,University ID,Academic Level,Academic Level ID,Knowledge Area,Knowledge Area ID,Type
2501177,2024-2025,Ingeniería Telemática,d20b36fc0e4af6a3307852915be774b4,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Grado,d6d85d89b4612501521435bd3f620a9a,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",PÃºblica
1500103,2024-2025,Tecnología y Operaciones Militares Aeroespaciales,b37d377fc707aee310f864280568ac40,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Grado,d6d85d89b4612501521435bd3f620a9a,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",PÃºblica
2503650,2024-2025,Turismo,361f59b08727e67afe4c3975f0d9f0f3,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Grado,d6d85d89b4612501521435bd3f620a9a,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",PÃºblica
4312751,2024-2025,Administración y Dirección de Empresas (MBA),6d3a29332974fe7891f71ae2b70dad37,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",PÃºblica
4312105,2024-2025,Administración y Dirección de Entidades de Economía Social,314c4b47f01b75c33611fcb7ce7c21b5,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",PÃºblica
4317177,2024-2025,Arquitectura,bda87a22dc0bbc4269c5b8bfdf5e5960,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4314672,2024-2025,Ciencia y Tecnología del Agua y del Terreno,a1b9399c19035af782c899fb829ddaf0,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4317078,2024-2025,Dirección de Agronegocios,c95c605449e79a25eb49b3836f4c7e6e,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",PÃºblica
4315845,2024-2025,Dirección de Entidades de la Economía Social,d801f9c3cb13e1195bcd728a5342684a,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",PÃºblica
4311461,2024-2025,Energías Renovables,343f160af52ee678e265f619d31e1ca9,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
