Code,Degree,University Wikidata,University,Academic Level,Ambit
4314273,Química Teórica y Modelización Computacional,University of Salamanca,Universidad de Salamanca,Master,Science
4314273,Química Teórica y Modelización Computacional,University of Santiago de Compostela,Universidad de Santiago de Compostela,Master,Science
4314273,Química Teórica y Modelización Computacional,University of Valladolid,Universidad de Valladolid,Master,Science
4314273,Química Teórica y Modelización Computacional,Vigo University,Universidad de Vigo,Master,Science
4314273,Química Teórica y Modelización Computacional,University of the Basque Country,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Master,Science
4314273,Química Teórica y Modelización Computacional,Jaume I University,Universidad Jaume I de Castellón,Master,Science
4314273,Química Teórica y Modelización Computacional,University of the Balearic Islands,Universitat de les Illes Balears,Master,Science
4314273,Química Teórica y Modelización Computacional,University of Valencia,Universitat de València,Master,Science
3500667,Salud Global,University of Almería,Universidad de Almería,Master,Health Sciences
3500667,Salud Global,Universidad de Málaga,Universidad de Málaga,Master,Health Sciences
4313436,Tecnología Educativa: E-learning y Gestión del Conocimiento,Rovira i Virgili University,Universidad Rovira i Virgili,Master,Social Sciences
4313436,Tecnología Educativa: E-learning y Gestión del Conocimiento,University of Murcia,Universidad Rovira i Virgili,Master,Social Sciences
4313436,Tecnología Educativa: E-learning y Gestión del Conocimiento,University of Lleida,Universidad Rovira i Virgili,Master,Social Sciences
3500062,Trabajo Social en el Ámbito Sanitario,University of the Balearic Islands,Universitat de les Illes Balears,Master,Social Sciences
3500062,Trabajo Social en el Ámbito Sanitario,Rovira i Virgili University,Universidad Rovira i Virgili,Master,Social Sciences
3500062,Trabajo Social en el Ámbito Sanitario,University of Murcia,Universidad de Murcia,Master,Social Sciences
3500062,Trabajo Social en el Ámbito Sanitario,University of Lleida,Universidad de Lleida,Master,Social Sciences
3500062,Trabajo Social en el Ámbito Sanitario,University of Girona,Universidad de Girona,Master,Social Sciences
3500062,Trabajo Social en el Ámbito Sanitario,University of Barcelona,Universidad de Barcelona,Master,Social Sciences
3500062,Trabajo Social en el Ámbito Sanitario,University of Alicante,Universidad de Alicante,Master,Social Sciences
