"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"5311375","Programa Oficial de Doctorado en Educación Inclusiva","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311797","Programa Oficial de Doctorado en Educación: Primera Infancia, Menores y Familia.","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310433","Programa Oficial de Doctorado en Filosofía","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310434","Programa Oficial de Doctorado en Física","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310435","Programa Oficial de Doctorado en Geografía","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310436","Programa Oficial de Doctorado en Historia","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310437","Programa Oficial de Doctorado en Historia del Arte","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310438","Programa Oficial de Doctorado en Informática","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310903","Programa Oficial de Doctorado en Ingeniería Electrónica","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310440","Programa Oficial de Doctorado en Lengua y Literatura Catalanas","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310441","Programa Oficial de Doctorado en Lenguas y Literaturas Modernas","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310442","Programa Oficial de Doctorado en Matemáticas","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310443","Programa Oficial de Doctorado en Microbiología Ambiental y Biotecnología","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310444","Programa Oficial de Doctorado en Neurociencias","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310445","Programa Oficial de Doctorado en Nutrición Humana","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310446","Programa Oficial de Doctorado en Nutrigenómica y Nutrición Personalizada","Universitat de les Illes Balears","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311815","Programa Oficial de Doctorado en Química Orgánica Experimental e Industrial","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310092","Programa Oficial de Doctorado en Química Teórica y Modelización Computacional","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311284","Programa Oficial de Doctorado en Tecnología Educativa: Aprendizaje Virtual y Gestión del Conocimiento","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310449","Programa Oficial de Doctorado en Tecnología y Calidad de los Alimentos","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"2500813","Graduado o Graduada en Administración de Empresas por la Universitat de les Illes Balears","Universitat de les Illes Balears","Grado - RD 822/2021 (2)","Ciencias Sociales y Jurídicas","Ciencias económicas, administración y dirección de empresas, márquetin, comercio, contabilidad y turismo","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
