"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"5600379","Programa de Doctorado en Economía por la Universidad de Alicante; la Universidad de Murcia; la Universidad Miguel Hernández de Elche; la Universidad Nacional de Educación a Distancia y la Universidad Politécnica de Cartagena","(Conjunto)","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5600570","Programa de Doctorado en Electroquímica. Ciencia y Tecnología por la Universidad Autónoma de Barcelona; la Universidad Autónoma de Madrid; la Universidad de Alicante; la Universidad de Barcelona; la Universidad de Burgos; la Universidad de Córdoba; la Universidad de Lleida; la Universidad de Murcia; la Universidad de Sevilla; la Universidad Politécnica de Cartagena y la Universitat de València (Estudi General)","(Conjunto)","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5600729","Programa de Doctorado en Energías Renovables y Eficiencia Energética por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5600842","Programa de Doctorado en Técnicas Avanzadas en Investigación y Desarrollo Agrario y Alimentario por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5600934","Programa de Doctorado en Tecnología y Modelización en Ingeniería Civil, Minera y Ambiental por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5601505","Programa de Doctorado en Tecnologías de Doble Uso y sus Sistemas de Gestión en Seguridad y Defensa por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.",""
"5600714","Programa de Doctorado en Tecnologías de la Información y las Comunicaciones por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5600745","Programa de Doctorado en Tecnologías Industriales por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Doctor - RD 99/2011 (0)","","","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"5311894","Programa Oficial de Doctorado en Administración y Dirección de Empresas","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311946","Programa Oficial de Doctorado en Arquitectura y Tecnología de la Edificación","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310078","Programa Oficial de Doctorado en Electroquímica. Ciencia y Tecnología","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311437","Programa Oficial de Doctorado en Energías Renovables","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310878","Programa Oficial de Doctorado en Ingeniería Ambiental y de Procesos Químicos y Biotecnológicos","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310879","Programa Oficial de Doctorado en Ingeniería del Agua y del Terreno","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311605","Programa Oficial de Doctorado en Medio Ambiente y Minería Sostenible","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310880","Programa Oficial de Doctorado en Técnicas Avanzadas en Investigación y Desarrollo Agrario y Alimentario","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311436","Programa Oficial de Doctorado en Tecnologías de la Información y Comunicaciones","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311557","Programa Oficial de Doctorado en Tecnologías Industriales","Universidad Politécnica de Cartagena","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"2500955","Graduado o Graduada en Administración y Dirección de Empresas por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 822/2021 (2)","Ciencias Sociales y Jurídicas","Ciencias económicas, administración y dirección de empresas, márquetin, comercio, contabilidad y turismo","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"2502066","Graduado o Graduada en Arquitectura Naval e Ingeniería de Sistemas Marinos por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 822/2021 (2)","Ingeniería y Arquitectura","Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"2500086","Graduado o Graduada en Arquitectura por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN A EXTINGUIR)"
"2504340","Graduado o Graduada en Ciencia e Ingeniería de Datos por la Universidad de Murcia y la Universidad Politécnica de Cartagena","(Conjunto)","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","Ingeniería informática y de sistemas","Publicado en B.O.E.","(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)"
"2503197","Graduado o Graduada en Fundamentos de Arquitectura por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 822/2021 (2)","Ingeniería y Arquitectura","Arquitectura, construcción, edificación y urbanismo, e ingeniería civil","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"2502899","Graduado o Graduada en Ingeniería Agroalimentaria y de Sistemas Biológicos por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 822/2021 (2)","Ingeniería y Arquitectura","Ingeniería química, ingeniería de los materiales e ingeniería del medio natural","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"2504227","Graduado o Graduada en Ingeniería Biomédica por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación","Publicado en B.O.E.",""
"2504087","Graduado o Graduada en Ingeniería Civil por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","Arquitectura, construcción, edificación y urbanismo, e ingeniería civil","Publicado en B.O.E.",""
"2502067","Graduado o Graduada en Ingeniería Civil por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN A EXTINGUIR)"
"2500394","Graduado o Graduada en Ingeniería de Edificación por la Universidad Politécnica de Cartagena","Universidad Politécnica de Cartagena","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","Arquitectura, construcción, edificación y urbanismo, e ingeniería civil","Publicado en B.O.E.","(TITULACIÓN RENOVADA)"
"2502069","Graduado o Graduada en Ingeniería de la Hortofruticultura y Jardinería","Universidad Politécnica de Cartagena","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN A EXTINGUIR)"
"2502072","Graduado o Graduada en Ingeniería de las Industrias Agroalimentarias","Universidad Politécnica de Cartagena","Grado - RD 1393/2007 (1)","Ingeniería y Arquitectura","","Publicado en B.O.E.","(TITULACIÓN A EXTINGUIR)"
