"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_municipio","des_municipio","cod_campus","des_campus","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054816","Centro de Educación Superior de Negocios, Innovación y Tecnología","28079","MADRID","05616","Campus del centro ""Centro de Educación Superior de Negocios, Innovación y Tecnología""","4310311","MÁSTER UNIVERSITARIO EN CINE, TV Y MEDIOS INTERACTIVOS","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2009","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","11,26","17,97","21,02","21,02",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4318017","MÁSTER UNIVERSITARIO EN COMUNICACIÓN DE LA SALUD ON-LINE","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2022","3","En proceso de extinción","3","Estudio no presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","12"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4318004","MÁSTER UNIVERSITARIO EN MATEMÁTICAS AVANZADAS","2","Ciencias","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2022","2","Inactivo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","0"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4317678","MÁSTER UNIVERSITARIO EN LUDIFICACIÓN, APRENDIZAJE BASADO EN JUEGOS Y JUEGOS SERIOS: DOCENCIA Y FORMACIÓN CONTINUA ON-LINE","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2022","1","Activo","3","Estudio no presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","108"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4317830","MÁSTER INTERUNIVERSITARIO EN ASPECTOS CLÍNICOS Y BÁSICOS DEL DOLOR CON LA UNIVERSIDAD DE CANTABRIA","5","Ciencias de la Salud","1","Interuniversitario con Universidades españolas","1","La Universidad SÍ es la coordinadora del estudio Interuniversitario ","1","Se imparte en el curso académico de referencia","2021","1","Activo","2","Estudio semipresencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","117"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4317674","MÁSTER UNIVERSITARIO EN GESTIÓN DEL BIENESTAR SOCIAL Y CORPORATIVO","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2022","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4318040","MÁSTER UNIVERSITARIO EN INGENIERÍA AERONÁUTICA","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2022","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","51,75","111,8","154,8",,,"120","129"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4318032","MÁSTER INTERUNIVERSITARIO EN INTELIGENCIA ARTIFICIAL EN EL SECTOR DE LA ENERGÍA E INFRAESTRUCTURAS ON-LINE","4","Ingeniería y Arquitectura","1","Interuniversitario con Universidades españolas","0","La Universidad NO es la coordinadora del estudio Interuniversitario","0","No se imparte en el curso académico de referencia","2022","1","Activo","3","Estudio no presencial","0","No se oferta en idioma extranjero","0","0","0","0",,,"60","42"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28053897","Centro de Educación Superior CEDEU","28079","MADRID","05613","Campus del centro ""Centro de Educación Superior CEDEU""","4317028","MÁSTER UNIVERSITARIO EN NEGOCIOS DIGITALES ON-LINE","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2019","1","Activo","4","Varias modalidades","0","No se oferta en idioma extranjero","11,26","17,97","21,02","21,02",,,"60","126"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28048361","Escuela Superior de Ciencias Experimentales y Tecnología","28092","MÓSTOLES","05603","Móstoles","4311452","MÁSTER UNIVERSITARIO EN TÉCNICAS DE CONSERVACIÓN DE LA BIODIVERSIDAD Y ECOLOGIA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"90","102"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28048373","Facultad de Ciencias de la Salud","28007","ALCORCÓN","05601","Alcorcón","4311441","MÁSTER UNIVERSITARIO EN INVESTIGACIÓN EN GÉNERO Y SALUD","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","3","Estudio no presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28048373","Facultad de Ciencias de la Salud","28007","ALCORCÓN","05601","Alcorcón","3500173","MÁSTER UNIVERSITARIO EN PREPARACIÓN FÍSICA PARA LA SALUD Y EJERCICIO EN PATOLOGÍAS CRÓNICAS","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2024","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","66"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28048361","Escuela Superior de Ciencias Experimentales y Tecnología","28092","MÓSTOLES","05603","Móstoles","3500254","MÁSTER INTERUNIVERSITARIO EN CIENCIAS Y TECNOLOGÍAS ANALÍTICAS Y BIOANALÍTICAS POR LA UC3M, URJC, UAH, U.SAN PABLO CEU","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2024","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","72"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28048373","Facultad de Ciencias de la Salud","28007","ALCORCÓN","05601","Alcorcón","4313682","MÁSTER UNIVERSITARIO EN CUIDADOS CRÍTICOS","5","Ciencias de la Salud","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28048361","Escuela Superior de Ciencias Experimentales y Tecnología","28092","MÓSTOLES","05603","Móstoles","4313472","MÁSTER INTERUNIVERSITARIO EN INGENIERÍA QUÍMICA CON LA UNIVERSIDAD AUTÓNOMA DE MADRID","4","Ingeniería y Arquitectura","1","Interuniversitario con Universidades españolas","1","La Universidad SÍ es la coordinadora del estudio Interuniversitario ","1","Se imparte en el curso académico de referencia","2013","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","19,43","51,75","111,8","154,8",,,"90","96"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28055717","Facultad de Ciencias de la Educación y del Deporte y Estudios Interdisciplinares. Campus de Fuenlabrada","28058","FUENLABRADA","05602","Fuenlabrada","4310575","MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO-ESPECIALIDAD EN ADMINISTRACIÓN DE EMPRESAS Y ECONOMÍA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2011","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","16,92","42","91","126",,,"60","930"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28055651","Facultad de Artes y Humanidades. Campus de Madrid","28079","MADRID","05604","Madrid","4316165","MÁSTER UNIVERSITARIO EN GUION CINEMATOGRÁFICO Y SERIES DE TELEVISIÓN","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2017","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28053150","Escuela Universitaria de Artes y Espectaculos TAI","28079","MADRID","05612","Campus del centro ""Escuela de Artes TAI""","4317673","MÁSTER UNIVERSITARIO EN CREACIÓN DE ANIMANCIÓN AUDIOVISUAL","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2023","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","22,51","35,94","42,04","42,04",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","D","Doctorado","1","Centro","28053186","Escuela Internacional de Doctorado","28092","MÓSTOLES","05603","Móstoles","5600001","PROGRAMA DE DOCTORADO EN HUMANIDADES: LENGUAJE Y CULTURA RD 99/2011","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","1","Activo",,,"0","No se oferta en idioma extranjero",,,,,,"390",,
"2024-25","056","Universidad Rey Juan Carlos","D","Doctorado","1","Centro","28053186","Escuela Internacional de Doctorado","28092","MÓSTOLES","05603","Móstoles","5600004","PROGRAMA DE DOCTORADO EN CIENCIAS SOCIALES Y JURÍDICAS RD 99/2011","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2013","3","En proceso de extinción",,,"0","No se oferta en idioma extranjero",,,,,,"390",,
"2024-25","056","Universidad Rey Juan Carlos","D","Doctorado","1","Centro","28053186","Escuela Internacional de Doctorado","28092","MÓSTOLES","05603","Móstoles","5600564","PROGRAMA DE DOCTORADO INTERUNIVERSITARIO EN TURISMO RD 99/2011","3","Ciencias Sociales y Jurídicas","1","Interuniversitario con Universidades españolas","0","La Universidad NO es la coordinadora del estudio Interuniversitario","0","No se imparte en el curso académico de referencia","2014","4","Extinguido en el curso de referencia",,,"0","No se oferta en idioma extranjero",,,,,,"390",,
"2024-25","056","Universidad Rey Juan Carlos","D","Doctorado","1","Centro","28053186","Escuela Internacional de Doctorado","28092","MÓSTOLES","05603","Móstoles","5601072","PROGRAMA DE DOCTORADO INTERUNIVERSITARIO EN ESTUDIOS INTERDISCIPLINARES DE GÉNERO RD 99/2011","3","Ciencias Sociales y Jurídicas","1","Interuniversitario con Universidades españolas","0","La Universidad NO es la coordinadora del estudio Interuniversitario","1","Se imparte en el curso académico de referencia","2014","1","Activo",,,"0","No se oferta en idioma extranjero",,,,,,"390",,
"2024-25","056","Universidad Rey Juan Carlos","D","Doctorado","1","Centro","28053186","Escuela Internacional de Doctorado","28092","MÓSTOLES","05603","Móstoles","5601390","PROGRAMA DE DOCTORADO INTERUNIVERSITARIO EN TURISMO RD 99/2011","3","Ciencias Sociales y Jurídicas","1","Interuniversitario con Universidades españolas","0","La Universidad NO es la coordinadora del estudio Interuniversitario","1","Se imparte en el curso académico de referencia","2020","1","Activo",,,"0","No se oferta en idioma extranjero",,,,,,"390",,
"2024-25","056","Universidad Rey Juan Carlos","D","Doctorado","1","Centro","28053186","Escuela Internacional de Doctorado","28092","MÓSTOLES","05603","Móstoles","5601581","PROGRAMA DE DOCTORADO EN CIENCIAS DE LA ECONOMÍA Y LA EMPRESA RD 576/2023","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2024","1","Activo",,,"0","No se oferta en idioma extranjero",,,,,,"390",,
