Code,Degree,University,UniversityId,Unique Identifier,Academic Level,Ambit,Academic Year
2502375,Ingeniería Informática en Tecnologías de la Información,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Informática en Tecnologías de la Información,Grado,Ingeniería y Arquitectura,2023-2024
2502376,Ingeniería Mecánica,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Mecánica,Grado,Ingeniería y Arquitectura,2023-2024
2502378,Ingeniería Química Industrial,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Química Industrial,Grado,Ingeniería y Arquitectura,2023-2024
2502377,Ingeniería Química,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Química,Grado,Ingeniería y Arquitectura,2023-2024
2502379,Lengua Española y sus Literaturas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Lengua Española y sus Literaturas,Grado,Artes y Humanidades,2023-2024
2502380,Lenguas Modernas y sus Literaturas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Lenguas Modernas y sus Literaturas,Grado,Artes y Humanidades,2023-2024
2501625,Logopedia,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Logopedia,Grado,Ciencias de la Salud,2023-2024
2501627,Maestro en Educación Infantil,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Maestro en Educación Infantil,Grado,Ciencias Sociales y Jurídicas,2023-2024
2501628,Maestro en Educación Primaria,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Maestro en Educación Primaria,Grado,Ciencias Sociales y Jurídicas,2023-2024
2502040,Marina,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Marina,Grado,Ingeniería y Arquitectura,2023-2024
2501060,Matemáticas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Matemáticas,Grado,Ciencias,2023-2024
2502033,Medicina,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Medicina,Grado,Ciencias de la Salud,2023-2024
2502041,Náutica y Transporte Marítimo,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Náutica y Transporte Marítimo,Grado,Ingeniería y Arquitectura,2023-2024
2502034,Odontología,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Odontología,Grado,Ciencias de la Salud,2023-2024
2501631,Pedagogía,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Pedagogía,Grado,Ciencias Sociales y Jurídicas,2023-2024
2501626,Psicología,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Psicología,Grado,Ciencias de la Salud,2023-2024
2500954,Química,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Química,Grado,Ciencias,2023-2024
2501391,Relaciones Laborales y Recursos Humanos,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Relaciones Laborales y Recursos Humanos,Grado,Ciencias Sociales y Jurídicas,2023-2024
2502037,Terapia Ocupacional,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Terapia Ocupacional,Grado,Ciencias de la Salud,2023-2024
2502038,Trabajo Social,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Trabajo Social,Grado,Ciencias Sociales y Jurídicas,2023-2024
2502039,Turismo,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Turismo,Grado,Ciencias Sociales y Jurídicas,2023-2024
4313660,Abogacía y Procura,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Abogacía y Procura,Máster,Ciencias Sociales y Jurídicas,2023-2024
4312951,Administración y Dirección de Empresas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Administración y Dirección de Empresas,Máster,Ciencias Sociales y Jurídicas,2023-2024
4315881,Análisis de Datos para la Inteligencia de Negocios,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Análisis de Datos para la Inteligencia de Negocios,Máster,Ciencias Sociales y Jurídicas,2023-2024
4312932,Análisis y Gestión de Emergencia y Desastre,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Análisis y Gestión de Emergencia y Desastre,Máster,Ciencias de la Salud,2023-2024
4312876,Biología y Tecnología de la Reproducción,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Biología y Tecnología de la Reproducción,Máster,Ciencias de la Salud,2023-2024
4312877,Biomedicina y Oncología Molecular,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Biomedicina y Oncología Molecular,Máster,Ciencias de la Salud,2023-2024
4310231,Biotecnología Alimentaria,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Biotecnología Alimentaria,Máster,Ciencias,2023-2024
4312879,Biotecnología Aplicada a la Conservación y Gestión Sostenible de Recursos Vegetales,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Biotecnología Aplicada a la Conservación y Gestión Sostenible de Recursos Vegetales,Máster,Ciencias,2023-2024
4312878,Biotecnología del Medio Ambiente y la Salud,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Biotecnología del Medio Ambiente y la Salud,Máster,Ciencias,2023-2024
4313658,Ciencia y Tecnología de Materiales,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ciencia y Tecnología de Materiales,Máster,Ingeniería y Arquitectura,2023-2024
4312880,Ciencias Analíticas y Bioanalíticas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ciencias Analíticas y Bioanalíticas,Máster,Ciencias,2023-2024
4315571,Conservación Marina,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Conservación Marina,Máster,Ciencias,2023-2024
4312882,Conversión de Energía Eléctrica y Sistemas de Potencia,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Conversión de Energía Eléctrica y Sistemas de Potencia,Máster,Ingeniería y Arquitectura,2023-2024
4312881,Dirección y Planificación del Turismo,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Dirección y Planificación del Turismo,Máster,Ciencias Sociales y Jurídicas,2023-2024
4312883,Enfermería de Urgencias y Cuidados Críticos,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Enfermería de Urgencias y Cuidados Críticos,Máster,Ciencias de la Salud,2023-2024
4312885,Enseñanza Integrada de Lengua Inglesa y Contenidos: Educación Infantil y Primaria,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Enseñanza Integrada de Lengua Inglesa y Contenidos: Educación Infantil y Primaria,Máster,Ciencias Sociales y Jurídicas,2023-2024
4310541,Español como Lengua Extranjera,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Español como Lengua Extranjera,Máster,Artes y Humanidades,2023-2024
4316693,Estudios Avanzados en Historia del Arte: Investigación y Gestión,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Estudios Avanzados en Historia del Arte: Investigación y Gestión,Máster,Artes y Humanidades,2023-2024
4316415,Estudios de Economía Sectorial,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Estudios de Economía Sectorial,Máster,Ciencias Sociales y Jurídicas,2023-2024
4316741,"Física Avanzada: Partículas, Astrofísica, Nanofísica y Materiales Cuánticos",Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,"Universidad De Oviedo Física Avanzada: Partículas, Astrofísica, Nanofísica y Materiales Cuánticos",Máster,Ciencias,2023-2024
