UniversityID,FacultyID,Degree,DegreeID,AcademicLevelID,AmbitID,Academic Year
f9f0a05fbac13ce20a2af52247c2b93f,98f394722d47c37452079e3e4377547a,Derecho,298216e1583e113d7a59e03a9e88bf08,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,98f394722d47c37452079e3e4377547a,Relaciones Laborales y Recursos Humanos,cf274276628e8275bb52a2b889ee478f,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,98f394722d47c37452079e3e4377547a,PCEO Derecho y Administración y Dirección de Empresas,fdad01d3c8eb42734455d33f4eb53daf,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,98f394722d47c37452079e3e4377547a,PCEO Derecho y Ciencia Política y Gestión Pública,b4496399ce8303aa15977655e49edf21,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,fe8ea443c7900681952215f533745654,Educación Social,47211fc88d0ce3384e16c915063a3259,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,fe8ea443c7900681952215f533745654,Maestro de Educación Infantil,992d05f38094fb93743e86da7b795976,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,fe8ea443c7900681952215f533745654,Maestro de Educación Primaria,66acab33e405982ab05feadb03b991f2,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,fe8ea443c7900681952215f533745654,Pedagogía,9616a4bb7211f00a3268eefa56dcecc3,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,31ae09155e08904a62b953a3476bd843,Comunicación Audiovisual,067b0f56f40c16e212b0328c9a83f7ef,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,31ae09155e08904a62b953a3476bd843,Diseño de Videojuegos,d17b1a432a4cbba2a466f1646fd2472c,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,31ae09155e08904a62b953a3476bd843,Español: Lengua y Literatura,888f79581bf30292d2586c0bec7a5ecc,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,31ae09155e08904a62b953a3476bd843,Historia y Patrimonio,628de1c7a1cb494d85178a960e4c2dca,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
f9f0a05fbac13ce20a2af52247c2b93f,43342d8761b05d4e4f644f5ce364c7cd,Ingeniería de Empresa Digital,3d6454609e71dcf9bcc34489bec2c9b5,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,19379b73b3b7ab8db4d1b3b0b92c4e3f,Ingeniería Agraria,7370d50778a45b36001e7febfde005b0,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,ddca0f084c851a01517835d5bd122ecf,Ingeniería Aeroespacial,d1b69d00e3e997d0210a5a3ddb78dcfe,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,ddca0f084c851a01517835d5bd122ecf,Ingeniería de Datos e Inteligencia Artificial,a839182f33d5553e338a32ce99c8757a,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,ddca0f084c851a01517835d5bd122ecf,Ingeniería Eléctrica,95bcf9755e97556e351930922d622953,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,ddca0f084c851a01517835d5bd122ecf,Ingeniería en Electrónica Industrial y Automática,a6ec67f2d163c04213cc829817939113,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,ddca0f084c851a01517835d5bd122ecf,Ingeniería Informática,b347273ed4a59af173806ef290b37b2f,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,ddca0f084c851a01517835d5bd122ecf,Ingeniería Mecánica,945daec1b320bfee1090b2e9b106d14f,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,9952fa217aab3225a9450c1dd24ff66b,Ingeniería de la Energía,c166c92468cbf8a0e3c732c4dd118612,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,9952fa217aab3225a9450c1dd24ff66b,Ingeniería Minera,8c678b8ff045d0246f84c72e208664e3,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,9952fa217aab3225a9450c1dd24ff66b,PCEO Ingeniería Eléctrica y Ingeniería de la Energía,afd65d2b5ffce1fc77dea1eac30b5a44,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,9952fa217aab3225a9450c1dd24ff66b,PCEO Ingeniería Minera y Ingeniería de la Energía,a32a2bdcfe2787abc391a8b03280ca44,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,47bb3a3a9d09115de1b4c1b4cd407db0,Trabajo Social,f0a1deb6592bc3d33990988e7fef523b,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,fe2fbde5936b071cd86eec32718c53be,Biología,6be35a2ebe29561a474849806d7cadd4,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,fe2fbde5936b071cd86eec32718c53be,Biotecnología,1f2e159298f3d0d817ec3caac858bb73,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,fe2fbde5936b071cd86eec32718c53be,Ciencias Ambientales,69b003d6f1b5f650fcbde2daa581fe8c,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
