Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
4310596;Máster Universitario en Artes Escénicas;Universidad de Vigo;Máster - RD 1393/2007 (1);Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4316672;"Máster Universitario en Biodiversidad Terrestre: Caracterización, Conservación y Gestión por la Universidad de A Coruña; la Universidad de Santiago de Compostela y la Universidad de Vigo";(Conjunto);Máster - RD 1393/2007 (1);Ciencias;Biología y genética;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
4312441;Máster Universitario en Biodiversidad y Ecosistemas;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3500262;"Máster Universitario en Biofabricación por la Universidad de A Coruña; la Universidad de Santiago de Compostela y la Universidad de Vigo";(Conjunto);Máster - RD 822/2021 (3);Ciencias;Interdisciplinar;Publicado en B.O.E.;
4312997;"Máster Universitario en Biología Marina por la Universidad de A Coruña; la Universidad de Santiago de Compostela y la Universidad de Vigo";(Conjunto);Máster - RD 1393/2007 (1);Ciencias;Ciencias medioambientales y ecología;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
4312439;Máster Universitario en Biotecnología Avanzada por la Universidad de A Coruña y la Universidad de Vigo;(Conjunto);Máster - RD 1393/2007 (1);Ciencias;Bioquímica y biotecnología;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
4316520;Máster Universitario en Ciberseguridad por la Universidad de A Coruña y la Universidad de Vigo;(Conjunto);Máster - RD 1393/2007 (1);Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
3500201;Máster Universitario en Ciencia del Ejercicio, Preparación Física y Readaptación Deportiva por la Universidad de A Coruña y la Universidad de Vigo;(Conjunto);Máster - RD 822/2021 (3);Ciencias Sociales y Jurídicas;Actividad física y ciencias del deporte;Publicado en B.O.E.;
3000417;Máster Universitario en Ciencia y Tecnología Agroalimentaria;Universidad de Vigo;Máster - RD 56/2005 (2);Ingeniería y Arquitectura;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4313697;Máster Universitario en Ciencia y Tecnología Agroalimentaria por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4315071;Máster Universitario en Ciencia y Tecnología Agroalimentaria y Ambiental por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias;Ciencias agrarias y tecnología de los alimentos;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
4311128;"Máster Universitario en Ciencia y Tecnología de Coloides e Interfases por la Universidad de Granada; la Universidad de Málaga; la Universidad de Santiago de Compostela; la Universidad de Vigo; la Universidad Pablo de Olavide y la Universitat de València (Estudi General)";(Conjunto);Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4312601;Máster Universitario en Ciencia y Tecnología de Conservación de Productos de la Pesca por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias;Química;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
4312895;Máster Universitario en Ciencia y Tecnología en Termalismo y Balneoterapia por la Universidad de A Coruña y la Universidad de Vigo;(Conjunto);Máster - RD 1393/2007 (1);Ciencias de la Salud;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4318542;"Máster Universitario en Ciencia y Tecnologías de Información Cuántica por la Universidad de A Coruña; la Universidad de Santiago de Compostela y la Universidad de Vigo";(Conjunto);Máster - RD 822/2021 (3);Ciencias;Física y astronomía;Publicado en B.O.E.;
4314009;Máster Universitario en Ciencias Biológicas: Biología Molecular, Computacional y Ambiental y Bio-industrias por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4311009;Máster Universitario en Ciencias del Clima, Meteorología, Oceanografía Física y Cambio Climático por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3002721;Máster Universitario en Comercio Internacional;Universidad de Vigo;Máster - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4310382;Máster Universitario en Comercio Internacional por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;Ciencias económicas, administración y dirección de empresas, márquetin, comercio, contabilidad y turismo;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
4316521;Máster Universitario en Comunicación en Medios Sociales y Creación de Contenidos Digitales por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;Periodismo, comunicación, publicidad y relaciones públicas;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
3002724;Máster Universitario en Consultoría de Software Libre;Universidad de Vigo;Máster - RD 56/2005 (2);Ingeniería y Arquitectura;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4310383;Máster Universitario en Consultoría de Software Libre por la Universidad de Vigo;Universidad de Vigo;Máster - RD 1393/2007 (1);Ingeniería y Arquitectura;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3000416;Máster Universitario en Contabilidad y Finanzas;Universidad de Vigo;Máster - RD 56/2005 (2);Ingeniería y Arquitectura;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
