"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"5311396","Programa Oficial de Doctorado en Fotovoltaica y Microelectrónica","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310775","Programa Oficial de Doctorado en Globalización: Procesos Sociales y Políticas Económicas","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311074","Programa Oficial de Doctorado en Historia Contemporánea","(Conjunto)","Doctor - RD 1393/2007 (1)","Artes y Humanidades","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310777","Programa Oficial de Doctorado en Ingeniería Ambiental","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311397","Programa Oficial de Doctorado en Ingeniería de Control, Automatización y Robótica","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310778","Programa Oficial de Doctorado en Ingeniería de Materiales Avanzados","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310779","Programa Oficial de Doctorado en Ingeniería de Materiales Renovables","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310780","Programa Oficial de Doctorado en Ingeniería de Procesos Químicos y Desarrollo Sostenible","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311398","Programa Oficial de Doctorado en Ingeniería Informática","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310781","Programa Oficial de Doctorado en Ingeniería Mecánica","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311399","Programa Oficial de Doctorado en Ingeniería Térmica","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
