Code,Degree,DegreeId,UniversityId,Academic Level Id,AmbitId,Academic Year
2502370,Ingeniería Electrónica Industrial y Automática,6246c3ff9175b5f04d0094f73f0b7182,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502368,Ingeniería en Tecnologías y Servicios de Telecomunicación,d2011bc9b2e76c77c169569c1c10041a,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2504313,Ingeniería Forestal y del Medio Natural,81db4ed9b87acdd0d3f1eb20e9e7ca74,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2503454,Ingeniería Geomática,ff8f7889eabdc4c31ddad80dd8fca117,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502374,Ingeniería Informática del Software,a8b91991ab929908aa7839c2995aa6ab,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502375,Ingeniería Informática en Tecnologías de la Información,60c5004b7d3f1376a63fb914f1730640,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502376,Ingeniería Mecánica,ec393a9434cb073426d1594467e689a2,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502378,Ingeniería Química Industrial,9a7fb8604dcbf621abb2c97b4742abdd,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502377,Ingeniería Química,4595aa3ccd1f969ef98f774e1ef185ef,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502379,Lengua Española y sus Literaturas,4f95988136944fca0ca8693cd33c8a12,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
2502380,Lenguas Modernas y sus Literaturas,a9b9e2e9222e4ccd5c3614cfbd882a4f,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
