Code,Degree,DegreeId,FacultyId,UniversityId,Academic Level Id,AmbitId,Academic Year
2503004,Ingeniería Electrónica Industrial y Automática,f2eed6aeb9e41372c3dc48b5a779a97c,f2eed6aeb9e41372c3dc48b5a779a97c,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2501924,Ingeniería en Diseño Industrial y Desarrollo de Productos,9367ea80d53d8b68c2487d8589299ba3,9367ea80d53d8b68c2487d8589299ba3,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502503,Ingeniería en Organización Industrial,c683953fb380c5979295b9909907b805,c683953fb380c5979295b9909907b805,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2501934,Ingeniería en Tecnología Naval,d6b27a2aa00e772e92a7aa9979a7e37f,d6b27a2aa00e772e92a7aa9979a7e37f,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2504592,Ingeniería Física y Matemática,01b9e022ed557615f3424086431b6c7d,01b9e022ed557615f3424086431b6c7d,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
2503257,Ingeniería Geomática,74687cec48040b5c442114f3476bb009,74687cec48040b5c442114f3476bb009,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2501930,Ingeniería Informática,f370a20c1a671e202f2400f42f3a250f,f370a20c1a671e202f2400f42f3a250f,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502980,Ingeniería Mecánica,b0a649f74ea71727835c7889a43ed7c8,b0a649f74ea71727835c7889a43ed7c8,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2503003,Ingeniería Química Industrial,4434c7c437a42152961c4928370a07e7,4434c7c437a42152961c4928370a07e7,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2501932,Ingeniería Química,82296a258311079a3cc3701bf92fcd88,82296a258311079a3cc3701bf92fcd88,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
2501903,Lenguas Modernas,be7d531d4c9bc257760fcb96f0d5226c,be7d531d4c9bc257760fcb96f0d5226c,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
2501904,Medicina,b2f7ab0ac61dd0c305e0f896ef1fb12e,b2f7ab0ac61dd0c305e0f896ef1fb12e,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
1500551,Psicología,2dfe6016ac7495abd15dd0aac9a8f293,2dfe6016ac7495abd15dd0aac9a8f293,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
2501916,Relaciones Laborales y Recursos Humanos,3ac6339373186768aa46e48ca5a3a463,3ac6339373186768aa46e48ca5a3a463,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2502832,Seguridad y Control de Riesgos,fe654cc390e934e95325dde306e64720,fe654cc390e934e95325dde306e64720,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2501918,Trabajo Social,7db0088adb4227bca7ec932661e392df,7db0088adb4227bca7ec932661e392df,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2501053,Traducción e Interpretación. Inglés-Alemán,267503fee7f8e6ab8eb992ed501b9306,267503fee7f8e6ab8eb992ed501b9306,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
2501054,Traducción e Interpretación. Inglés-Francés,dd3d92520a27d48725c16351891852aa,dd3d92520a27d48725c16351891852aa,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
2501920,Turismo,fe41b8a8d47c3778ccc690e239356b03,fe41b8a8d47c3778ccc690e239356b03,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2501905,Veterinaria,00f0ecd3de42cef2863d0e008a4fed2f,00f0ecd3de42cef2863d0e008a4fed2f,17a1b9e0f1c1e0719761a30d50700965,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
4314967,Abogacía y Procura,fd2bb0f4b4f3a137b19efe53e6c4c97b,fd2bb0f4b4f3a137b19efe53e6c4c97b,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
3500789,Competencias Digitales Docentes,019ad889cb81c4e76fa4fbdfba96175f,019ad889cb81c4e76fa4fbdfba96175f,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4310168,Cultivos Marinos,89dec507a758d95274e7a64bc98c69a7,89dec507a758d95274e7a64bc98c69a7,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4314497,Cultura Audiovisual y Literaria,de278e4cbb9f646b119881ab941df714,de278e4cbb9f646b119881ab941df714,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4314014,Dirección de Empresas y Recursos Humanos,aa560d3b0e907572018285da660d209c,aa560d3b0e907572018285da660d209c,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
3500491,Electrónica y Tecnología Digital Aplicada,da808dc5eb8d11810412e39cba73466a,da808dc5eb8d11810412e39cba73466a,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4310170,Enseñanza del Español y su Cultura,6804dabb934d69e827dedfb18009a316,6804dabb934d69e827dedfb18009a316,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
3500251,Estudios Africanos,5c06e0cc4667a6412dc58adcee840b59,5c06e0cc4667a6412dc58adcee840b59,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4312538,Gestión Sostenible de Recursos Pesqueros,d70ba4ba84344ff1e6ab1f7da167c499,d70ba4ba84344ff1e6ab1f7da167c499,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
3500041,"Ingeniería de Caminos, Canales y Puertos",64b7c5b06cb6aa7a9ea8b43022ee5148,64b7c5b06cb6aa7a9ea8b43022ee5148,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
