Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
10/3/2005,2005,10,3,Monday,Labour Day ,1,,1,,,,,1,3,FALSE
10/20/2005,2005,10,20,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/1/2005,2005,11,1,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2005,2005,12,25,Sunday,Christmas Day,,,,,,,1,,1,FALSE
12/26/2005,2005,12,26,Monday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
12/27/2005,2005,12,27,Tuesday,Christmas Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/1/2006,2006,1,1,Sunday,New Year's Day,,1,1,1,,1,1,1,6,FALSE
1/2/2006,2006,1,2,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/26/2006,2006,1,26,Thursday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/13/2006,2006,2,13,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/6/2006,2006,3,6,Monday,Labour Day,,,,,,,1,,1,FALSE
3/13/2006,2006,3,13,Monday,"Adelaide Cup, Eight Hours Day & Labour Day",1,,,,1,1,,,3,FALSE
3/20/2006,2006,3,20,Monday,Canberra Day,,,1,,,,,,1,FALSE
4/14/2006,2006,4,14,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
