Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
1/26/2017,2017,1,26,Thursday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/13/2017,2017,2,13,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/6/2017,2017,3,6,Monday,Labour Day,,,,,,,1,,1,FALSE
3/13/2017,2017,3,13,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/14/2017,2017,4,14,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/15/2017,2017,4,15,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/16/2017,2017,4,16,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE
4/17/2017,2017,4,17,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2017,2017,4,25,Tuesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/1/2017,2017,5,1,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/5/2017,2017,6,5,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/12/2017,2017,6,12,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/7/2017,2017,8,7,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/16/2017,2017,8,16,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/25/2017,2017,9,25,Monday,Queen's Birthday & Family and Community Day,,,1,,,,1,,2,FALSE
9/29/2017,2017,9,29,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE
10/2/2017,2017,10,2,Monday,Queen's Birthday & Labour Day & Family and Community Day,1,1,1,,,,,1,4,FALSE
10/26/2017,2017,10,26,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/7/2017,2017,11,7,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2017,2017,12,25,Monday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2017,2017,12,26,Tuesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2018,2018,1,1,Monday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/26/2018,2018,1,26,Friday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/12/2018,2018,2,12,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/5/2018,2018,3,5,Monday,Labour Day,,,,,,,1,,1,FALSE
3/12/2018,2018,3,12,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
3/30/2018,2018,3,30,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
3/31/2018,2018,3,31,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/1/2018,2018,4,1,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE
4/2/2018,2018,4,2,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2018,2018,4,25,Wednesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/7/2018,2018,5,7,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
5/28/2018,2018,5,28,Monday,Reconciliation Day,,,1,,,,,,1,FALSE
6/4/2018,2018,6,4,Monday,Western Australia Day,,,,,,,1,,1,FALSE
