Location_ID;Sensor_Description;Sensor_Name;Installation_Date;Note;Location_Type;Status;Direction_1;Direction_2;Latitude;Longitude;Street;House_Number;Postcode;City;Country;Address
180;Pumping Station No.2, 330 Macaulay Road;Mac330_T;11/03/2025;;Outdoor;A;East;West;-3.779.497.059;14.493.530.329;Macaulay Road;334;3031;Kensington;Australia;334 Macaulay Road, Kensington VIC 3031, Australia
185;197 Elizabeth Street;Eli197_T;28/06/2025;;Outdoor;A;North;South;-3.781.374.643;14.496.276.183;Elizabeth Street;197;3000;Melbourne;Australia;197 Elizabeth Street, Melbourne VIC 3000, Australia
2;Bourke Street Mall (South);Bou283_T;30/03/2009;;Outdoor;A;East;West;-3.781.380.668;14.496.516.718;Bourke Street;285;3000;Melbourne;Australia;285 Bourke Street, Melbourne VIC 3000, Australia
6;Flinders Street Station Underpass;FliS_T;25/03/2009;Upgraded on 8/09/21;Outdoor;A;North;South;-3.781.911.705;14.496.558.255;Flinders Street;207-361;3000;Melbourne;Australia;207-361 Flinders Street, Melbourne VIC 3000, Australia
8;Webb Bridge;WebBN_T;24/03/2009;;Outdoor;A;North;South;-3.782.293.543;1.449.471.751;Navigation Drive;01-may;3008;Docklands;Australia;1-5 Navigation Drive, Docklands VIC 3008, Australia
17;Collins Place (South);Col15_T;30/03/2009;Device is upgraded in 26/02/2020;Outdoor;A;East;West;-3.781.362.543;14.497.323.591;Collins Street;13-15;3000;Melbourne;Australia;13-15 Collins Street, Melbourne VIC 3000, Australia
21;155-161 Russell Street;Bourke155_T;02/09/2013;;Outdoor;A;North;South;-3.781.267.313;14.496.788.288;Russell Street;155;3000;Melbourne;Australia;155 Russell Street, Melbourne VIC 3000, Australia
23;Spencer St-Collins St (South);Col623_T;02/09/2013;Pushbox Upgrade, 25/07/2023;Outdoor;A;East;West;-3.781.909.256;14.495.452.748;Collins Street;623;3000;Melbourne;Australia;Batman’s Hill on Collins, 623 Collins Street, Melbourne VIC 3000, Australia
25;Melbourne Convention Exhibition Centre;MCEC_T;28/08/2013;;Outdoor;A;East;West;-3.782.401.776;14.495.604.426;Clarendon Street;10;3006;South Wharf;Australia;10 Clarendon Street, South Wharf VIC 3006, Australia
29;St Kilda Rd-Alexandra Gardens;AG_T;11/10/2013;sensor upgraded from laser to 3D on 19/12/2019;Outdoor;A;North;South;-378.199.817;14.496.872.865;St Kilda Road;14;3006;Southbank;Australia;14 St Kilda Road, Southbank VIC 3006, Australia
30;Lonsdale St (South);Lon189_T;14/10/2013;Pushbox Upgrade, 20/07/2023;Outdoor;A;East;West;-378.112.185;14.496.656.806;Lonsdale Street;197;3000;Melbourne;Australia;Tsindos Greek Restaurant, 197 Lonsdale Street, Melbourne VIC 3000, Australia
35;Southbank;SouthB_T;11/04/2016;Device replaced with two new sensors on 15-4-21;Outdoor;A;East;West;-3.782.018.685;14.496.508.508;Southgate Avenue;2;3006;Southbank;Australia;2 Southgate Avenue, Southbank VIC 3006, Australia
37;Lygon St (East);Lyg260_T;11/02/2015;Pushbox Upgrade, 30/06/2023. Move from 174 to 260 Lygon Street (12/08/2024);Outdoor;A;North;South;-3.780.107.122;14.496.704.554;Lygon Street;260;3053;Melbourne;Australia;260 Lygon Street, Carlton VIC 3053, Australia
40;Lonsdale St-Spring St (West);Spr201_T;19/01/2015;Pushbox Upgrade, 03/08/2023;Outdoor;A;North;South;-3.780.999.341;14.497.227.587;Spring Street;207;3000;Melbourne;Australia;207 Spring Street, Melbourne VIC 3000, Australia
42;Grattan St-Swanston St (West);UM1_T;15/04/2015;;Outdoor;A;North;South;-3.780.008.566;14.496.386.412;Swanston Street;757;3052;Melbourne;Australia;Melbourne University/Swanston Street, 757 Swanston Street, Parkville VIC 3052, Australia
63;231 Bourke St;Bou231_T;07/01/2020;;Outdoor;A;East;West;-3.781.333.081;14.496.675.571;Bourke Street;233;3000;Melbourne;Australia;233 Bourke Street, Melbourne VIC 3000, Australia
66;State Library - New;QVN_T;06/04/2020;;Outdoor;A;North;South;-3.781.057.846;14.496.444.294;Little Lonsdale Street;255;3000;Melbourne;Australia;255 Little Lonsdale Street, Melbourne VIC 3000, Australia
67;Flinders Ln -Degraves St (South);FLDegS_T;03/06/2020;;Outdoor;A;East;West;-3.781.688.755;14.496.562.569;Flinders Lane;265;3000;Melbourne;Australia;265 Flinders Lane, Melbourne VIC 3000, Australia
70;Errol Street (East);Errol20_T;12/10/2020;;Outdoor;A;North;South;-3.780.456.984;14.494.946.228;Errol Street;22;3051;North Melbourne;Australia;22 Errol Street, North Melbourne VIC 3051, Australia
71;Westwood Place;WestWP_T;16/10/2020;;Outdoor;A;North;South;-3.781.235.775;14.497.136.962;Exhibition Street;136;3000;Melbourne;Australia;Absolute MMA CBD, 136 Exhibition Street, Melbourne VIC 3000, Australia
76;Macaulay Rd- Bellair St;KenMac_T;20/02/2021;;Outdoor;A;East;West;-3.779.453.803;14.493.036.194;Macaulay Road;475;3031;Melbourne;Australia;Kensington Healthcare, 475 Macaulay Road, Kensington VIC 3031, Australia
78;Harbour Esplanade (West) - Bike Path;HarEsB_T;30/03/2021;;Outdoor;A;North;South;-3.781.471.642;1.449.446.508;La Trobe Street;1010;3008;Docklands;Australia;Stop D2: Central Pier, 1010 La Trobe Street, Docklands VIC 3008, Australia
118;114 Flinders Street Car Park Crossing;Fli114C_T;06/12/2022;;Outdoor;A;North;South;-3.781.632.783;14.497.090.512;Flinders Street;120;3000;Melbourne;Australia;120 Flinders Street, Melbourne VIC 3000, Australia
130;I-Hub 892 Bourke Street;Bou892T;25/09/2023;;Outdoor;A;East;West;-378.204.637;14.494.126.826;Bourke Street;890;3008;Docklands;Australia;890 Bourke Street, Docklands VIC 3008, Australia
131;I-Hub Corner of King Street and Flinders Street (2-6 King);King2_T;25/09/2023;;Outdoor;A;North;South;-3.782.009.057;14.495.758.725;Flinders Street;502;3000;Melbourne;Australia;502 Flinders Street, Melbourne VIC 3000, Australia
134;I-Hub Southern Cross Station - Bourke Street Entrance - North;Spen201_T;25/09/2023;;Outdoor;A;North;South;-3.781.694.221;14.495.303.935;Spencer Street;165;3008;Docklands;Australia;165 Spencer Street, Docklands VIC 3008, Australia
143;Mounted on Toilet - Spencer Street, Batman Park;Spencer_T;10/04/2024;;Outdoor;A;North;South;-37.821.728;14.495.557.015;Rebecca Walk;88;3000;Melbourne;Australia;88 Rebecca Walk, Melbourne VIC 3000, Australia
162;iHub 489 Elizabeth Street;Eli489_T;01/07/2024;;Outdoor;A;North;South;-3.780.740.397;14.495.987.909;Elizabeth Street;489;3000;Melbourne;Australia;Jasper Hotel, 489 Elizabeth Street, Melbourne VIC 3000, Australia
166;484 Spencer Street;Spen484_T;25/09/2024;Former sensor 227 Bourke Street – City Lab;Outdoor;A;North;South;-3.780.896.733;14.494.931.703;Spencer Street;486;3003;West Melbourne;Australia;486 Spencer Street, West Melbourne VIC 3003, Australia
167;I-Hub 526 La Trobe Street (Crossing);Lat526_T_2;14/08/2024;;Outdoor;A;North;South;-3.781.304.149;14.495.155.955;La Trobe Street;530;3003;West Melbourne;Australia;530 La Trobe Street, West Melbourne VIC 3003, Australia
179;61-67 Power Street Southbank;Pow61_T;19/12/2024;;Outdoor;A;North;South;-3.782.392.385;14.496.299.677;Power Street;65;3006;Southbank;Australia;65 Power Street, Southbank VIC 3006, Australia
182;163 King Street;King163_T;11/04/2025;;Outdoor;A;North;South;-3.781.627.451;14.495.550.503;King Street;159;3000;Melbourne;Australia;159 King Street, Melbourne VIC 3000, Australia
184;124 Elizabeth Street;Eli124_T;28/06/2025;;Outdoor;A;North;South;-3.781.512.416;14.496.371.988;Elizabeth Street;124;3000;Melbourne;Australia;7-Eleven, 124 Elizabeth Street, Melbourne VIC 3000, Australia
3;Melbourne Central;Swa295_T;25/03/2009;;Outdoor;A;North;South;-3.781.101.524;14.496.429.485;Swanston Street;303;3000;Melbourne;Australia;303 Swanston Street, Melbourne VIC 3000, Australia
5;Princes Bridge;PriNW_T;26/03/2009;Replace with: 00:6e:02:01:9e:54;Outdoor;A;North;South;-3.781.874.249;14.496.787.656;Flinders Street;207-361;3000;Melbourne;Australia;207-361 Flinders Street, Melbourne VIC 3000, Australia
9;Southern Cross Station;Col700_T;23/03/2009;;Outdoor;A;East;West;-3.781.982.992;14.495.102.555;Collins Street;700;3008;Melbourne;Australia;The Australian Bureau of Meteorology Building, 700 Collins Street, Docklands VIC 3008, Australia
12;New Quay;NewQ_T;21/01/2009;;Outdoor;A;East;West;-3.781.457.988;14.494.292.398;Newquay Promenade;24;3008;Docklands;Australia;24 Newquay Promenade, Docklands VIC 3008, Australia
14;Sandridge Bridge;SanBri_T;24/03/2009;Sensor relocated to sensor ID 25 on 2/10/2019;Outdoor;A;North;South;-3.782.011.242;14.496.291.897;Banana Alley Wharf;3;3000;Melbourne;Australia;3 Banana Alley Wharf, Melbourne VIC 3000, Australia
18;Collins Place (North);Col12_T;30/03/2009;;Outdoor;A;East;West;-3.781.344.862;14.497.305.353;Collins Street;18-22;3000;Melbourne;Australia;18-22 Collins Street, Melbourne VIC 3000, Australia
19;Chinatown-Swanston St (North);LtB210_T;02/09/2013;Pushbox Upgrade, 20/07/2023;Outdoor;A;East;West;-3.781.237.202;14.496.550.671;Little Bourke Street;248;3000;Melbourne;Australia;248 Little Bourke Street, Melbourne VIC 3000, Australia
