Address,Address-Wikidata,Address-Wiki-URI,DockBikes,FreeBases,Name,Name-Wikidata,Name-URI-Wikidata,number,TotalBases,POINT_X,POINT_Y
Avenida Del Santo Ángel de la Guarda,"Avenida del Santo Ángel de la Guarda, Madrid",https://www.wikidata.org/entity/Q56086839,2,21,Centro Deportivo Mpal Fernando Martín,Centro Deportivo Mpal Fernando Martín,,306,23,"-3,712197","40,461796"
Calle Serrano Galvache 1,Calle Serrano Galvache 1,,18,5,Serrano Galvache - Arturo Soria,Serrano Galvache - Arturo Soria,,486,23,"-3,667938","40,471382"
Calle de Puertollano,Calle de Puertollano,,18,5,Puertollano - Veinticinco de Septiembre,Puertollano - Veinticinco de Septiembre,,502,23,"-3,623737","40,442516"
Calle Gallegos 27,Calle Gallegos 27,,16,11,Gallegos - Lavadero Viejo,Gallegos - Lavadero Viejo,,462,27,"-3,610275","40,402404"
Calle Arroyo del Olivar,"Calle del Arroyo del Olivar, Madrid",https://www.wikidata.org/entity/Q29561517,2,22,Arroyo del Olivar - Buenos Aires,Arroyo del Olivar - Buenos Aires,,421,24,"-3,653269","40,388435"
Calle Manuel Uribe,Calle Manuel Uribe,,9,14,Manuel Uribe - Arturo Soria,Manuel Uribe - Arturo Soria,,487,23,"-3,665034","40,464341"
422 - Travesia de Palomeras,422 - Travesia de Palomeras,,1,23,"Travesia de Palomeras, 7","Travesia de Palomeras, 7",,422,24,"-3,670518","40,39017"
Avenida de Entrevias,Avenida de Entrevias,,11,13,Estación de tren Asamblea de Madrid,Estación de tren Asamblea de Madrid,,423,24,"-3,66855","40,381388"
Camino de Valderribas,Camino de Valderribas,,17,7,"Camino de Valderribas, 47","Camino de Valderribas, 47",,424,24,"-3,663958","40,400223"
Calle Ramón Pérez de Ayala,Calle Ramón Pérez de Ayala,,5,19,Ramón Perez Ayala - Pque. Cerro Tío Pío,Ramón Perez Ayala - Pque. Cerro Tío Pío,,425,24,"-3,65381","40,400035"
Calle Humanes,Calle Humanes,,18,6,Humanes - Benjamín Palencia,Humanes - Benjamín Palencia,,426,24,"-3,649327","40,395212"
Calle de los Andaluces,Calle de los Andaluces,,13,11,"Andaluces, 2","Andaluces, 2",,427,24,"-3,641483","40,391424"
Avenida La Albufera,Avenida La Albufera,,12,12,Estadio de Vallecas,Estadio de Vallecas,,428,24,"-3,6571","40,3919"
Calle Manuel Noya,Calle Manuel Noya,,18,6,"Manuel Noya , 29","Manuel Noya , 29",,393,24,"-3,711798","40,385379"
Serrano Galvache,Serrano Galvache,,17,7,Serrano Galvache - Yerma,Serrano Galvache - Yerma,,489,24,"-3,671445","40,476753"
Calle Hermanos García Nobleza (esquina Plaza del Reloj Solar),Calle Hermanos García Nobleza (esquina Plaza del Reloj Solar),,8,16,Hnos.García Noblejas-FcoLargo Caballero,Hnos.García Noblejas-FcoLargo Caballero,,490,24,"-3,628881","40,424275"
Calle Ricardo Ortiz,Calle Ricardo Ortiz,,6,18,"Ricardo Ortiz, 33","Ricardo Ortiz, 33",,488,24,"-3,657964","40,42657"
Calle Bacares,Calle Bacares,,10,14,Metro Manoteras,Metro Manoteras,,525,24,"-3,66269","40,476755"
Calle de San Roman del Valle,Calle de San Roman del Valle,,8,16,Biblioteca Pública Municipal San Blas,Biblioteca Pública Municipal San Blas,,504,24,"-3,623467","40,423099"
Calle Zaldivar,Calle Zaldivar,,21,3,Zaldívar - Valdecanillas,Zaldívar - Valdecanillas,,503,24,"-3,626504","40,43209"
Calle Arroyo Bueno,Calle Arroyo Bueno,,4,23,Junta Municipal Distrito de Villaverde,Junta Municipal Distrito de Villaverde,,404,27,"-3,710985","40,349111"
Calle Mercedes Arteaga,Calle Mercedes Arteaga,,12,12,"Mercedes Arteaga, 21","Mercedes Arteaga, 21",,353,24,"-3,722218","40,392516"
Calle de la Vía,Calle de la Vía,,11,13,Intercambiador de Plaza Elíptica,Intercambiador de Plaza Elíptica,,355,24,"-3,718234","40,385464"
Calle Francisco Tejada,Calle Francisco Tejada,,13,11,Metro Alto de Extremadura,Metro Alto de Extremadura,,326,24,"-3,739616","40,40938"
Calle El Greco,Calle El Greco,,4,20,"El Greco, 27 - C. Cultural El Greco","El Greco, 27 - C. Cultural El Greco",,327,24,"-3,747262","40,407412"
Calle del Arroyo Belincoso,Calle del Arroyo Belincoso,,8,16,Metro Vinateros,Metro Vinateros,,458,24,"-3,652566","40,409911"
Avenida Moratalaz,Avenida Moratalaz,,10,14,Moratalaz,Mercado de Moratalaz,,459,24,"-3,660003","40,407506"
Corregidor licenciado Antonio de Mena,Corregidor licenciado Antonio de Mena,,11,13,Plaza Corregidor Ldo. Antonio de Mena,Plaza Corregidor Ldo. Antonio de Mena,,461,24,"-3,6408","40,4099"
Calle Portalegre,Calle Portalegre,,22,2,Portalegre - Tinamús,Portalegre - Tinamús,,356,24,"-3,723648","40,389377"
Avenida Monforte de Lemos,Avenida Monforte de Lemos,,14,10,Junta Mpal. Dtto. Fuencarral - El Pardo,Junta Mpal. Dtto. Fuencarral - El Pardo,,572,24,"-3,709973","40,478104"
Calle Melchor Fernandez Almagro,Calle Melchor Fernandez Almagro,,8,16,Melchor Fernández Almagro - Villa Marín,Melchor Fernández Almagro - Villa Marín,,573,24,"-3,699626","40,477728"
Ginzo de Limia,Ginzo de Limia,,10,14,Metro Barrio del Pilar,Metro Barrio del Pilar,,575,24,"-3,703526","40,47817"
Calle Chantada,Calle Chantada,,8,16,Chantada,Chantada,,574,24,"-3,710678","40,472695"
Paseo de Federico García Lorca,"Paseo de Federico García Lorca, Madrid",https://www.wikidata.org/entity/Q131349608,15,3,Metro Villa de Vallecas,Metro Villa de Vallecas,,440,18,"-3,621447","40,379503"
Calle Seis (esquina con Avenida Quinta),Calle Seis (esquina con Avenida Quinta),,2,22,Seis - Sexta,six-dimensional space,,507,24,"-3,596503","40,44845"
Calle Rosario Pino,"Calle de Rosario Pino, Madrid",https://www.wikidata.org/entity/Q29055028,5,19,Rosario Pino - Joan Maragall,Rosario Pino - Joan Maragall,,299,24,"-3,691932","40,46205"
Calle Capitan Blanco Argibay,Capitán Blanco Argibay Street,https://www.wikidata.org/entity/Q27038685,1,23,Capitan Blanco Argibay - Alfalfa,Capitan Blanco Argibay - Alfalfa,,300,24,"-3,703188","40,466743"
Calle Muller,Calle Muller,,1,23,Muller - Capitan Blanco Argibay,Muller - Capitan Blanco Argibay,,301,24,"-3,698376","40,465182"
Gran Avenida,Gran Avenida,,16,8,"Gran Avenida, 27","Gran Avenida, 27",,396,24,"-3,707606","40,369977"
Calle Periana,Calle Periana,,0,24,"Periana, 24","Periana, 24",,394,24,"-3,687658","40,366723"
Calle Moreja,Calle Moreja,,21,3,Centro Deportivo Municipal Orcasur,Centro Deportivo Municipal Orcasur,,397,24,"-3,69838","40,368093"
Calle Bohemios,Calle Bohemios,,10,14,Bohemios - Gigantes y Cabezudos,Bohemios - Gigantes y Cabezudos,,399,24,"-3,693901","40,356536"
Calle Torremolinos,Calle Torremolinos,,9,15,Torremolinos - Rafael Alberti,Torremolinos - Rafael Alberti,,430,24,"-3,64179","40,385009"
Calle Ariel,Calle Ariel,,10,14,"Ariel, 7 - Parque Enrique Tierno Galván","Ariel, 7 - Parque Enrique Tierno Galván",,269,24,"-3,679702","40,393024"
Calle Esteban Collantes 63,Calle Esteban Collantes 63,,16,8,Esteban Collantes - José Arcones Gil,Esteban Collantes - José Arcones Gil,,491,24,"-3,637663","40,432883"
Calle Velacho Alto,Calle Velacho Alto,,6,18,Velacho Alto - Trinquete,Velacho Alto - Trinquete,,527,24,"-3,659269","40,472503"
Plaza del Liceo (esquina con Calle Silvano),Plaza del Liceo (esquina con Calle Silvano),,6,18,Plaza del Liceo,Plaza del Liceo,,526,24,"-3,644419","40,457544"
