Address,Address-Wikidata,Address-Wiki-URI,DockBikes,FreeBases,Name,Name-Wikidata,Name-URI-Wikidata,number,TotalBases,POINT_X,POINT_Y
Calle Maria de Maeztu,Maria de Maeztu street,https://www.wikidata.org/entity/Q124399653,1,26,Metro Arroyofresno,Metro Arroyofresno,,590,27,"-3,727572","40,49093"
Calle de San Mariano,Calle de San Mariano,,27,0,San Mariano - Circe,San Mariano - Circe,,517,27,"-3,611905","40,441753"
Calle Tampico,Calle Tampico,,8,15,Tampico - Plaza Barbados,Tampico - Plaza Barbados,,518,23,"-3,635345","40,444569"
Calle Joaquin Turina,Calle Joaquin Turina,,14,13,"Joaquin Turina, 49","Joaquin Turina, 49",,371,27,"-3,76182","40,372458"
Calle Lonja de la Seda,Calle Lonja de la Seda,,12,11,"Lonja de la Seda, 33","Lonja de la Seda, 33",,372,23,"-3,761583","40,366122"
Calle Salvador Allende,Calle Salvador Allende,,11,12,Metro La Peseta,Metro La Peseta,,373,23,"-3,75787","40,362778"
Calle del Dinero,Calle del Dinero,,6,21,Dinero - La Peseta,Dinero - La Peseta,,374,27,"-3,750147","40,362571"
Calle Calderilla,Calle Calderilla,,19,8,"Calderilla, 4","Calderilla, 4",,375,27,"-3,73866","40,36515"
Av.Ventisquero de la Condesa,Av.Ventisquero de la Condesa,,15,4,Metro Mirasierra,Metro Mirasierra,,591,19,"-3,716229","40,491082"
Calle de Gloria Fuertes,calle Gloria Fuertes,https://www.wikidata.org/entity/Q134085408,8,19,Estación de tren de Pitis,Estación de tren de Pitis,,592,27,"-3,724953","40,495697"
Calle del Pinzón,Calle del Pinzón,,7,17,Metro Carpetana,Metro Carpetana,,376,24,"-3,740544","40,392292"
Avenida De Abrantes,Avenida De Abrantes,,15,8,Metro Abrantes,Metro Abrantes,,377,23,"-3,727836","40,380918"
Calle Mota del Cuervo,Calle Mota del Cuervo,,13,11,Mota del Cuervo,Pan de la Mota,,539,24,"-3,631357","40,464876"
Calle Seseña,Calle Seseña,,10,14,Metro Campamento,Metro Campamento,,334,24,"-3,768156","40,394973"
Plaza Patricio,Plaza Patricio,,18,6,"Cardaño, 10","Cardaño, 10",,335,24,"-3,770575","40,396598"
Calle Troya,Calle Troya,,16,8,"Troya, 11","Troya, 11",,519,24,"-3,611915","40,436996"
Calle Eugenia de Montijo,Calle Eugenia de Montijo,,11,13,"Eugenia de Montijo, 83","Eugenia de Montijo, 83",,378,24,"-3,750973","40,375623"
Calle Antonia Rodriguez Sacristan,Calle Antonia Rodriguez Sacristan,,20,4,Antonia Rodríguez Sacristán - Valeriana,Antonia Rodríguez Sacristán - Valeriana,,379,24,"-3,747657","40,373138"
Calle Caleruega,"Calle de Caleruega, Madrid",https://www.wikidata.org/entity/Q29353439,13,11,Caleruega,Real Monasterio de Santo Domingo de Caleruega,,495,24,"-3,670588","40,478746"
Calle Islas Cies,Calle Islas Cies,,15,9,Metro Avenida de la Ilustración,Metro Avenida de la Ilustración,,593,24,"-3,718691","40,480274"
Calle Pedro Rico,"Calle de Pedro Rico, Madrid",https://www.wikidata.org/entity/Q56427389,5,19,"Calle Pedro Rico, 49","Calle Pedro Rico, 49",,594,24,"-3,703918","40,48194"
Avenida de Betanzos,Avenida de Betanzos,,17,7,Betanzos - Fermín Caballero,Betanzos - Fermín Caballero,,595,24,"-3,713221","40,481788"
Calle Ramon Gomez de la Serna,Calle Ramón Gómez de la Serna,https://www.wikidata.org/entity/Q123399169,7,17,Metro Lacoma,Metro Lacoma,,596,24,"-3,723826","40,484328"
Calle Dulce Chacón,"Calle de Dulce Chacón, Madrid",https://www.wikidata.org/entity/Q30183488,18,6,Estación de tren Fuente de la Mora,Estación de tren Fuente de la Mora,,540,24,"-3,663648","40,48456"
Calle Oliva de Plasencia,Calle Oliva de Plasencia,,4,20,"Calle Oliva de Plasencia, 1","Calle Oliva de Plasencia, 1",,336,24,"-3,779152","40,378501"
Calle Valmojado,Calle Valmojado,,10,8,Metro Aluche,Metro Aluche,,337,18,"-3,760489","40,386141"
Calle Guareña,Calle Guareña,,10,8,Guareña - Luis Chamizo,Guareña - Luis Chamizo,,338,18,"-3,765339","40,386362"
Avenida de las Aguilas,"Avenida de Las Águilas, Madrid",https://www.wikidata.org/entity/Q29405114,19,5,Estación de tren Las Águilas,Estación de tren Las Águilas,,339,24,"-3,78062","40,381326"
Calle de la Foresta nº8,Calle de la Foresta nº8,,8,15,"Foresta, 8","Foresta, 8",,597,23,"-3,667777","40,498533"
Calle La Cabrera,Calle La Cabrera,,13,14,Instalación Deportiva La Cabrera,Instalación Deportiva La Cabrera,,599,27,"-3,719204","40,472233"
Calle Fuente de Lima,Calle Fuente de Lima,,10,13,Metro Aviación Española,Metro Aviación Española,,343,23,"-3,783393","40,38359"
Calle Ocaña,Calle Ocaña,,8,15,"Ocaña, 103","Ocaña, 103",,344,23,"-3,75292","40,385863"
Paseo de Juan XXIII,"Paseo de Juan XXIII, Madrid",https://www.wikidata.org/entity/Q28367318,26,1,"Juan XXIII, 24","Juan XXIII, 24",,313,27,"-3,716936","40,448084"
Avenida Valladolid,Avenida Valladolid,,26,1,Av. Valladolid - Parque de la Bombilla,Av. Valladolid - Parque de la Bombilla,,314,27,"-3,73068","40,42966"
Calle de Caroli,Calle de Caroli,,8,15,Caroli,Caroli,,315,23,"-3,784627","40,45862"
Calle Antonio Machado,Calle Antonio Machado,,5,14,C. Deportivo Mpal. Ciudad De Los Poetas,C. Deportivo Mpal. Ciudad De Los Poetas,,316,19,"-3,719954","40,464397"
Calle Antonio Machado,Calle Antonio Machado,,1,26,"Antonio Machado, 30","Antonio Machado, 30",,317,27,"-3,719217","40,46827"
Calle Fuente del Tiro,Calle Fuente del Tiro,,8,16,Fuente del Tiro - Avd. de las Águilas,Fuente del Tiro - Avd. de las Águilas,,345,24,"-3,7798","40,383088"
Calle del Pico Chilegua,Calle del Pico Chilegua,,14,10,Metro Congosto,Metro Congosto,,449,24,"-3,618691","40,372867"
Calle Camino de las Hormigueras,Calle Camino de las Hormigueras,,13,11,"Camino de las Hormigueras, 161","Camino de las Hormigueras, 161",,450,24,"-3,637076","40,376255"
Calle Clara del Rey,Clara del Rey Street,https://www.wikidata.org/entity/Q28055037,16,8,Edificio Torres Blancas,White Towers (Bogotá Colombia),,294,24,"-3,672339","40,440944"
Avenida del Camino de Santiago,Avenida del Camino de Santiago,,8,15,Metro Las Tablas,Metro Las Tablas,,604,23,"-3,669552","40,509104"
Calle José de cadalso,Calle José de cadalso,,8,19,José de Cadalso - Rafael Finat,José de Cadalso - Rafael Finat,,348,27,"-3,770248","40,379591"
Calle Enrique Garcia Alvarez,Calle Enrique Garcia Alvarez,,15,12,Biblioteca Pública Luis Martín Santos,Biblioteca Pública Luis Martín Santos,,438,27,"-3,614061","40,380448"
Calle Granja de San Idelfonso,Calle Granja de San Idelfonso,,15,12,"La Granja de San Ildefonso, 14","La Granja de San Ildefonso, 14",,451,27,"-3,622831","40,368134"
Avenida de Las Suertes,Avenida de Las Suertes,,3,20,"Las Suertes, 15","Las Suertes, 15",,452,23,"-3,607854","40,371361"
Avenida del Ensanche de Vallecas,Avenida del Ensanche de Vallecas,,14,13,Metro La Gavia,Metro La Gavia,,453,27,"-3,61253","40,37044"
Calle Gran Via del Sureste,Calle Gran Via del Sureste,,9,18,Gran Vía del Sureste - Las Suertes,Gran Vía del Sureste - Las Suertes,,454,27,"-3,589704","40,36316"
Paseo de la Chopera,"Paseo de la Chopera, Madrid",https://www.wikidata.org/entity/Q27044458,7,16,Paseo de la Chopera - Fernando Poo,Paseo de la Chopera - Fernando Poo,,267,23,"-3,7004","40,395"
Calle Rafaela Ybarra,Calle Rafaela Ybarra,,19,4,Junta Municipal Distrito de Usera,Junta Municipal Distrito de Usera,,391,23,"-3,711296","40,381703"
c/ Ginzo de Limia,c/ Ginzo de Limia,,3,20,Metro Herrera Oria,Metro Herrera Oria,,580,23,"-3,706904","40,48337"
Paseo de la castellana,Paseo de la castellana,,19,4,Castellana - Hermanos Pinzón,Castellana - Hermanos Pinzón,,150,23,"-3,6908","40,4491"
Paseo de la Castellana,,,16,7,Plaza de Cuzco,plaza de Cuzco,https://www.wikidata.org/entity/Q26833863,157,23,"-3,689415","40,459137"
Calle Guetaria,Calle Guetaria,,20,4,"Guetaria, 84B","Guetaria, 84B",,395,23,"-3,715691","40,369168"
Calle Eduardo Mazón,Calle Eduardo Mazón,,15,8,Eduardo Mazón - Guadalajara,Eduardo Mazón - Guadalajara,,548,23,"-3,615416","40,452148"
Calle Santa Rita,Calle Santa Rita,,1,22,Santa Rita - Clara del Rey,Santa Rita - Clara del Rey,,293,23,"-3,668288","40,445793"
Av/ de Niza,Av/ de Niza,,8,15,Niza - Plaza de Grecia,Niza - Plaza de Grecia,,520,23,"-3,608116","40,434281"
Amposta s/n (esquina Arcos de Jalón),Amposta s/n (esquina Arcos de Jalón),,15,8,Amposta - Arcos de Jalón,Amposta - Arcos de Jalón,,509,23,"-3,61865","40,42219"
CalleBahía de Cádiz (cruce con Avenida Logroño),CalleBahía de Cádiz (cruce con Avenida Logroño),,10,13,Biblioteca Pública Mpal. Gloria Fuertes,Biblioteca Pública Mpal. Gloria Fuertes,,558,23,"-3,593712","40,461137"
Calle Cristo del Gran Poder (cruce con calle Alas),Calle Cristo del Gran Poder (cruce con calle Alas),,22,1,Plaza Nuestra Señora de Loreto,Plaza Nuestra Señora de Loreto,,561,23,"-3,585751","40,472048"
Calle Tomillar,Calle Tomillar,,9,18,Tomillar - Tintín y Milú,Tomillar - Tintín y Milú,,562,27,"-3,584415","40,463099"
Calle playa de Zarauz (esquina con Playa de Caleta),Calle playa de Zarauz (esquina con Playa de Caleta),,18,5,Playa de Zarauz - Playa de la Caleta,Playa de Zarauz - Playa de la Caleta,,560,23,"-3,590685","40,47314"
Avenida del Partenón,Avenida del Partenón,,13,14,IFEMA A,hyphema,,568,27,"-3,617834","40,46328"
Paseo Alberto Palacios,Paseo Alberto Palacios,,12,11,"Paseo Alberto Palacios, 42","Paseo Alberto Palacios, 42",,405,23,"-3,712904","40,344926"
Calle Eduardo Maristany,Calle Eduardo Maristany,,18,9,Estación de tren de Villaverde Bajo,Estación de tren de Villaverde Bajo,,401,27,"-3,683127","40,353285"
Calle Cifuentes,Calle Cifuentes,,17,6,La Nave de Madrid,La Nave de Madrid,,406,23,"-3,696082","40,3486"
Calle Auñón,Calle Auñón,,5,18,"Auñón, 16","Auñón, 16",,403,23,"-3,677524","40,350494"
Paseo de los Melancólicos,paseo de los Melancólicos,https://www.wikidata.org/entity/Q118847890,18,5,Ps de los Melancólicos - San Epifanio,Ps de los Melancólicos - San Epifanio,,280,23,"-3,718569","40,401782"
Calle Albox,Calle Albox,,10,13,Metro San Francisco,Metro San Francisco,,367,23,"-3,73984","40,373972"
Paseo de los Jesuitas,Paseo de los Jesuitas,,11,12,Ps. Jesuitas - Pza. Cerro Bermejo,Ps. Jesuitas - Pza. Cerro Bermejo,,325,23,"-3,730554","40,410692"
Calle Sierra de Atapuerca,Calle Sierra de Atapuerca,,3,20,Sierra de Atapuerca - Viloria de Rioja,Sierra de Atapuerca - Viloria de Rioja,,578,23,"-3,670425","40,50293"
Calle Puerto de Porzuna,Calle Puerto de Porzuna,,21,2,C. Deportivo Mpal. Miguel Guillén Prim,C. Deportivo Mpal. Miguel Guillén Prim,,446,23,"-3,62363","40,373826"
Parque Eugenia de Montijo,Parque Eugenia de Montijo,,15,9,"Eugenia de Montijo, 2","Eugenia de Montijo, 2",,382,24,"-3,754582","40,37835"
Calle transversal sexta (enfrente del colegio Villamadrid),Calle transversal sexta (enfrente del colegio Villamadrid),,9,15,Est. de tren de S. Cristóbal Industrial,Est. de tren de S. Cristóbal Industrial,,410,24,"-3,699266","40,332546"
Calle Valdesangil,Calle Valdesangil,,12,12,Valdesangil,Valdesangil,,319,24,"-3,716673","40,468422"
Calle María Tubau,Calle María Tubau,,20,4,Maria Tubau - Isabel Colbrand,Maria Tubau - Isabel Colbrand,,579,24,"-3,671704","40,513992"
Calle del Monasterio de Sobrado,Calle del Monasterio de Sobrado,,9,15,Monasterio Sobrado - Monasterio Silos,Monasterio Sobrado - Monasterio Silos,,602,24,"-3,692837","40,509323"
Calle Ubeda esquina Plaza Virgen de la capilla,Calle Ubeda esquina Plaza Virgen de la capilla,,1,23,Centro Deportivo Municipal La Masó,Centro Deportivo Municipal La Masó,,600,24,"-3,714957","40,482551"
Avenida de Logroño,avenida de Logroño,https://www.wikidata.org/entity/Q118638509,18,6,Avenida de Logroño,avenida de Logroño,,566,24,"-3,581503","40,470347"
Calle Playa de Riazor,Calle Playa de Riazor,,13,11,Metro Barajas,Metro Barajas,,565,24,"-3,583887","40,475636"
467 -  Calle Villardondiego  nº32,467 -  Calle Villardondiego  nº32,,6,18,Univ. Rey Juan Carlos - Facultad CJS,Univ. Rey Juan Carlos - Facultad CJS,,467,24,"-3,608489","40,406236"
469 - Ladera de los Almendros,469 - Ladera de los Almendros,,14,10,C. Deportivo Mpal Faustina Valladolid,C. Deportivo Mpal Faustina Valladolid,,469,24,"-3,62299","40,40343"
Avenida Real,Royal Avenue,https://www.wikidata.org/entity/Q7373779,8,10,Avenida Real - Galeote,Avenida Real - Galeote,,470,18,"-3,606367","40,402152"
Calle Molino Viejo frente,Calle Molino Viejo frente,,0,18,Molino Viejo - Minerva,Molino Viejo - Minerva,,471,18,"-3,60666","40,396301"
Calle Amaltea,Calle Amaltea,,16,8,Amaltea-Meneses,Amaltea-Meneses,,271,24,"-3,68317","40,394706"
Calle Villablanca 7,Calle Villablanca 7,,15,8,Villablanca - Vereda del Pinar,Villablanca - Vereda del Pinar,,466,23,"-3,607833","40,408947"
Paseo Juan Antonio Vallejo-Nájera Botas,"Paseo de Juan Antonio Vallejo-Nájera Botas, Madrid",https://www.wikidata.org/entity/Q33093309,8,15,"Juan Antonio Vallejo-Nájera Botas, 25","Juan Antonio Vallejo-Nájera Botas, 25",,275,23,"-3,708212","40,402054"
Avenida de la Aurora Boreal,Avenida de la Aurora Boreal,,4,19,Aurora Boreal - Minerva,Aurora Boreal - Minerva,,475,23,"-3,603668","40,399236"
Calle Méndez Álvaro,"Calle de Méndez Álvaro, Madrid",https://www.wikidata.org/entity/Q5553104,19,4,Estación Sur Méndez Álvaro A,Estación Sur Méndez Álvaro A,,274,23,"-3,681343","40,396758"
Calle Nuria nº24,Calle Nuria nº24,,15,9,Nuria - Peña Sirio,Nuria - Peña Sirio,,605,24,"-3,704883","40,491644"
Avenida Arcentales (frente Estadio Metropolitano),Avenida Arcentales (frente Estadio Metropolitano),,8,16,Metro Estadio Metropolitano,Metro Estadio Metropolitano,,522,24,"-3,600975","40,433333"
Calle Ginebra (esquina con Suecia),Calle Ginebra (esquina con Suecia),,10,14,Metro Las Rosas,Metro Las Rosas,,521,24,"-3,604818","40,423893"
Intercambiador de Canillejas,Intercambiador de Canillejas,https://www.wikidata.org/entity/Q30139064,16,8,Metro Canillejas,Metro Canillejas,,508,24,"-3,609553","40,449095"
Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),,5,18,Estación de Atocha A,Line 55 (EMT Madrid),,80A,23,"-3,690538","40,407573"
Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),Avenida Ciudad de Barcelona (esquina con Plaza de Carlos V),,20,7,Estación de Atocha B,Estación de Atocha B,,80B,27,"-3,690475","40,407521"
Calle Adolfo Bioy Casares,Calle Adolfo Bioy Casares,,19,8,Adolfo Bioy Casares - Las Suertes,Adolfo Bioy Casares - Las Suertes,,447,27,"-3,598193","40,36685"
Calle San Jenaro,Calle San Jenaro,,13,11,Estación de tren de Puente de Alcocer,Estación de tren de Puente de Alcocer,,412,24,"-3,704308","40,350029"
Calle Diamante,Calle Diamante,,7,17,Diamante - Delmira Agustini,Diamante - Delmira Agustini,,415,24,"-3,687753","40,353261"
Calle Doctor Martín Arévalo enfrente del N°16,Calle Doctor Martín Arévalo enfrente del N°16,,14,10,Doctor Martín Arévalo,Doctor Martín Arévalo,,413,24,"-3,707413","40,345928"
Calle Zapatoca,Calle Zapatoca,,15,8,"Zapatoca, 8","Zapatoca, 8",,545,23,"-3,633358","40,472852"
Plaza Mayor de Barajas,Plaza Mayor de Barajas,,10,14,Plaza Mayor de Barajas,Plaza Mayor de Barajas,,567,24,"-3,577654","40,473325"
Calle soto Hidalgo,Calle soto Hidalgo,,26,1,Soto Hidalgo,Plaza de toros Vicente Segura,,563,27,"-3,582075","40,460647"
Paseo de Reina Cristina,"Paseo de la Reina Cristina, Madrid",https://www.wikidata.org/entity/Q29051319,17,6,Reina Cristina - Julián Gayarre,Reina Cristina - Julián Gayarre,,281,23,"-3,683186","40,406725"
Ronda de la Comunicación,Ronda de la Comunicación,https://www.wikidata.org/entity/Q3941077,7,16,Metro Ronda de la Comunicación,Metro Ronda de la Comunicación,,609,23,"-3,662689","40,51572"
Calle de Moncada,Carrer de Montcada,https://www.wikidata.org/entity/Q8255466,10,13,Metro San Cristóbal,Metro San Cristóbal,,408,23,"-3,692444","40,341725"
Calle Eduardo Barreiros,Calle Eduardo Barreiros,,9,14,"Eduardo Barreiros, 114","Eduardo Barreiros, 114",,409,23,"-3,704644","40,35535"
Calle Fermín Caballero 2,Calle Fermín Caballero 2,,8,15,Fermín Caballero - Sangenjo,Fermín Caballero - Sangenjo,,606,23,"-3,698485","40,487363"
Calle Huerta de Catañeda,Calle Huerta de Catañeda,,8,16,Huerta de Castañeda 26,Huerta de Castañeda 26,,349,24,"-3,742019","40,406221"
calle Gregorio Sánchez Herráez 14,calle Gregorio Sánchez Herráez 14,,7,16,Gregorio Sánchez Herráez 14,Gregorio Sánchez Herráez 14,,544,23,"-3,63657","40,477248"
Calle Oña s/n,Calle Oña s/n,,12,11,Oña,original net animation,,551,23,"-3,665856","40,489187"
Calle Ana de Austria,Calle Ana de Austria,,5,22,Ana de Austria - Ignacio Aldecoa,Ana de Austria - Ignacio Aldecoa,,552,27,"-3,65315","40,499439"
Avenida Fuerzas Armadas (Renfe Valdebebas),Avenida Fuerzas Armadas (Renfe Valdebebas),,10,14,Estación de tren de Valdebebas,Estación de tren de Valdebebas,,542,24,"-3,615718","40,481996"
Paseo de la Puerta del Ángel,Paseo de la Puerta del Ángel,,8,11,Metro Lago,Metro Lago,,320,19,"-3,734525","40,416779"
Calle Estella,Calle Estella,,19,4,Estella - Camino de Santiago,Estella - Camino de Santiago,,608,23,"-3,674357","40,49682"
Paseo de los Pontones,paseo de los Pontones,https://www.wikidata.org/entity/Q26737156,2,21,Paseo los Pontones - Ps. Melancólicos,Paseo los Pontones - Ps. Melancólicos,,278,23,"-3,7196","40,404043"
Calle luis de Salazar,"Calle de Luis de Salazar, Madrid",https://www.wikidata.org/entity/Q28940906,1,22,Luis de Salazar - Padre Claret,Luis de Salazar - Padre Claret,,289,23,"-3,664926","40,447417"
Calle Rafaela Aparicio,Calle Rafaela Aparicio,,12,15,Rafaela Aparicio - Maruja Mallo,Rafaela Aparicio - Maruja Mallo,,547,27,"-3,631218","40,47924"
Calle de Berrocal,calle de la Muerte y la Vida,https://www.wikidata.org/entity/Q118164532,2,25,"Berrocal, 9","Berrocal, 9",,402,27,"-3,67615","40,344115"
Calle Tomás Redondo,Calle Tomás Redondo,,11,12,Tomas Redondo,Tomas Redondo,,543,23,"-3,629138","40,471784"
Paseo Virgen del Puerto,Paseo Virgen del Puerto,,1,14,Virgen del Puerto,Fiestas de La Melonera,,277,15,"-3,721178","40,411622"
Calle del Tejo,Calle del Tejo,,18,5,Tejo - Parque La Ronda,Tejo - Parque La Ronda,,272,23,"-3,679186","40,39663"
Avenida Menéndez Pelayo enfrente del nº33,Avenida Menéndez Pelayo enfrente del nº33,,17,6,Parque Retiro - Puerta Reina Mercedes,Parque Retiro - Puerta Reina Mercedes,,282,23,"-3,67878","40,418133"
Calle Mayor,Calle Mayor,,16,7,Metro Sol,Metro Sol,,1,23,"-3,70541","40,416465"
Avenida Gran Vía de San Francisco,Avenida Gran Vía de San Francisco,,8,15,Gran Vía de San Francisco,Gran Vía de San Francisco,,263,23,"-3,712793","40,408339"
Calle Babilonia,Calle Babilonia,,18,5,"Calle Babilonia, 19","Calle Babilonia, 19",,559,23,"-3,588235","40,46753"
Camino de Ganapanes,Camino de Ganapanes,,6,18,Metro Peñagrande,Metro Peñagrande,,581,24,"-3,716309","40,47648"
Calle San Modesto,Calle San Modesto,,6,18,Hospital Ramón y Cajal,Hospital Ramón y Cajal,,598,24,"-3,69234","40,485801"
Calle Escalona,Calle Escalona,,0,27,Escalona - Seseña,Escalona - Seseña,,341,27,"-3,761823","40,398346"
Calle de Tembleque,Calle de Tembleque,,4,20,Metro Empalme,Metro Empalme,,346,24,"-3,766484","40,390744"
Avenida de las Aguilas,"Avenida de Las Águilas, Madrid",https://www.wikidata.org/entity/Q29405114,16,8,Est. tren Mtra Justa Freire-Poli Aluche,Est. tren Mtra Justa Freire-Poli Aluche,,347,24,"-3,768603","40,383554"
Calle Albelda,Calle Albelda,,24,0,Albelda - Torrelaguna,Albelda - Torrelaguna,,528,24,"-3,657367","40,449422"
Paseo de la Venta,Paseo de la Venta,,17,10,Metro Batán,Metro Batangas,,312,27,"-3,752856","40,40775"
Carretera del zoo s/n (metro Casa de Campo),Carretera del zoo s/n (metro Casa de Campo),,13,14,Metro Casa de Campo,Metro Casa de Campo,,321,27,"-3,761051","40,40316"
Calle Rosas de Aravaca,Calle Rosas de Aravaca,,18,5,Estación de tren de Aravaca,Estación de tren de Aravaca,,310,23,"-3,784554","40,449051"
Calle Profesor Aranguren,Calle Profesor Aranguren,,25,2,C. Universitaria - F. Geografía e Histo,C. Universitaria - F. Geografía e Histo,,311,27,"-3,733574","40,448553"
Calle Felipe IV,Calle Felipe IV,,17,6,Museo Nacional del Prado,Museo Nacional del Prado,,283,23,"-3,691906","40,415208"
Avenida Del Partenón,Avenida Del Partenón,,7,16,IFEMA B,IFEMA B,,564,23,"-3,613867","40,463861"
Calle Caños de San Pedro,Calle Caños de San Pedro,,10,13,Caños de San Pedro - San Cipriano,Caños de San Pedro - San Cipriano,,468,23,"-3,60192","40,402998"
465 - Cordel de Pavones,465 - Cordel de Pavones,,15,9,Cordel de Pavones - Bulevar José Prat,Cordel de Pavones - Bulevar José Prat,,465,24,"-3,619645","40,397375"
Calle Santa Petronila,Calle Santa Petronila,,4,20,Metro Villaverde Bajo-Cruce,Metro Villaverde Bajo-Cruce,,414,24,"-3,692163","40,350985"
Calle de la Oca,Calle de la Oca,,14,10,Oca,oca,,380,24,"-3,733549","40,389433"
Calle Domingo Párraga,Calle Domingo Párraga,,11,12,Estación de tren de Villaverde Alto,Estación de tren de Villaverde Alto,,411,23,"-3,711818","40,341753"
Calle Jacinto Verdaguer,Carrer Jacint Verdaguer,https://www.wikidata.org/entity/Q5740564,5,19,Jacinto Verdaguer - Lola de Membrives,Jacinto Verdaguer - Lola de Membrives,,354,24,"-3,716053","40,395939"
Calle Santa Pola,Calle Santa Pola,,21,2,C. Deportivo Mpal. José María Cagigal,C. Deportivo Mpal. José María Cagigal,,318,23,"-3,737028","40,432051"
Avenida Francisco Pi y Margall,Avenida Francisco Pi y Margall,,2,17,Francisco Pi y Maragall,Francisco Pi y Maragall,,549,19,"-3,650354","40,486635"
Paseo de los Melancólicos,paseo de los Melancólicos,https://www.wikidata.org/entity/Q118847890,10,13,"Paseo de los Melancólicos, 1","Paseo de los Melancólicos, 1",,279,23,"-3,718482","40,410445"
Calle Carmen de Burgos,Calle Carmen de Burgos,,7,16,"Carmen de Burgos, 4","Carmen de Burgos, 4",,407,23,"-3,684788","40,357546"
Paseo de las Yeserías,Paseo de las Yeserías,,12,10,"Paseo de las Yeserías, 15","Paseo de las Yeserías, 15",,276,23,"-3,709917","40,399005"
Calle Illescas,Calle Illescas,,21,6,Illescas - Seseña,Illescas - Seseña,,340,27,"-3,765698","40,397098"
Calle Osa de la Vega,Calle Osa de la Vega,,3,20,Osa de la Vega - Rafael Finat,Osa de la Vega - Rafael Finat,,342,23,"-3,773381","40,374979"
Calle Alfredo Aleix,Calle Alfredo Aleix,,8,16,Alfredo Aleix - Mercedes Rodríguez,Alfredo Aleix - Mercedes Rodríguez,,381,24,"-3,755392","40,368477"
Calle Valderrebollo,Calle Valderrebollo,,22,1,"Valderrebollo, 18","Valderrebollo, 18",,444,23,"-3,627635","40,374348"
Avenida Del Ensanche de Vallecas,Avenida Del Ensanche de Vallecas,,14,13,Metro Las Suertes,Metro Las Suertes,,448,27,"-3,599352","40,363376"
Calle de los Pinillas,Calle de los Pinillas,,4,23,Metro Valdebernardo,Metro Valdebernardo,,472,27,"-3,621148","40,398797"
Calle Villa Blanca,Calle Villa Blanca,,21,6,Villablanca - Parque Forestal Vicálvaro,Villablanca - Parque Forestal Vicálvaro,,473,27,"-3,59888","40,405"
Calle San Cipriano,calle de San Cipriano,https://www.wikidata.org/entity/Q34463888,10,17,Estación de tren de Vicálvaro,Estación de tren de Vicálvaro,,474,27,"-3,596875","40,402255"
Avenida Gran Vía de Hortaleza,Avenida Gran Vía de Hortaleza,,8,15,Metro Pinar del Rey,Metro Pinar del Rey,,541,23,"-3,646859","40,468271"
Calle Andorra,Calle Andorra,,5,18,Andorra - Canillas,Andorra - Canillas,,546,23,"-3,646752","40,462898"
Calle del Príncipe Carlos,Calle del Príncipe Carlos,,2,21,"Príncipe Carlos, 54","Príncipe Carlos, 54",,550,23,"-3,656674","40,494111"
Calle María de Portugal,Calle María de Portugal,,11,12,María Portugal - Niceto Alcalá Zamora,María Portugal - Niceto Alcalá Zamora,,553,23,"-3,658921","40,499909"
Calle Antonio de Cabezón,Calle Antonio de Cabezón,,3,20,Estación de tren de Fuencarral,Estación de tren de Fuencarral,,601,23,"-3,682469","40,501559"
Calle Castiello de Jaca,Calle Castiello de Jaca,,0,23,"Castiello de Jaca, 14","Castiello de Jaca, 14",,603,23,"-3,678203","40,509198"
Calle Valcarlos,Calle Valcarlos,,21,6,Metro Ligero - Palas de Rey,Metro Ligero - Palas de Rey,,607,27,"-3,664157","40,505192"
Bardegueral nº16,Bardegueral nº16,,7,16,Bardegueral,Bardegueral,,610,23,"-3,77191","40,450172"
Calle Francisco Balseiro,Calle Francisco Balseiro,,0,24,Acueducto de Amaniel,Acueducto de Amaniel,,237,24,"-3,710274","40,451682"
Calle María de las Mercedes de Borbón,Calle María de las Mercedes de Borbón,,9,14,María de las Mercedes de Borbón B,María de las Mercedes de Borbón B,,262,23,"-3,620114","40,492868"
Calle María de las Mercedes de Borbón,Calle María de las Mercedes de Borbón,,2,21,María de las Mercedes de Borbón A,María de las Mercedes de Borbón A,,611,23,"-3,612107","40,490908"
