NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;ROAD_TRAFFIC;SCW_CALC
AT1;AT13;AT130;90001;0;1990;1.000 t;2021;2 162,57;1 322,24
AT1;AT13;AT130;90001;0;1991;1.000 t;2021;2 396,58;1 364,56
AT1;AT13;AT130;90001;0;1992;1.000 t;2021;2 384,77;1 415,33
AT1;AT13;AT130;90001;0;1993;1.000 t;2021;2 397,01;1 435,79
AT1;AT13;AT130;90001;0;1994;1.000 t;2021;2 395,88;1 486,07
AT1;AT13;AT130;90001;0;1995;1.000 t;2021;2 423,21;1 512,95
AT1;AT13;AT130;90001;0;1996;1.000 t;2021;2 646,63;1 555,71
AT1;AT13;AT130;90001;0;1997;1.000 t;2021;2 495,76;1 583,58
AT1;AT13;AT130;90001;0;1998;1.000 t;2021;2 789,77;1 628,47
AT1;AT13;AT130;90001;0;1999;1.000 t;2021;2 690,10;1 673,73
AT1;AT13;AT130;90001;0;2000;1.000 t;2021;2 814,36;1 709,78
AT1;AT13;AT130;90001;0;2001;1.000 t;2021;3 016,61;1 735,86
AT1;AT13;AT130;90001;0;2002;1.000 t;2021;3 345,68;1 777,73
AT1;AT13;AT130;90001;0;2003;1.000 t;2021;3 607,84;1 818,69
AT1;AT13;AT130;90001;0;2004;1.000 t;2021;3 688,71;1 839,64
AT1;AT13;AT130;90001;0;2005;1.000 t;2021;3 740,25;1 819,71
AT1;AT13;AT130;90001;0;2006;1.000 t;2021;3 518,52;1 793,24
AT1;AT13;AT130;90001;0;2007;1.000 t;2021;3 515,82;1 790,88
AT1;AT13;AT130;90001;0;2008;1.000 t;2021;3 283,43;1 698,69
AT1;AT13;AT130;90001;0;2009;1.000 t;2021;3 159,45;1 619,49
AT1;AT13;AT130;90001;0;2010;1.000 t;2021;3 232,47;1 645,94
AT1;AT13;AT130;90001;0;2011;1.000 t;2021;3 108,70;1 635,51
AT1;AT13;AT130;90001;0;2012;1.000 t;2021;3 062,85;1 613,58
AT1;AT13;AT130;90001;0;2013;1.000 t;2021;3 167,58;1 621,25
AT1;AT13;AT130;90001;0;2014;1.000 t;2021;3 070,75;1 628,87
AT1;AT13;AT130;90001;0;2015;1.000 t;2021;3 099,39;1 641,68
AT1;AT13;AT130;90001;0;2016;1.000 t;2021;3 220,30;1 740,03
AT1;AT13;AT130;90001;0;2017;1.000 t;2021;3 305,53;1 782,89
AT1;AT13;AT130;90001;0;2018;1.000 t;2021;3 273,32;1 756,86
AT1;AT13;AT130;90001;0;2019;1.000 t;2021;3 278,40;1 658,11
AT1;AT13;AT130;90001;0;2020;1.000 t;2021;2 845,58;1 559,83
AT1;AT13;AT130;90001;0;2021;1.000 t;2021;2 952,00;1 606,90
