FID,OBJECTID,SHAPE,ADDRESS,BEZIRK,CITY,COUNTRYCODE,DESIGNATION,DIRECTPAYMENT,EVSEID,OPERATORNAME
ELADESTELLEOGD.1719461,1719461,POINT (16.36242000496405 48.20313706636386),"01., Babenbergerstraße 5",1,Wien,AT,Babenbergerstraße,0,AT*VNA*E1010570012,Wien Energ
ELADESTELLEOGD.1719462,1719462,POINT (16.378323005496615 48.205356066269445),"01., Parkring 12",1,Wien,AT,Parkring 12,0,AT*VNA*E1010570013,Wien Energ
ELADESTELLEOGD.1719463,1719463,POINT (16.382994005536244 48.210370065950556),"01., Stubenring 1",1,Wien,AT,Stubenring,0,AT*VNA*E1010570014,Wien Energ
ELADESTELLEOGD.1719464,1719464,POINT (16.373114005114175 48.200240066231956),"01., Canovagasse 7",1,Wien,AT,Canovagasse,0,AT*VNA*E1010570015,Wien Energ
ELADESTELLEOGD.1719465,1719465,POINT (16.36593000511735 48.203080066365104),"01., Opernring 17",1,Wien,AT,Opernring,0,AT*VNA*E1010570016,Wien Energ
ELADESTELLEOGD.1719466,1719466,POINT (16.377080005804114 48.20406006580236),"01., Parkring 18",1,Wien,AT,Parkring,0,AT*VNA*E1010570017,Wien Energ
ELADESTELLEOGD.1719467,1719467,POINT (16.359080005158738 48.21302006609117),"01., Reichsratsstraße 11",1,Wien,AT,Reichsratsstraße,0,AT*VNA*E1010570018,Wien Energ
ELADESTELLEOGD.1719468,1719468,POINT (16.36137200482486 48.209396066439005),"01., Josef-Meinrad-Platz 1",1,Wien,AT,Josef Meinrad Platz,0,AT*VNA*E1010570019,Wien Energ
ELADESTELLEOGD.1719469,1719469,POINT (16.364245004798217 48.20147906641065),"01., Gauermanngasse 2-4",1,Wien,AT,Gauermanngasse 2-4,0,AT*VNA*E1010570020,Wien Energ
ELADESTELLEOGD.1719470,1719470,POINT (16.410781005909364 48.21909706646458),"02., Engerthstraße 225",2,Wien,AT,Engerthstraße 225,0,AT*VIE*E1020580001,Wien Energ
ELADESTELLEOGD.1719471,1719471,POINT (16.395427005238115 48.227377065829614),"02., Leystraße 165",2,Wien,AT,Leystraße 165,0,AT*VIE*E1020580002,Wien Energ
ELADESTELLEOGD.1719472,1719472,POINT (16.387665005234265 48.22194706576335),"02., Springergasse 12",2,Wien,AT,Springergasse 12,0,AT*VIE*E1020580003,Wien Energ
ELADESTELLEOGD.1719473,1719473,POINT (16.382060004900964 48.22646206657995),"02., Nordpolstraße 4",2,Wien,AT,Nordpolstraße 4,0,AT*VIE*E1020580004,Wien Energ
ELADESTELLEOGD.1719474,1719474,POINT (16.38866400559709 48.22585806646142),"02., Nordbahnstraße 18",2,Wien,AT,Nordbahnstraße 18,0,AT*VIE*E1020580005,Wien Energ
ELADESTELLEOGD.1719475,1719475,POINT (16.39828000597909 48.22452006579191),"02., Walcherstraße 11A",2,Wien,AT,Walcherstraße 11A,0,AT*VIE*E1020650001,Wien Energ
ELADESTELLEOGD.1719476,1719476,POINT (16.377458005640943 48.217787066350205),"02., Leopoldsgasse 39",2,Wien,AT,öff. BIP Karmelitermarkt,0,AT*VIE*E1020650005,Wien Energ
ELADESTELLEOGD.1719477,1719477,POINT (16.380316004842886 48.21329306576295),"02., Praterstrasse 1",2,Wien,AT,öff. BIP Sofitel,0,AT*VIE*E1020650008,Wien Energ
ELADESTELLEOGD.1719478,1719478,POINT (16.39874400525119 48.21758706575682),"02., Prater 9",2,Wien,AT,öff. BIP Prater,0,AT*VIE*E1020650017,Wien Energ
ELADESTELLEOGD.1719479,1719479,POINT (16.397639005390932 48.22964006577349),"02., Friedrich-Hillegeist-Straße 1",2,Wien,AT,PVA/Friedrich-Hillegeist-Straße/öffentlich,0,AT*VIE*E1020650036,Wien Energ
ELADESTELLEOGD.1719480,1719480,POINT (16.398882004916995 48.209589066384176),"02., Rustenschacherallee  3",2,Wien,AT,Rustenschacherallee 3 /KSV- Sportvereinigung,0,AT*VIE*E1020650038,Wien Energ
ELADESTELLEOGD.1719481,1719481,POINT (16.40059500492244 48.22849806619575),"02., Haussteinstraße 7",2,Wien,AT,PVA/Haussteinstraße 7/Fast,0,AT*VIE*E1020770001,Wien Energ
ELADESTELLEOGD.1719482,1719482,POINT (16.389963005282855 48.22240506610137),"02., Nordbahnstraße 49",2,Wien,AT,BOE Garage Praterstern Station 1,0,AT*VIE*E5081,Wien Energ
ELADESTELLEOGD.1719483,1719483,POINT (16.389963005282855 48.22240506610137),"02., Nordbahnstraße 49",2,Wien,AT,BOE Garage Praterstern Station 2,0,AT*VIE*E5082,Wien Energ
ELADESTELLEOGD.1719484,1719484,POINT (16.41284000603828 48.212926066281526),"02., Trabrennstraße 2C",2,Wien,AT,Viertel Zwei Garage P1 Station 1,0,AT*VIE*E5107,Wien Energ
ELADESTELLEOGD.1719485,1719485,POINT (16.41284000603828 48.212926066281526),"02., Trabrennstraße 2C",2,Wien,AT,Viertel Zwei Garage P1 Station 2,0,AT*VIE*E5108,Wien Energ
ELADESTELLEOGD.1719486,1719486,POINT (16.41284000603828 48.212926066281526),"02., Trabrennstraße 2C",2,Wien,AT,Viertel Zwei Garage P1 Station 3,0,AT*VIE*E5109,Wien Energ
ELADESTELLEOGD.1719487,1719487,POINT (16.41284000603828 48.212926066281526),"02., Trabrennstraße 2C",2,Wien,AT,Viertel Zwei Garage P1 Station 4,0,AT*VIE*E5110,Wien Energ
ELADESTELLEOGD.1719488,1719488,POINT (16.394772006084416 48.22992906601909),"02., Vorgartenstraße 106",2,Wien,AT,Buwog Nordbahnhof II,0,AT*VIE*E5195,Wien Energ
ELADESTELLEOGD.1719489,1719489,POINT (16.411435005449636 48.212384065816316),"02., Trabrennstraße 1",2,Wien,AT,APCOA Welthandelsplatz,0,AT*VIE*E5245,Wien Energ
ELADESTELLEOGD.1719490,1719490,POINT (16.384250005643036 48.223030065872635),"02., Volkertstraße 9",2,Wien,AT,BIP Garage Volkertstraße - Station 1,0,AT*VIE*E5248,Wien Energ
ELADESTELLEOGD.1719491,1719491,POINT (16.384290005120217 48.22303006621235),"02., Volkertstraße 9",2,Wien,AT,BIP Garage Volkertstraße - Station 2,0,AT*VIE*E5249,Wien Energ
ELADESTELLEOGD.1719492,1719492,POINT (16.45810900567896 48.183825066137516),"02., Seitenhafenstraße 15",2,Wien,AT,Hafen Wien bei Trafostation Station 1,0,AT*VIE*E7335,Wien Energ
ELADESTELLEOGD.1719493,1719493,POINT (16.45810400593117 48.18382006579387),"02., Seitenhafenstraße 15",2,Wien,AT,Hafen Wien bei Trafostation Station 2,0,AT*VIE*E7336,Wien Energ
ELADESTELLEOGD.1719494,1719494,POINT (16.396823005094898 48.22185406630191),"02., Leopold-Moses-Gasse vor 1",2,Wien,AT,Leopold-Moses-Gasse vor 1,0,AT*VNA*E1020570001,Wien Energ
ELADESTELLEOGD.1719291,1719291,POINT (16.555710005785535 48.123018065923034),1300 Speditionsstraße 1,,Schwechat,AT,Flughafen Wien Schwechat Parkhaus 8 Station 1,0,AT*VIE*E5172,Wien Energ
ELADESTELLEOGD.1719292,1719292,POINT (16.555710005785535 48.123018065923034),1300 Speditionsstraße 1,,Schwechat,AT,Flughafen Wien Schwechat Parkhaus 8 Station 2,0,AT*VIE*E5173,Wien Energ
ELADESTELLEOGD.1719293,1719293,POINT (16.565276005212215 48.125811066405504),1300 Anlieferungsstraße x,,Schwechat,AT,Flughafen Wien PP C,0,AT*VIE*E7301,Wien Energ
ELADESTELLEOGD.1719294,1719294,POINT (16.49579600555562 48.312013066219976),2101 Schillergasse 19,,Gerasdorf bei Wien,AT,Schillergasse 19 - Marktgemeinde Gerasdorf,0,AT*VIE*E2201650004,Wien Energ
ELADESTELLEOGD.1719295,1719295,POINT (16.44214900616813 48.32106406624926),2101 Brünnerstraße 62,,Gerasdorf bei Wien,AT,Brünnerstraße 62 - Marktgemeinde Gerasdorf,0,AT*VIE*E2201650005,Wien Energ
ELADESTELLEOGD.1719296,1719296,POINT (16.412126006069528 48.33706206610558),2102 Sportplatzstraße 1,,Hagenbrunn,AT,"Hagenbrunn, Sportplatzstraße 1, AC, Volkschule",0,AT*VIE*E2102650003,Wien Energ
ELADESTELLEOGD.1719297,1719297,POINT (16.412061005789166 48.33707106607919),2102 Sportplatzstraße 1,,Hagenbrunn,AT,"Hagenbrunn, Sportplatzstraße 1, DC, Volkschule",0,AT*VIE*E2102770001,Wien Energ
ELADESTELLEOGD.1719298,1719298,POINT (16.370541005573756 48.30305106583902),2103 Wiener Straße 138,,Langenzersdorf,AT,Wiener Straße 138,0,AT*VIE*E2103650002,Wien Energ
ELADESTELLEOGD.1719299,1719299,POINT (16.356767005350978 48.30969306610617),2103 Klosterneuburger Straße 1-3,,Langenzersdorf,AT,"Langenzersdorf, Klosterneuburger Straße 1-3",0,AT*VIE*E2103770001,Wien Energ
ELADESTELLEOGD.1719300,1719300,POINT (16.470178006109236 48.29769306628541),2201 Peter-Paul-Straße ggü. 32,,Gerasdorf bei Wien,AT,Peter-Paul-Straße ggü. 32 - Marktgemeinde Gerasdorf,0,AT*VIE*E2201650001,Wien Energ
ELADESTELLEOGD.1719301,1719301,POINT (16.456133004876207 48.294961065945984),2201 Blumenweg ggü. 36a,,Gerasdorf bei Wien,AT,Blumenweg ggü. 36a - Marktgemeinde Gerasdorf,0,AT*VIE*E2201650002,Wien Energ
ELADESTELLEOGD.1719302,1719302,POINT (16.487118005778726 48.33299006577172),2201 Linke Dorfstraße  ggü. 35/37,,Gerasdorf bei Wien,AT,Linke Dorfstraße ggü. 35/37 - Marktgemeinde Gerasdorf,0,AT*VIE*E2201650003,Wien Energ
ELADESTELLEOGD.1719303,1719303,POINT (16.471721006025398 48.295627066061336),2201 Scheunenviertel ggü. 5,,Gerasdorf bei Wien,AT,Gerasdorf Scheunenstraße,0,AT*VIE*E5114,Wien Energ
ELADESTELLEOGD.1719304,1719304,POINT (16.470894006040158 48.295038066510585),2201 Kirchengasse 2,,Gerasdorf bei Wien,AT,Gerasdorf Kirchengasse 2,0,AT*VIE*E5115,Wien Energ
ELADESTELLEOGD.1719305,1719305,POINT (16.689524005903593 48.225081066310715),2285 Hauptstraße 19,,Leopoldsdorf im Marchfelde,AT,Spar Leopoldsdorf im Marchfelde,0,AT*VIE*E5202,Wien Energ
ELADESTELLEOGD.1719306,1719306,POINT (16.583743005336604 48.17955406602546),2301 Dorfstraße 7,,Oberhausen,AT,Oberhausen Dorfstraße 7,0,AT*VIE*E5261,Wien Energ
ELADESTELLEOGD.1719307,1719307,POINT (16.474464005123536 48.13986506615733),2320 Rathausplatz  8A/1,,Schwechat,AT,Gemeinde Schwechat Rathausplatz 8A,0,AT*VIE*E2320650004,Wien Energ
ELADESTELLEOGD.1719308,1719308,POINT (16.511905005550844 48.14850506651246),2320 Mannswörther Straße  57,,Schwechat,AT,Mannswörther Straße 57,0,AT*VIE*E2320650005,Wien Energ
ELADESTELLEOGD.1719309,1719309,POINT (16.469383005192732 48.13110406608199),2320 Franz-Schuster-Straße neben 1-3,,Schwechat,AT,Franz-Schuster-Straße neben 1-3,0,AT*VIE*E2320650006,Wien Energ
ELADESTELLEOGD.1719310,1719310,POINT (16.52728900506076 48.083722066513374),2320 Rauchenwarth  geg 28,,Rauchenwarth,AT,Gemeinde Rauchenwarth geg. 28,0,AT*VIE*E2320650007,Wien Energ
ELADESTELLEOGD.1719311,1719311,POINT (16.48144200543405 48.1411680657447),2320 Möhringgasse 4,,Schwechat,AT,Spar Schwechat,0,AT*VIE*E5092,Wien Energ
ELADESTELLEOGD.1719312,1719312,POINT (16.47972800534493 48.1377810661715),2320 Franz Schubert-Straße 5-7,,Schwechat,AT,Schwechat Fachmarktzentrum Station 1,0,AT*VIE*E5127,Wien Energ
ELADESTELLEOGD.1719313,1719313,POINT (16.47972800534493 48.1377810661715),2320 Franz Schubert-Straße 5-7,,Schwechat,AT,Schwechat Fachmarktzentrum Station 2,0,AT*VIE*E5128,Wien Energ
ELADESTELLEOGD.1719314,1719314,POINT (16.46231200587503 48.11022606636727),2322 Schwechater Straße 1,,Zwölfaxing,AT,Zwölfaxing-Schwechater Straße 1,0,AT*VIE*E5250,Wien Energ
ELADESTELLEOGD.1719315,1719315,POINT (16.445359004958103 48.045155065943106),2325 Kirchengasse 13A,,Himberg/Velm,AT,"Kirchengasse 13A, 2325 Himberg/Velm E-sol Public",0,AT*VIE*E2325650001,Wien Energ
ELADESTELLEOGD.1719316,1719316,POINT (16.44001300582841 48.08207606579043),2325 Bahnstraße Busstation,,Himberg,AT,Gemeinde Himberg Bahnstation,0,AT*VIE*E5216,Wien Energ
ELADESTELLEOGD.1719317,1719317,POINT (16.445738005806366 48.11068506626071),2326 Lindengasse  15,,Lanzendorf,AT,2326 Lanzendorf / Lindengasse 15 / Parkplatz,0,AT*VIE*E2326650001,Wien Energ
ELADESTELLEOGD.1719318,1719318,POINT (16.352320005302605 48.110570065953574),2331 Laxenburgerstraße 202,,Vösendorf,AT,Laxenburgstraße 202,0,AT*VIE*E2331650001,Wien Energ
ELADESTELLEOGD.1719319,1719319,POINT (16.342942005568773 48.121015066338096),2331 Schloßplatz 1,,Vösendorf,AT,Vösendorf Schloßplatz 1,0,AT*VIE*E2331650002,Wien Energ
ELADESTELLEOGD.1719320,1719320,POINT (16.3371600057717 48.11901006632731),2331 Kindbergstraße 12,,Vösendorf,AT,Kindbergstraße 12,0,AT*VIE*E2331650003,Wien Energ
ELADESTELLEOGD.1719321,1719321,POINT (16.33929000487651 48.12323006584432),2331 Jordanstraße 78,,Vösendorf,AT,Jordanstraße 76,0,AT*VIE*E2331650004,Wien Energ
ELADESTELLEOGD.1719322,1719322,POINT (16.358638004990357 48.11246006585737),2332 Bahnzeile 4-8,,Hennersdorf,AT,ÖBB P&R Hennersdorf Station 1,0,AT*VIE*E5182,Wien Energ
ELADESTELLEOGD.1719323,1719323,POINT (16.358700005952432 48.112460066291774),2332 Bahnzeile 4-8,,Hennersdorf,AT,ÖBB P&R Hennersdorf Station 2,0,AT*VIE*E5183,Wien Energ
ELADESTELLEOGD.1719324,1719324,POINT (16.392886005308238 48.10933006588646),2333 Hennersdorferstraße 21,,Leopoldsdorf,AT,Leopoldsdorf Station 1,0,AT*VIE*E5204,Wien Energ
ELADESTELLEOGD.1719325,1719325,POINT (16.31656700553336 48.10814506655491),2334 SCS-Straße 1,,Vösendorf,AT,SCS Westring Garage Ebene P3,0,AT*VIE*E5149,Wien Energ
ELADESTELLEOGD.1719326,1719326,POINT (16.278950005380356 48.079285066173775),2340 An der goldenen Stiege 37,,Mödling,AT,An der goldenen Stiege,0,AT*VIE*E2340650005,Wien Energ
ELADESTELLEOGD.1719327,1719327,POINT (16.28998000533743 48.07412006644744),2340 Technikerstraße 12,,Mödling,AT,Technikerstraße 12,0,AT*VIE*E2340770027,Wien Energ
ELADESTELLEOGD.1719328,1719328,POINT (16.30271400583529 48.07158406597038),2340 Guntramsdorfer Straße 101,,Mödling,AT,"WKO NÖ - Guntramsdorfer Str. 101, 2340 Mödling",0,AT*VIE*E2340650003,Wien Energ
ELADESTELLEOGD.1719329,1719329,POINT (16.289445005240445 48.09753106615139),2344 Koenig und Bauer-Straße 1,,Maria Enzersdorf,AT,Koenig und Bauer-Straße,0,AT*VIE*E2344650005,Wien Energ
ELADESTELLEOGD.1719330,1719330,POINT (16.284494005517644 48.09732906609654),2344 Franz Josef-Straße 49,,Maria Enzersdorf,AT,Maria Enzersdorf Gemeindeamt,0,AT*VIE*E5123,Wien Energ
ELADESTELLEOGD.1719331,1719331,POINT (16.293318005002533 48.114645066231766),2345 Europaring 1741,,Brunn am Gebirge,AT,TÜV Campus 21 Ebene 0 Station 1,0,AT*VIE*E5095,Wien Energ
ELADESTELLEOGD.1719332,1719332,POINT (16.293318005002533 48.114645066231766),2345 Europaring 1741,,Brunn am Gebirge,AT,TÜV Campus 21 Ebene 0 Station 2,0,AT*VIE*E5096,Wien Energ
ELADESTELLEOGD.1719333,1719333,POINT (16.293318005002533 48.114645066231766),2345 Europaring 1741,,Brunn am Gebirge,AT,TÜV Campus 21 Ebene 2 Station 1,0,AT*VIE*E5097,Wien Energ
ELADESTELLEOGD.1719334,1719334,POINT (16.293318005002533 48.114645066231766),2345 Europaring 1741,,Brunn am Gebirge,AT,TÜV Campus 21 Ebene 2 Station 2,0,AT*VIE*E5098,Wien Energ
ELADESTELLEOGD.1719335,1719335,POINT (16.29958900536831 48.107881065850435),2345 Franz Schubert-Straße ggü. 15,,Brunn am Gebirge,AT,Brunn am Gebirge Volksschule Rennweg,0,AT*VIE*E5181,Wien Energ
ELADESTELLEOGD.1719336,1719336,POINT (16.288420005464037 48.10503506570644),2345 Bahnhofplatz 6,,Brunn am Gebirge,AT,Bahnhof Brunn/Ma.Enzersdorf,0,AT*VIE*E5256,Wien Energ
ELADESTELLEOGD.1719337,1719337,POINT (16.283107005250173 48.10650906611795),2345 Franz Weiss Platz 1,,Brunn am Gebirge,AT,"Franz Weiss Platz 1, Brunn am Gebirge",0,AT*VIE*E2345650001,Wien Energ
ELADESTELLEOGD.1719338,1719338,POINT (16.31187200569871 48.077886066452166),2351 Brown-Boveri-Straße  -,,Wiener Neudorf,AT,Wiener Lokalbahnen (WLB) - Griesfeld,0,AT*VIE*E2351650002,Wien Energ
ELADESTELLEOGD.1719339,1719339,POINT (16.314662005537045 48.0871150661522),2351 Eumigweg 1,,Wiener Neudorf,AT,Eumigweg 1 Bahnhofsplatz,0,AT*VIE*E2351650004,Wien Energ
ELADESTELLEOGD.1719340,1719340,POINT (16.31164000552891 48.08062806595544),2351 Anningerstraße 7,,Wiener Neudorf,AT,Anningerstr.ggü7,0,AT*VIE*E2351650005,Wien Energ
ELADESTELLEOGD.1719341,1719341,POINT (16.312327005378496 48.09164406616285),2351 Reisenbauer-Ring 9,,Wiener Neudorf,AT,Reisenbauer-Ring 9,0,AT*VIE*E2351650006,Wien Energ
ELADESTELLEOGD.1719342,1719342,POINT (16.319128005075115 48.08518006572124),2351 Linkegasse 14,,Wiener Neudorf,AT,Linkeg.14,0,AT*VIE*E2351650007,Wien Energ
ELADESTELLEOGD.1719343,1719343,POINT (16.328666005530692 48.08509606605957),2351 Mühlfeldgasse 35,,Wiener Neudorf,AT,Mühlfeldg.35,0,AT*VIE*E2351650008,Wien Energ
ELADESTELLEOGD.1719344,1719344,POINT (16.308929005508404 48.07914206650747),2351 Anningerstraße 11,,Wiener Neudorf,AT,Anningerstr.11,0,AT*VIE*E2351650009,Wien Energ
ELADESTELLEOGD.1719345,1719345,POINT (16.31476700545063 48.09016106577138),2351 Tennisstraße 1,,Wiener Neudorf,AT,Tennisstr.1,0,AT*VIE*E2351650010,Wien Energ
ELADESTELLEOGD.1719346,1719346,POINT (16.31863200515814 48.08398406588413),2351 Linkegasse 1,,Wiener Neudorf,AT,Linkeg. ecke Grüng.,0,AT*VIE*E2351650011,Wien Energ
ELADESTELLEOGD.1719347,1719347,POINT (16.31450300488947 48.08350606594541),2351 Laxenburgerstraße 1,,Wiener Neudorf,AT,Laxenburgerstr.1,0,AT*VIE*E2351650012,Wien Energ
ELADESTELLEOGD.1719348,1719348,POINT (16.31380000524893 48.08532006595192),2351 Wiener Straße 11-13,,Wiener Neudorf,AT,Wiener Straße 11-13,0,AT*VIE*E2351770007,Wien Energ
ELADESTELLEOGD.1719349,1719349,POINT (16.31878800548083 48.10305506605932),2351 Multiplex Eingang 1,,Wiener Neudorf,AT,SCS Multiplex Eingang 1,0,AT*VIE*E2351770011,Wien Energ
ELADESTELLEOGD.1719350,1719350,POINT (16.32372300574707 48.084714065806324),2351 Schloßmühlplatz vor3,,Wiener Neudorf,AT,Schloßmühlpl.vor3,0,AT*VIE*E2351770013,Wien Energ
ELADESTELLEOGD.1719351,1719351,POINT (16.31689200547263 48.088456066515),2351 Eumigweg 3,,Wiener Neudorf,AT,Eumigweg 3,0,AT*VIE*E2351770015,Wien Energ
ELADESTELLEOGD.1719352,1719352,POINT (16.317418005901658 48.0861590665033),2351 Hauptstraße 34,,Wiener Neudorf,AT,Hauptstrasse 34,0,AT*VIE*E5231,Wien Energ
ELADESTELLEOGD.1719353,1719353,POINT (16.328521004925246 48.08254706629409),2351 Lindenweg 1,,Wiener Neudorf,AT,Lindenweg,0,AT*VIE*E5254,Wien Energ
ELADESTELLEOGD.1719354,1719354,POINT (16.309424004725642 48.086734066431916),2351 Gartengasse 12,,Wiener Neudorf,AT,Gartengasse 12,0,AT*VIE*E5262,Wien Energ
ELADESTELLEOGD.1719355,1719355,POINT (16.3126060049332 48.08867706602088),2351 Reisenbauer-Ring 4,,Wiener Neudorf,AT,Reisenbauer-Ring Ost,0,AT*VIE*E5263,Wien Energ
ELADESTELLEOGD.1719356,1719356,POINT (16.318226005832074 48.083376066401435),2351 Parkstraße 51,,Wiener Neudorf,AT,Parkstraße 51,0,AT*VIE*E5266,Wien Energ
ELADESTELLEOGD.1719357,1719357,POINT (16.310300005043068 48.09121006620312),2351 Reisenbauer Ring 7,,Wiener Neudorf,AT,Reisenbauer Ring Nord,0,AT*VIE*E5273,Wien Energ
ELADESTELLEOGD.1719358,1719358,POINT (16.32485600584438 48.07877206629187),2351 Griesfeldstraße 11B,,Wiener Neudorf,AT,Autohaus Baumgartner,0,AT*VIE*E7317,Wien Energ
ELADESTELLEOGD.1719359,1719359,POINT (16.280600004757556 48.046190066139054),2352 Schulgasse 21,,Gumpoldskirchen,AT,Schulgasse 21,0,AT*VIE*E2352650001,Wien Energ
ELADESTELLEOGD.1719360,1719360,POINT (16.2769160050408 48.04742806573921),2352 J. Schöffelstraße 160,,Gumpoldskirchen,AT,Gumpoldskirchen Josef Schöffel-Straße Station 1,0,AT*VIE*E5140,Wien Energ
ELADESTELLEOGD.1719361,1719361,POINT (16.27627300559935 48.0473340663799),2352 J. Schöffelstraße 160,,Gumpoldskirchen,AT,Gumpoldskirchen Josef Schöffel-Straße Station 2,0,AT*VIE*E5141,Wien Energ
ELADESTELLEOGD.1719362,1719362,POINT (16.319800005016024 48.06723006623013),2353 Dr. A. Schärf-Straße 1,,Guntramsdorf,AT,Dr. A. Schärf-Straße,0,AT*VIE*E2353650002,Wien Energ
ELADESTELLEOGD.1719363,1719363,POINT (16.31713000572051 48.046640065711784),2353 Am Tabor  3,,Guntramsdorf,AT,Am Tabor,0,AT*VIE*E2353650003,Wien Energ
ELADESTELLEOGD.1719364,1719364,POINT (16.318440005379884 48.06011006654552),2353 Veltlinerstrasse 6,,Guntramsdorf,AT,Veltlinerstrasse,0,AT*VIE*E2353650004,Wien Energ
ELADESTELLEOGD.1719365,1719365,POINT (16.306895004978266 48.04390406609975),2353 Rudolf-Heintschel-Straße 39,,Guntramsdorf,AT,Rudolf-Heintschel-Straße 39,0,AT*VIE*E2353650005,Wien Energ
ELADESTELLEOGD.1719366,1719366,POINT (16.31510100536284 48.05362606595752),2353 Friedhofstraße 37,,Guntramsdorf,AT,Friedhofstraße,0,AT*VIE*E2353650006,Wien Energ
ELADESTELLEOGD.1719367,1719367,POINT (16.319690004829205 48.05085006600838),2353 Neudorferstraße 6 A,,Guntramsdorf,AT,Neudorferstraße,0,AT*VIE*E2353650007,Wien Energ
ELADESTELLEOGD.1719368,1719368,POINT (16.319970004749745 48.060330065927964),2353 Roggengasse 7,,Guntramsdorf,AT,Roggengasse,0,AT*VIE*E2353650008,Wien Energ
ELADESTELLEOGD.1719369,1719369,POINT (16.313824005915954 48.06382306568044),2353 Parkstraße 2,,Guntramsdorf,AT,Parkstraße 2,0,AT*VIE*E2353650010,Wien Energ
ELADESTELLEOGD.1719370,1719370,POINT (16.30928500535317 48.047662066028835),2353 Hauptstraße 16,,Guntramsdorf,AT,Hauptstraße 16,0,AT*VIE*E2353650011,Wien Energ
ELADESTELLEOGD.1719371,1719371,POINT (16.312605005061755 48.0454750657993),2353 Mühlgasse 1,,Guntramsdorf,AT,Mühlgasse,0,AT*VIE*E2353650012,Wien Energ
ELADESTELLEOGD.1719372,1719372,POINT (16.312740004845057 48.0489100658954),2353 Rathaus Viertel 1,,Guntramsdorf,AT,Guntramsdorf Rathaus Viertel,0,AT*VIE*E2353770006,Wien Energ
ELADESTELLEOGD.1719373,1719373,POINT (16.31687200521472 48.05225006630129),2353 Sportplatzstraße 15,,Guntramsdorf,AT,Guntramsdorf Sportplatzstraße Station 1,0,AT*VIE*E5093,Wien Energ
ELADESTELLEOGD.1719374,1719374,POINT (16.31687200521472 48.05225006630129),2353 Sportplatzstraße 15,,Guntramsdorf,AT,Guntramsdorf Sportplatzstraße Station 2,0,AT*VIE*E5094,Wien Energ
ELADESTELLEOGD.1719375,1719375,POINT (16.356780005194857 48.0659600662204),2361 Johannesplatz 1,,Laxenburg,AT,Johannesplatz Station 1,0,AT*VIE*E2361650001,Wien Energ
ELADESTELLEOGD.1719376,1719376,POINT (16.358479005760092 48.07212006593649),2361 Kommunalweg 1,,Laxenburg,AT,Kommunalweg,0,AT*VIE*E2361650002,Wien Energ
ELADESTELLEOGD.1719377,1719377,POINT (16.356690005422504 48.06605006625079),2361 Johannesplatz 1,,Laxenburg,AT,Johannesplatz Station 2,0,AT*VIE*E2361770022,Wien Energ
ELADESTELLEOGD.1719378,1719378,POINT (16.357316005217687 48.067594066332006),2361 Schloßplatz 1,,Laxenburg,AT,Schloßplatz 1,0,AT*VIE*E5251,Wien Energ
ELADESTELLEOGD.1719379,1719379,POINT (16.349569005628066 48.086238065967684),2362 Ahornstraße 9,,Biedermannsdorf,AT,Ahornstraße 9,0,AT*VIE*E2362650001,Wien Energ
ELADESTELLEOGD.1719380,1719380,POINT (16.354789005421782 48.086804066060544),2362 Josef-Madersperger-Straße 14,,Biedermannsdorf,AT,Josef-Madersperger-Straße vor 14,0,AT*VIE*E2362650002,Wien Energ
ELADESTELLEOGD.1719381,1719381,POINT (16.344413005530065 48.082189066509734),2362 Siegfried Ludwig-Platz 1,,Biedermannsdorf,AT,Biedermannsdorf Siegfried Ludwig-Platz,0,AT*VIE*E5129,Wien Energ
ELADESTELLEOGD.1719382,1719382,POINT (16.346020004844778 48.084770066097995),2362 Perlasgasse 10,,Biedermannsdorf,AT,Gemeinde Biedermannsdorf,0,AT*VIE*E5207,Wien Energ
ELADESTELLEOGD.1719383,1719383,POINT (16.22715300516517 48.09924406607482),2372 Eichbergstraße 2,,Gießhübl,AT,Gemeinde Gießhübl PP Bärenhütte,0,AT*VIE*E5113,Wien Energ
ELADESTELLEOGD.1719384,1719384,POINT (16.25656200557085 48.11931806646905),2380 Höhenstraße 15,,Perchtoldsdorf,AT,Höhenstraße 15,0,AT*VIE*E2380650002,Wien Energ
ELADESTELLEOGD.1719385,1719385,POINT (16.243800005949815 48.102180065909984),2380 Schirgenwaldallee 2,,Perchtoldsdorf,AT,Schirgenwaldallee 2,0,AT*VIE*E2380650003,Wien Energ
ELADESTELLEOGD.1719386,1719386,POINT (16.24000000500621 48.10358006573394),2380 Tannenweg 29,,Perchtoldsdorf,AT,Tannenweg 29,0,AT*VIE*E2380650004,Wien Energ
ELADESTELLEOGD.1719387,1719387,POINT (16.279700005538515 48.12561006571507),2380 Franz-Vesely-Gasse 18,,Perchtoldsdorf,AT,Franz-Vesely-Gasse 18,0,AT*VIE*E2380650005,Wien Energ
ELADESTELLEOGD.1719388,1719388,POINT (16.263250005547835 48.1196900665353),2380 Leonhardiberggasse 2,,Perchtoldsdorf,AT,Leonhardiberggasse 2,0,AT*VIE*E2380650006,Wien Energ
