FID,OBJECTID,SHAPE,ADDRESS,BEZIRK,CITY,COUNTRYCODE,DESIGNATION,DIRECTPAYMENT,EVSEID,OPERATORNAME
ELADESTELLEOGD.1719713,1719713,POINT (16.442517005206902 48.15421306651286),"11., Simmeringer Hauptstraße vor 236",11,Wien,AT,Zentralfriedhof 2. Tor,0,AT*VNA*E1110570001,Wien Energ
ELADESTELLEOGD.1719714,1719714,POINT (16.410780005003055 48.17958606579654),"11., Simmeringer Hauptstraße vor 47-49",11,Wien,AT,Zippererstraße,0,AT*VNA*E1110570002,Wien Energ
ELADESTELLEOGD.1719715,1719715,POINT (16.421004004870216 48.18526706597263),"11., Guglgasse 11",11,Wien,AT,Gasometer,0,AT*VNA*E1110570003,Wien Energ
ELADESTELLEOGD.1719716,1719716,POINT (16.461083005681616 48.15473906617453),"11., Svetelskystraße vor 6",11,Wien,AT,Svetelskystraße,0,AT*VNA*E1110570004,Wien Energ
ELADESTELLEOGD.1719717,1719717,POINT (16.407689005287565 48.174601065691554),"11., Geiselbergstraße vor 50",11,Wien,AT,Geiselbergstraße,0,AT*VNA*E1110570005,Wien Energ
ELADESTELLEOGD.1719718,1719718,POINT (16.420842006048957 48.16957106652047),"11., Simmeringer Hauptstraße 128",11,Wien,AT,Mobilitätsstation Simmeringer Platz,0,AT*VNA*E1110570006,Wien Energ
ELADESTELLEOGD.1719719,1719719,POINT (16.45074600590044 48.15398606630317),"11., Roschegasse 1",11,Wien,AT,Roschegasse,0,AT*VNA*E1110570007,Wien Energ
ELADESTELLEOGD.1719720,1719720,POINT (16.42701100551303 48.17404406585963),"11., Lindenbauergasse 11",11,Wien,AT,Lindenbauergasse,0,AT*VNA*E1110570008,Wien Energ
ELADESTELLEOGD.1719721,1719721,POINT (16.475525005172923 48.16706106594745),"11., Zinnergasse 34",11,Wien,AT,Zinnergasse,0,AT*VNA*E1110570009,Wien Energ
ELADESTELLEOGD.1719722,1719722,POINT (16.453101005452947 48.158799066325564),"11., Meidlgasse 39",11,Wien,AT,Meidlgasse,0,AT*VNA*E1110570010,Wien Energ
ELADESTELLEOGD.1719723,1719723,POINT (16.433706006154424 48.164927066013306),"11., Kaiser-Ebersdorfer Straße 86",11,Wien,AT,Kaiser-Ebersdorfer Straße 86,0,AT*VNA*E1110570011,Wien Energ
ELADESTELLEOGD.1719724,1719724,POINT (16.413575005654536 48.17432106586533),"11., Gottschalkgasse 11",11,Wien,AT,Gottschalkgasse,0,AT*VNA*E1110570012,Wien Energ
ELADESTELLEOGD.1719725,1719725,POINT (16.468016005887712 48.153384066562836),"11., Sängergasse 6",11,Wien,AT,Sängergasse,0,AT*VNA*E1110570013,Wien Energ
ELADESTELLEOGD.1719726,1719726,POINT (16.42619000488688 48.161459066417216),"11., Lorystraße 121",11,Wien,AT,Lorystraße 121,0,AT*VNA*E1110570014,Wien Energ
ELADESTELLEOGD.1719727,1719727,POINT (16.42302600531948 48.16400806573553),"11., Lorystraße 91/2",11,Wien,AT,Lorystraße,0,AT*VNA*E1110570015,Wien Energ
ELADESTELLEOGD.1719728,1719728,POINT (16.46213500539085 48.15208006613771),"11., Rosa-Jochmann-Ring 5/22",11,Wien,AT,Rosa-Jochmann-Ring,0,AT*VNA*E1110570016,Wien Energ
ELADESTELLEOGD.1719729,1719729,POINT (16.420502005302676 48.17426806575579),"11., Mautner-Markhof-Gasse 55",11,Wien,AT,Mautner-Markhof-Gasse,0,AT*VNA*E1110570017,Wien Energ
ELADESTELLEOGD.1719698,1719698,POINT (16.384431005154383 48.17486906612422),"10., Steudelgasse 12-18/6",10,Wien,AT,Steudelgasse,0,AT*VNA*E1100570024,Wien Energ
ELADESTELLEOGD.1719699,1719699,POINT (16.385686005333238 48.168489066023525),"10., Laaer-Berg-Straße 39/4",10,Wien,AT,Laaer-Berg-Straße 39,0,AT*VNA*E1100570025,Wien Energ
ELADESTELLEOGD.1719700,1719700,POINT (16.370017004795862 48.16771806574528),"10., Laxenburger Straße 131",10,Wien,AT,Laxenburgerstraße,0,AT*VNA*E1100570026,Wien Energ
ELADESTELLEOGD.1719701,1719701,POINT (16.392107005780648 48.14831106645058),"10., Jura-Soyfer-Gasse 1/20",10,Wien,AT,Jura-Soyfer-Gasse,0,AT*VNA*E1100570027,Wien Energ
ELADESTELLEOGD.1719702,1719702,POINT (16.40297800574702 48.137447066575014),"10., Oberlaaer Straße 39",10,Wien,AT,Oberlaaer Straße 39,0,AT*VNA*E1100570028,Wien Energ
ELADESTELLEOGD.1719703,1719703,POINT (16.379197005627116 48.17691106628672),"10., Wielandplatz 7",10,Wien,AT,Wielandplatz vor 7,0,AT*VNA*E1100570029,Wien Energ
ELADESTELLEOGD.1719704,1719704,POINT (16.355244005218786 48.171985066484844),"10., Braunspergengasse 28",10,Wien,AT,Braunspergengasse,0,AT*VNA*E1100570030,Wien Energ
ELADESTELLEOGD.1719705,1719705,POINT (16.361463005261665 48.16940406585733),"10., Holbeingasse 11/1",10,Wien,AT,Holbeingasse,0,AT*VNA*E1100570031,Wien Energ
ELADESTELLEOGD.1719706,1719706,POINT (16.423068005556235 48.181533066323645),"11., Nussbaumallee 21",11,Wien,AT,Wiener Netze Nussbaumallee (Smart Campus Portier) SPOT,0,AT*VIE*E1110650036,Wien Energ
ELADESTELLEOGD.1719707,1719707,POINT (16.422535005914714 48.16925806604376),"11., Simmeringer Hauptstraße 171",11,Wien,AT,öff. Wipark - Simmeringer Platz Station 1,0,AT*VIE*E5075,Wien Energ
