service_id,date,exception_type
27_8__510___,2025-07-28,2
27_8__510___,2025-07-29,2
27_8__510___,2025-07-30,2
27_8__510___,2025-07-31,2
345_8__510_A__,2025-07-24,2
355_8__510_A__,2025-07-25,2
355_8__510_A__,2025-07-28,2
355_8__510_A__,2025-07-29,2
355_8__510_A__,2025-07-30,2
355_8__510_A__,2025-07-31,2
