trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09568,0,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_21327,1,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09572,2,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09576,3,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09640,4,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09584,5,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09585,6,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09590,7,,,,
9010201_9__1__013_-9__1__013__2_00:40:00_1_re__27_9__1__013_,00:40:00,00:40:00,par_8_09592,8,,,,
