stationId,addressType,addressName,addressNumber,latitude,longitude,altitude,districtId,districtName,neighborhoodId,neighborhoodName,postCode,capacity
bbe3c6d1,PLAÇA,VICENÇ MARTORELL,,41.38426,2.16925,12,1,Ciutat Vella,1,El Raval,8001,20
7b1dc96e,PLAÇA,SANT MIQUEL,4,41.38170,2.17729,11,1,Ciutat Vella,2,El Barri Gòtic,8002,32
f302efe0,PLAÇA,CARLES PI I SUNYER,,41.38508,2.17401,10,1,Ciutat Vella,2,El Barri Gòtic,8002,21
c07dc12d,CARRER,SANT OLEGUER,2,41.37753,2.17073,6,1,Ciutat Vella,1,El Raval,8001,19
3af62db1,,LA RAMBLA,56,41.38019,2.17448,7.38,1,Ciutat Vella,2,El Barri Gòtic,8002,27
2252546b,,PORTAL DE SANTA MADRONA,2,41.37707,2.17582,5,1,Ciutat Vella,1,El Raval,8001,27
8879127c,,LA RAMBLA,1,41.37632,2.17697,4,1,Ciutat Vella,2,El Barri Gòtic,8002,21
c27a4111,CARRER,VALLDONZELLA,2,41.38457,2.16626,0,1,Ciutat Vella,1,El Raval,8001,21
89301927,CARRER,AGUSTÍ DURAN I SANPERE,1,41.38138,2.16807,0,1,Ciutat Vella,1,El Raval,8001,22
49a8a25c,RAMBLA,CATALUNYA,47,41.39026,2.16403,27,2,Eixample,7,La Dreta De L'eixample,8007,27
972c53af,CARRER,ARAGÓ,288,41.39352,2.16679,26,2,Eixample,7,La Dreta De L'eixample,8009,26
0aab8b80,PLAÇA,CATALUNYA,5,41.38723,2.16881,19,2,Eixample,7,La Dreta De L'eixample,8002,25
8be9542b,PLAÇA,CATALUNYA,7,41.38654,2.16942,19,2,Eixample,7,La Dreta De L'eixample,8002,27
ffd41ed3,PLAÇA,CATALUNYA,10,41.38749,2.16906,21,2,Eixample,7,La Dreta De L'eixample,8002,21
11f4e9a5,PLAÇA,CATALUNYA,10,41.38769,2.16965,20,2,Eixample,7,La Dreta De L'eixample,8002,21
05821a7f,GRAN VIA,DE LES CORTS CATALANES,609,41.38932,2.16783,23,2,Eixample,7,La Dreta De L'eixample,8007,16
59b25985,CARRER,ROCAFORT,214,41.38528,2.14548,37,2,Eixample,9,La Nova Esquerra De L'eixample,8029,24
2702c1a9,RAMBLA,CATALUNYA,133,41.39538,2.15729,44,2,Eixample,7,La Dreta De L'eixample,8008,27
353044ad,CARRER,DE LA MARINA,25,41.38850,2.19507,7,1,Ciutat Vella,67,La Vila Olímpica Del Poblenou,8005,42
b5242993,CARRER,COMTE URGELL,23,41.38039,2.16065,15,2,Eixample,10,Sant Antoni,8011,27
0ff9e80f,CARRER,FLORIDABLANCA,145,41.38194,2.16291,16,2,Eixample,10,Sant Antoni,8011,27
72d1b532,CARRER,PROVENÇA,215,41.39277,2.15862,37,2,Eixample,7,La Dreta De L'eixample,8008,27
ae210a2d,CARRER,ENRIC GRANADOS,93,41.39213,2.15635,39,2,Eixample,8,L'antiga Esquerra De L'eixample,8008,26
4323b953,AVINGUDA,JOSEP TARRADELLAS,133,41.39000,2.14321,47,2,Eixample,19,Les Corts,8029,15
a7c1bce6,AVINGUDA,JOSEP TARRADELLAS,58,41.38500,2.14291,40,2,Eixample,9,La Nova Esquerra De L'eixample,8029,21
633f9386,CARRER,CÒRSEGA,216,41.39176,2.15321,40,2,Eixample,8,L'antiga Esquerra De L'eixample,8036,32
7d7857b6,AVINGUDA,FRANCESC CAMBÓ,10,41.38556,2.17732,8,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8003,25
d54e155b,PLAÇA,UNIVERSITAT,,41.38564,2.16343,21,2,Eixample,10,Sant Antoni,8011,27
53d58fe0,PLAÇA,UNIVERSITAT,,41.38550,2.16347,21,2,Eixample,10,Sant Antoni,8007,24
8e8dfe64,CARRER,ENRIC GRANADOS,35,41.38966,2.15990,31,2,Eixample,8,L'antiga Esquerra De L'eixample,8007,25
e9ed6440,CARRER,VILAMARÍ,61,41.37907,2.14905,24,2,Eixample,9,La Nova Esquerra De L'eixample,8015,20
7202c323,CARRER,CALABRIA,112,41.38031,2.15443,20,2,Eixample,9,La Nova Esquerra De L'eixample,8015,40
dd61312e,CARRER,CALABRIA,158,41.38216,2.15206,25,2,Eixample,9,La Nova Esquerra De L'eixample,8015,23
e4763d79,CARRER,COMTE D'URGELL,75,41.38302,2.15716,20,2,Eixample,9,La Nova Esquerra De L'eixample,8011,27
56e4c619,AVINGUDA,PARAL.LEL,146,41.37518,2.15923,15,2,Eixample,10,Sant Antoni,8015,40
9c57c69d,CARRER,VILADOMAT,2,41.37557,2.16293,12,2,Eixample,10,Sant Antoni,8015,27
21f7c8c5,CARRER,LONDRES,101,41.39361,2.15077,45,2,Eixample,8,L'antiga Esquerra De L'eixample,8036,20
2265fc92,CARRER,ROSSELLÓ,101,41.38719,2.14913,36,2,Eixample,9,La Nova Esquerra De L'eixample,8036,23
d2753dbb,CARRER,ROSSELLÓ,108,41.38829,2.15087,36,2,Eixample,8,L'antiga Esquerra De L'eixample,8036,17
a55ac49c,CARRER,COMTE D'URGELL,43,41.38125,2.15947,16,2,Eixample,10,Sant Antoni,8011,35
698dcb5a,CARRER,PROVENÇA,241,41.39388,2.16016,37,2,Eixample,7,La Dreta De L'eixample,8008,18
9f93d582,GRAN VIA,DE LES CORTS CATALANES,375,41.37579,2.14991,26,2,Eixample,10,Sant Antoni,8015,47
8cfb7383,CARRER,TARRAGONA,103,41.37639,2.14732,28,3,Sants-Montjuïc,15,Hostafrancs,8014,33
544e6387,GRAN VIA,DE LES CORTS CATALANES,368,41.37410,2.14819,24,3,Sants-Montjuïc,15,Hostafrancs,8010,21
ffae33c3,CARRER,TARRAGONA,141,41.37796,2.14504,29,3,Sants-Montjuïc,15,Hostafrancs,8014,21
17b00931,CARRER,VIRIAT,43,41.38060,2.14086,31,3,Sants-Montjuïc,18,Sants,8014,21
dd389f18,CARRER,VIRIAT,53,41.38082,2.14153,30,3,Sants-Montjuïc,18,Sants,8014,21
dfc4f79f,CARRER,TARRAGONA,159,41.37936,2.14386,29,3,Sants-Montjuïc,15,Hostafrancs,8014,22
aec247fc,AVINGUDA,DIAGONAL,602,41.39287,2.14341,53,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8021,23
70369a38,AVINGUDA,DIAGONAL,612,41.39256,2.14221,54,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8021,24
33c00b2e,CARRER,ARAGÓ,629,41.41009,2.18844,16,10,Sant Martí,65,El Clot,8026,21
c957ae93,CARRER,VALÈNCIA,621,41.41080,2.18724,16,10,Sant Martí,65,El Clot,8026,25
980151bb,,RDA. DE SANT PERE,26,41.38949,2.17425,15,2,Eixample,7,La Dreta De L'eixample,8010,21
26d6be25,PLAÇA,JOANIC - C,59,41.40551,2.16225,56,6,Gràcia,31,La Vila De Gràcia,8024,20
