station_id,address,lat,lon,altitude,post_code,capacity
83,"C/ CALABRIA, 158",41.3821658,2.1520645,25,8015,23
84,"C/ DEL COMTE D'URGELL, 75 B",41.3830299,2.1571646,20,8011,27
85,"AV. PARAL·LEL, 146 BIS",41.3751852,2.1592394,15,8015,40
86,"C/ VILADOMAT,  2",41.3755747,2.1629349,12,8015,27
88,"C/ LONDRES, 101-103",41.3936144,2.1507739,45,8036,20
89,"C/ ROSSELLÓ,  101",41.3871904,2.149131,36,8036,23
90,"C/ ROSSELLÓ, 108-110",41.388296,2.150878,36,8036,17
91,"C/ COMTE D'URGELL, 43",41.3812504,2.1594741,16,8011,35
92,"C / PROVENÇA, 241",41.3938861,2.1601641,37,8008,18
94,"GRAN  VIA DE LES CORTS CATALANES, 375-385",41.3757914,2.1499102,26,8015,47
95,"C/ TARRAGONA, 103-115",41.3763948,2.1473272,28,8014,33
96,"GRAN VIA DE LES CORTS CATALANES, 368",41.3741093,2.1481993,24,8010,21
97,"C/ TARRAGONA, 141",41.3779613,2.1450491,29,8014,21
98,"C/ VIRIAT, 43",41.3806074,2.1408633,31,8014,21
99,"C/ VIRIAT,  53",41.3808222,2.141539,30,8014,21
100,"C/ TARRAGONA,  159-173",41.379363,2.143868,29,8014,22
101,"AV. DIAGONAL, 602",41.392878,2.143411,53,8021,23
102,"AV. DIAGONAL,  612",41.392567,2.1422174,54,8021,24
103,"C/ ARAGÓ, 629",41.410098,2.1884487,16,8026,21
104,"C/ VALÈNCIA, 621",41.4108005,2.1872438,16,8026,25
105,"RDA. DE SANT PERE, 26",41.389492,2.17425,15,8010,21
106,"PL  JOANIC - C / BRUNIQUER, 59",41.4055198,2.1622548,56,8024,20
107,"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",41.3982304,2.1531031,56,8006,20
108,"C / INDÚSTRIA, 10",41.4022081,2.1649035,45,8037,21
109,"C/ LONDRES,  53",41.3912605,2.1476308,43,8036,24
110,"AV. ROMA,  136",41.3852585,2.155089,25,8011,17
111,C/ ARAGÓ 147,41.3847528,2.1546746,21,8015,19
112,"C/ FLORIDABLANCA, 49",41.3776721,2.157233,13,8015,20
113,"RONDA DE SANT PAU, 51",41.3773113,2.1646742,11,8015,34
114,"PL. JEAN GENET,  1",41.376735,2.1740082,5,8001,20
115,"AV. MARQUÉS DE L'ARGENTERA,  3",41.383597,2.184171,4,8003,21
