barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,districtId,districtName,postCode,latitude,longitude
﻿99400685836,Cocteleria Popular Gopnik,Cocteleries|Xampanyeries,CARRER,DE VALLFOGONA,23,31,La Vila De Gràcia,6,Gràcia,8012,41.40352,2.15796
﻿99400596754,Bar Pub The James Joyce,Bars I Pubs Musicals,CARRER,CASP,92,7,La Dreta De L'eixample,2,Eixample,8010,41.39362,2.17654
﻿99400689374,Bar Musical Karaoke A Viva Voz *aribau,Bars I Pubs Musicals|Karaokes,CARRER,D'ARIBAU,103,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39034,2.15656
﻿99400370686,Restaurant Lounge My Way,Bars I Pubs Musicals|Restaurants,CARRER,HEURES,4,2,El Barri Gòtic,1,Ciutat Vella,8002,41.38077,2.17528
﻿99400576585,Bar Musical Bar De Retro,Bars I Pubs Musicals,CARRER,TORRENT DE L'OLLA,141,31,La Vila De Gràcia,6,Gràcia,8012,41.40357,2.15557
﻿99400592902,Bar Musical Revival,Bars I Pubs Musicals,,TRAV GRÀCIA,40,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8021,41.39538,2.14861
﻿99400576356,Bar Musical The Good Feeling,Bars I Pubs Musicals,CARRER,CONSELL DE CENT,319,7,La Dreta De L'eixample,2,Eixample,8007,41.38947,2.16334
﻿99400596517,Bar Musical Decode,Bars I Pubs Musicals,CARRER,ARIBAU,97,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39025,2.15673
﻿99400596554,Bar Village Club,Bars I Pubs Musicals,CARRER,VALÈNCIA,193,8,L'antiga Esquerra De L'eixample,2,Eixample,8011,41.38954,2.15891
﻿99400596605,Bar Nevermind,Cocteleries|Xampanyeries|Altres Esports|Instal·lacions Esportives,CARRER,TALLERS,68,1,El Raval,1,Ciutat Vella,8001,41.38505,2.16644
﻿99400191791,Sala Monasterio,Bars I Pubs Musicals|Discoteques,,MOLL MESTRAL,30,67,La Vila Olímpica Del Poblenou,10,Sant Martí,8005,41.38801,2.19957
﻿99400576535,Bar Musical Le Standard,Bars I Pubs Musicals,CARRER,TOPAZI,24,31,La Vila De Gràcia,6,Gràcia,8012,41.40509,2.15485
﻿99400164991,Cocteleria Milk,Cocteleries|Xampanyeries,CARRER,GIGNÀS,21,2,El Barri Gòtic,1,Ciutat Vella,8002,41.38134,2.18014
