"station_id","name","physical_configuration","lat","lon","altitude","address","cross_street","post_code","capacity","is_charging_station","short_name","nearby_distance","x_ride_code_support","rental_uris","is_valet_station","last_updated","ttl"
1,"GRAN VIA CORTS CATALANES, 760","ELECTRICBIKESTATION",41.3979779,2.1801069,16,"GRAN VIA CORTS CATALANES, 760","02-Eixample/05-el Fort Pienc",8013,46,TRUE,1,1000,TRUE,NA,NA,1756677602,0
2,"C/ ROGER DE FLOR, 126","ELECTRICBIKESTATION",41.3954877,2.1771985,17,"C/ ROGER DE FLOR, 126","02-Eixample/05-el Fort Pienc",8013,28,TRUE,2,1000,TRUE,NA,NA,1756677602,0
3,"C/ NÀPOLS, 82","ELECTRICBIKESTATION",41.3941557,2.1813305,11,"C/ NÀPOLS, 82","02-Eixample/05-el Fort Pienc",8013,27,TRUE,3,1000,TRUE,NA,NA,1756677602,0
4,"C/ RIBES, 13","ELECTRICBIKESTATION",41.3933173,2.1812483,8,"C/ RIBES, 13","02-Eixample/05-el Fort Pienc",8013,21,TRUE,4,1000,TRUE,NA,NA,1756677602,0
5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)","ELECTRICBIKESTATION",41.3911035,2.1801763,7,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8018,39,TRUE,5,1000,TRUE,NA,NA,1756677602,0
6,"PG. LLUIS COMPANYS, 18 (ARC TRIOMF)","ELECTRICBIKESTATION",41.3914292,2.1805685,10,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8018,39,TRUE,6,1000,TRUE,NA,NA,1756677602,0
7,"PG. PUJADES,  1 (JUTJATS)","ELECTRICBIKESTATION",41.388885,2.18329,6,"PG. PUJADES,  1 (JUTJATS)","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,27,TRUE,7,1000,TRUE,NA,NA,1756677602,0
8,"PG. PUJADES, 2","ELECTRICBIKESTATION",41.389135,2.183489,6,"PG. PUJADES, 2","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,27,TRUE,8,1000,TRUE,NA,NA,1756677602,0
9,"AV. MARQUÉS DE L'ARGENTERA,13","ELECTRICBIKESTATION",41.384546,2.184922,5,"AV. MARQUÉS DE L'ARGENTERA,13","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,27,TRUE,9,1000,TRUE,NA,NA,1756677602,0
10,"C/ 60, NÚMERO 25","ELECTRICBIKESTATION",41.3467746,2.1436235,NA,"C/ 60, NÚMERO 25","03-Sants-Montjuïc/12-la Marina del Prat Vermell",8040,43,TRUE,10,1000,TRUE,NA,NA,1756677602,0
11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)","ELECTRICBIKESTATION",41.382398,2.194294,NA,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)","01-CiutatVella/03-la Barceloneta",8003,35,TRUE,11,1000,TRUE,NA,NA,1756677602,0
12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)","ELECTRICBIKESTATION",41.3833653,2.1946255,7,"PG. MARITIM, 23 (HOSPITAL DEL MAR)","01-CiutatVella/03-la Barceloneta",8003,26,TRUE,12,1000,TRUE,NA,NA,1756677602,0
13,"C/ MARINA, 25-33","ELECTRICBIKESTATION",41.388143,2.195551,7,"C/ MARINA, 25-33","01-CiutatVella/67-la Vila Olímpica del Poblenou",8005,53,TRUE,13,1000,TRUE,NA,NA,1756677602,0
14,"AV. MARQUÉS DE  L'ARGENTERA, 15","ELECTRICBIKESTATION",41.384844,2.185085,5,"AV. MARQUÉS DE  L'ARGENTERA, 15","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,27,TRUE,14,1000,TRUE,NA,NA,1756677602,0
15,"C/ DIPUTACIÓ, 272","ELECTRICBIKESTATION",41.3916117009235,2.16890319787512,25,"C/ DIPUTACIÓ, 272","02-Eixample/07-la Dreta de l'Eixample",8009,27,TRUE,15,1000,TRUE,NA,NA,1756677602,0
17,"AV. MERIDIANA, 47 (D)","ELECTRICBIKESTATION",41.3982615,2.1866517,14,"AV. MERIDIANA, 47 (D)","02-Eixample/66-el Parc i la Llacuna del Poblenou",8013,42,TRUE,17,1000,TRUE,NA,NA,1756677602,0
18,"C/ ROSSELLÓ, 453","ELECTRICBIKESTATION",41.4060589,2.1740472,38,"C/ ROSSELLÓ, 453","02-Eixample/06-la Sagrada Família",8025,27,TRUE,18,1000,TRUE,NA,NA,1756677602,0
19,"C/ ROSSELLÓ, 354","ELECTRICBIKESTATION",41.4031491,2.1707947,40,"C/ ROSSELLÓ, 354","02-Eixample/06-la Sagrada Família",8025,30,TRUE,19,1000,TRUE,NA,NA,1756677602,0
20,"C/ CARTAGENA, 308","ELECTRICBIKESTATION",41.410314,2.1757334,46,"C/ CARTAGENA, 308","02-Eixample/06-la Sagrada Família",8025,18,TRUE,20,1000,TRUE,NA,NA,1756677602,0
21,"C/ SANT ANTONI MARIA CLARET, 214","ELECTRICBIKESTATION",41.4108439,2.1740575,52," C/ SANT ANTONI MARIA CLARET, 214   ","02-Eixample/06-la Sagrada Família",8025,21,TRUE,21,1000,TRUE,NA,NA,1756677602,0
22,"C/ SARDENYA, 292","ELECTRICBIKESTATION",41.4016969,2.175767,28,"C/ SARDENYA, 292","02-Eixample/06-la Sagrada Família",8013,19,TRUE,22,1000,TRUE,NA,NA,1756677602,0
