service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
6_I03,0,0,0,0,0,0,1,20230330,20240329
6_I02,0,0,0,0,0,1,0,20230330,20240329
6_I01,1,1,1,1,1,0,0,20230330,20240329
6_I25,0,0,0,0,1,0,0,20230330,20240329
6_I27,1,1,1,1,0,0,0,20230330,20240329
